abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,fixationsaccadetimeratio,longestsaccadedistance,longestsaccadeduration,maxdistance,maxpupilsize,maxpupilvelocity,maxsaccadespeed,meanabspathangles,meanfixationduration,meanpupilsize,meanpupilvelocity,meanrelpathangles,meansaccadedistance,meansaccadeduration,meansaccadespeed,mindistance,minpupilsize,minsaccadespeed,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevpathdistance,stddevpupilsize,stddevrelpathangles,stddevsaccadedistance,stddevsaccadeduration,stddevsaccadespeed,Relevant bars_endpupilsize,Relevant bars_fixationrate,Relevant bars_longestfixation,Relevant bars_maxdistance,Relevant bars_maxpupilsize,Relevant bars_maxpupilvelocity,Relevant bars_meanfixationduration,Relevant bars_mindistance,Relevant bars_numevents,Relevant bars_numfixations,Relevant bars_numtransfrom_Non-relevant bars,Relevant bars_numtransfrom_Refs,Relevant bars_numtransfrom_Text,Relevant bars_numtransfrom_legend,Relevant bars_proportionnum,Relevant bars_proptransfrom_Non-relevant bars,Relevant bars_proptransfrom_Refs,Relevant bars_proptransfrom_Relevant bars,Relevant bars_proptransfrom_Text,Relevant bars_proptransfrom_Viz,Relevant bars_proptransfrom_labels,Relevant bars_proptransfrom_legend,Relevant bars_stddevfixationduration,Relevant bars_stddevpupilsize,Relevant bars_timetofirstfixation,Relevant bars_timetolastfixation,Non-relevant bars_endpupilsize,Non-relevant bars_leftclicrate,Non-relevant bars_longestfixation,Non-relevant bars_maxpupilvelocity,Non-relevant bars_mindistance,Non-relevant bars_numtransfrom_Refs,Non-relevant bars_numtransfrom_Text,Non-relevant bars_numtransfrom_legend,Non-relevant bars_proptransfrom_Non-relevant bars,Non-relevant bars_proptransfrom_Refs,Non-relevant bars_proptransfrom_Relevant bars,Non-relevant bars_proptransfrom_Text,Non-relevant bars_proptransfrom_Viz,Non-relevant bars_proptransfrom_labels,Non-relevant bars_stddevfixationduration,Non-relevant bars_stddevpupilvelocity,Non-relevant bars_timetofirstfixation,Text_leftclicrate,Text_longestfixation,Text_maxpupilsize,Text_maxpupilvelocity,Text_minpupilsize,Text_numtransfrom_Non-relevant bars,Text_numtransfrom_Refs,Text_numtransfrom_Relevant bars,Text_numtransfrom_Text,Text_numtransfrom_Viz,Text_numtransfrom_labels,Text_numtransfrom_legend,Text_proportionnum,Text_proptransfrom_Refs,Text_proptransfrom_Relevant bars,Text_proptransfrom_Viz,Text_stddevfixationduration,Text_timetofirstfixation,Refs_leftclicrate,Refs_longestfixation,Refs_maxpupilsize,Refs_maxpupilvelocity,Refs_numtransfrom_Non-relevant bars,Refs_numtransfrom_Refs,Refs_numtransfrom_Viz,Refs_numtransfrom_legend,Refs_proportionnum,Refs_proptransfrom_Refs,Refs_proptransfrom_Viz,Refs_timetofirstfixation,labels_fixationrate,labels_longestfixation,labels_maxpupilvelocity,labels_numtransfrom_Refs,labels_numtransfrom_Text,labels_numtransfrom_Viz,labels_numtransfrom_legend,labels_proportionnum,labels_proptransfrom_Non-relevant bars,labels_proptransfrom_Refs,labels_proptransfrom_Relevant bars,labels_proptransfrom_Text,labels_proptransfrom_labels,labels_proptransfrom_legend,labels_stddevfixationduration,labels_timetofirstfixation,Viz_longestfixation,Viz_maxpupilvelocity,Viz_numtransfrom_Refs,Viz_numtransfrom_Text,Viz_numtransfrom_legend,Viz_proptransfrom_Non-relevant bars,Viz_proptransfrom_Relevant bars,Viz_proptransfrom_Text,Viz_proptransfrom_Viz,Viz_proptransfrom_labels,Viz_proptransfrom_legend,Viz_stddevfixationduration,Viz_timetofirstfixation,legend_fixationrate,legend_longestfixation,legend_meanfixationduration,legend_minpupilsize,legend_numtransfrom_Non-relevant bars,legend_numtransfrom_Refs,legend_numtransfrom_Relevant bars,legend_numtransfrom_Text,legend_numtransfrom_labels,legend_proportionnum,legend_proptransfrom_Non-relevant bars,legend_proptransfrom_Refs,legend_proptransfrom_Relevant bars,legend_proptransfrom_Text,legend_proptransfrom_Viz,legend_proptransfrom_labels,legend_proptransfrom_legend,legend_stddevfixationduration,legend_stddevpupilsize,legend_timetofirstfixation,BarChartLit
0.00399689640196,618.77,0.0600711086818,0.433005781773,0.0035752840178899996,8.39848433915,987.7231053160001,117.0,666.44,0.402150792689,0.12125,9.29625998045,1.1252044241299999,243.407620417,0.111011362172,0.00214726438563,1.7084545798700002,150.290965722,40.1817269076,3.3959627546099997,594.82,-0.327117984206,1.1681597075299999,0.00602916809273,622.26,0.266822566049,1.2803250129000001,6.10600149997,113.82647170700001,0.054467244136300004,1.2845614641299998,116.646051157,14.7462322052,1.4635060638100001,0.22171315716899997,0.004098360655739999,550,631.61,0.310052416226,0.0144444444444,244,603.76,0,28,9,2,0,1,0.020129403307,0.257142857143,0.0571428571429,0.14285714285700002,0.0,0.34285714285700003,0.171428571429,0.0285714285714,-1.0,0.07313437006960001,27072,561418,0.0600711086818,0.0,516,0.03625,-1.0,2,1,5,0.20833333333299997,0.0416666666667,0.166666666667,0.020833333333299998,0.33333333333299997,0.125,89.5957294565,0.0024462337046900003,-1,0.0,650,0.293136387896,0.0375,-0.120366526838,0,33,0,229,9,2,0,0.19841840402600003,0.12087912087899999,0.0,0.032967032967,95.7940024693,566,0.0,1332,0.398391675282,0.09,1,604,4,1,0.471603163192,0.920731707317,0.006097560975609999,3372,0.00387819592071,483,0.030625,3,0,35,4,0.038820992091999997,0.0759493670886,0.0379746835443,0.101265822785,0.0,0.291139240506,0.050632911392400004,0.0,22442,1174,0.030625,6,3,29,0.0826086956522,0.060869565217399994,0.013043478260899998,0.54347826087,0.147826086957,0.126086956522,0.0,22442,0.00340014316392,1091,294,-1.0,3,0,2,0,3,0.0273184759166,0.051724137931,0.0,0.0344827586207,0.0,0.568965517241,0.051724137931,0.293103448276,183.61549130900002,0.0681292632776,-1,0
0.00500599809916,590.37,-0.056705100527800006,0.486479711674,0.00413705287615,7.76950857163,783.040218791,125.0,608.26,0.0897914558296,0.03875,10.4405362505,1.21675382405,172.826486818,-0.0754340067981,0.00208340078714,1.63959522745,121.96222802,39.1889250814,2.8398977226599995,538.27,-0.204988200255,0.944419700261,0.006708232765350001,584.34,0.0326220679828,1.24734500317,13.1490872894,113.21206645299999,0.029670832318599998,1.20552309512,99.6457202605,15.290133470999999,1.28989625131,-0.026333863234200002,0.00544662309368,500,598.76,0.0522740450551,0.020555555555599996,183,538.27,0,85,5,0,1,0,0.052115266707499996,0.0531914893617,0.0,0.5,0.0106382978723,0.31914893617,0.117021276596,0.0,91.43596510280001,0.0279565122211,24833,612135,-0.045985840306599995,0.0,591,0.01625,547.92,1,1,0,0.5714285714289999,0.0142857142857,0.114285714286,0.0142857142857,0.242857142857,0.042857142857099996,115.755144685,0.00159392103868,-1,0.0,550,0.0701394787573,0.0377777777778,-0.204988200255,0,53,2,245,4,1,0,0.196811771919,0.173770491803,0.00655737704918,0.0131147540984,70.505208141,42,0.0,575,0.0504875016849,0.03875,3,518,7,0,0.365419987738,0.894645941278,0.0120898100173,517,0.005771144278609999,475,0.0311111111111,2,0,38,4,0.03556100551809999,0.09302325581399999,0.023255813953499998,0.058139534883699995,0.0,0.33720930232600005,0.046511627906999996,81.0033570888,26757,633,0.0311111111111,6,4,17,0.0675675675676,0.0810810810811,0.013513513513499999,0.628378378378,0.131756756757,0.057432432432399996,93.44447863959999,142,0.00473669545834,633,211,-1.0,0,0,4,1,3,0.0104230533415,0.0,0.0,0.16,0.04,0.48,0.12,0.2,139.60479934399999,0.0334600572144,-1,1
0.0046905904583700005,590.62,0.049292291633,0.38313304636600004,0.00370657186103,7.84630006234,733.3126139660001,100.0,661.54,0.251422251494,0.06625,9.399404507869999,1.2690950888799999,241.135485913,0.0220093909448,0.0014174170206500002,1.64478141234,106.50492508399999,36.7845325125,2.5466741922,562.15,-0.233095152291,0.8679086241439999,0.00606176260595,641.81,0.0626685389768,1.31395363952,24.054944485500002,97.9634311064,0.0352981540671,1.27337060102,94.6402777572,13.384428726500001,1.28219783544,-0.00124019833231,0.0035574001334,2432,647.04,0.0953660324838,0.02,281,573.92,1,96,8,5,4,4,0.030389363722700003,0.0689655172414,0.0431034482759,0.37068965517200003,0.0344827586207,0.293103448276,0.155172413793,0.0344827586207,258.687700357,0.031913290385,85365,1111429,0.07901728573030001,0.0,924,0.0075,573.77,5,2,0,0.347222222222,0.0694444444444,0.152777777778,0.0277777777778,0.29166666666700003,0.111111111111,-1.0,0.00104906710045,80302,0.0,1166,0.18008226566100002,0.0425,-0.0993326788532,3,52,2,615,7,1,2,0.219056663501,0.07624633431089999,0.00293255131965,0.010263929618799999,129.392698143,533,0.0,1566,0.251422251494,0.06625,2,1334,11,1,0.44824311491,0.946770759404,0.00780695528744,5737,0.00389785435868,916,0.0375,5,2,71,0,0.033871478315900004,0.0745341614907,0.0310559006211,0.08695652173910001,0.012422360248399999,0.354037267081,0.0,0.0,92427,2148,0.0625,12,5,24,0.0578158458244,0.0792291220557,0.010706638115600001,0.620985010707,0.154175588865,0.051391862955,186.69082185,80669,0.00304818092429,2148,328,-0.0636626859365,3,0,3,1,0,0.00981323203545,0.07142857142860001,0.0,0.07142857142860001,0.0238095238095,0.547619047619,0.0,0.28571428571400004,0.0,0.028746555773099997,80852,1
0.006176988850270001,589.12,-0.036752663656300005,0.619402370819,0.00428727036038,6.019319620809999,795.475848441,125.0,639.38,0.312986227227,0.07,9.83627267477,1.4508889161899998,189.625871418,-0.0048500005282899996,0.00156156454522,1.37604711576,141.669077569,40.4568880079,3.0752665367299996,447.06,-0.198922093507,0.898858081567,0.0058172313677,568.11,0.0511705212027,1.31908074755,11.663525612,138.550429521,0.03488510933030001,1.21664968001,123.976281819,15.517922773699999,1.5313285343399998,-0.0465219064184,0.00519073502767,841,639.38,0.111739826328,0.016875,192,535.48,0,106,3,5,4,5,0.0821068938807,0.0229007633588,0.0381679389313,0.33587786259499997,0.030534351145000003,0.374045801527,0.160305343511,0.0381679389313,127.01679679,0.0281536162266,44178,503776,-0.036752663656300005,0.0,500,0.02875,542.72,5,4,3,0.12962962963,0.09259259259260001,0.09259259259260001,0.07407407407410001,0.388888888889,0.166666666667,81.7022696721,0.00183426937366,2415,5.78006282928e-06,791,0.312986227227,0.03875,-0.118814302858,2,37,7,232,13,2,1,0.229279628195,0.125850340136,0.0238095238095,0.044217687074800005,85.6564877771,2973,8.67009424392e-06,475,0.11369367488,0.04125,3,374,6,1,0.339271882262,0.867749419954,0.0139211136891,2823,0.004702022963369999,491,0.035,1,1,86,1,0.0999225406662,0.08585858585860001,0.00505050505051,0.116161616162,0.00505050505051,0.348484848485,0.00505050505051,98.050011155,46252,1049,0.05375,6,11,29,0.068669527897,0.0965665236052,0.0236051502146,0.538626609442,0.197424892704,0.0622317596567,109.125711471,125,0.00422520333791,591,236,-0.09146042312410001,1,0,3,3,3,0.030983733539900003,0.015873015873,0.0,0.047619047619,0.047619047619,0.5079365079370001,0.047619047619,0.33333333333299997,126.974760262,0.024953699425,45927,0
0.005554992703600001,556.8,0.030994543842099997,0.502918442823,0.00432062661215,6.46364918668,1119.79925552,100.0,594.87,0.348090344721,0.0588888888889,12.3138863843,1.29295068881,198.432938241,0.109567600018,0.00137771352336,1.5521894291799998,117.610899713,36.0124269006,2.89052279727,513.1,-0.320756535822,1.0078233323399999,0.0066311248056,594.87,0.0847102259582,1.28666469403,7.96022882577,118.863972115,0.0543846968806,1.2325654943200002,104.312890394,11.9318593501,1.47452435217,0.030994543842099997,0.00517521809848,425,583.06,0.23719345261,0.013333333333299998,193,554.91,0,70,6,1,1,7,0.0436681222707,0.0645161290323,0.010752688172,0.279569892473,0.010752688172,0.39784946236599994,0.16129032258099998,0.07526881720430001,-1.0,0.050766371357399996,25242,644504,0.0413911274774,0.0,600,0.0177777777778,555.61,0,0,4,0.359375,0.0,0.09375,0.0,0.328125,0.15625,94.7508879601,0.00116810825757,24409,0.0,575,0.29610742654399996,0.0288888888889,-0.10935933523600001,1,32,0,223,8,3,0,0.170305676856,0.11985018726600001,0.0,0.029962546816500003,89.82517742819999,450,0.0,533,0.23719345261,0.0325,0,574,4,0,0.386150966937,0.9363784665579999,0.00652528548124,5447,0.004341006092,650,0.02,1,1,87,2,0.0742358078603,0.0614525139665,0.00558659217877,0.08938547486030002,0.00558659217877,0.340782122905,0.0111731843575,111.23234958100001,25408,650,0.0588888888889,3,10,28,0.052631578947400004,0.0823798627002,0.0228832951945,0.572082379863,0.19908466819200002,0.0640732265446,99.5142654134,22943,0.005365526492289999,391,186,-0.008859026760239998,1,0,3,2,2,0.0249532127261,0.017543859649099998,0.0,0.052631578947400004,0.035087719298199996,0.561403508772,0.035087719298199996,0.298245614035,64.0822788416,0.055289128958099995,23951,0
0.0045489199757799996,637.45,-0.022550945796099998,0.485034626042,0.0034778862504999996,7.857473153330001,805.66167335,100.0,687.48,0.248723461318,0.105,9.78445538852,1.31162939565,255.661375661,0.0120495934356,0.00123781679352,1.3471023162399998,143.49617791100002,38.405395417600005,3.27737672589,585.02,-0.296695981557,1.13899958497,0.004658821740609999,624.15,0.132463001126,1.3715905367299999,10.6871269284,128.646504124,0.044077099478900005,1.3233786001799999,120.88421712600001,13.5068720953,1.56688760861,-0.00532717391589,0.0049040154246,958,663.27,0.16403991624000003,0.026666666666700003,203,599.9,0,117,19,9,7,1,0.036414565826300004,0.147286821705,0.06976744186049999,0.348837209302,0.054263565891500005,0.240310077519,0.131782945736,0.0077519379845,125.67291289100001,0.0411624545644,24257,1157538,0.00472002634758,0.0,1124,0.02625,600.43,16,1,1,0.3203125,0.125,0.1328125,0.0078125,0.2734375,0.1328125,166.007787726,0.00135004184215,24390,0.0,775,0.21427591755699998,0.04333333333330001,-0.0971872906105,3,77,8,591,13,5,0,0.22533457827599998,0.110473457676,0.011477761836399999,0.0186513629842,114.29407485200001,341,0.0,966,0.158298658946,0.06375,3,1000,23,0,0.37130407718599995,0.881057268722,0.020264317180599997,1091,0.0027709938004899996,2915,0.02125,8,1,110,1,0.0550887021475,0.111538461538,0.0307692307692,0.08076923076919999,0.00384615384615,0.346153846154,0.00384615384615,353.43642542599997,58,2915,0.035625,13,8,14,0.0962800875274,0.09190371991250001,0.0175054704595,0.496717724289,0.238512035011,0.0306345733042,287.590471104,58,0.00583515681984,375,171,-0.13163483437100001,0,0,1,1,0,0.00497976968565,0.0,0.0,0.04,0.04,0.56,0.0,0.36,0.0,0.0625474426024,-1,1
0.00588887652368,627.31,0.03514194992919999,0.536730929871,0.00416749977457,6.21293119516,1091.40116676,133.0,671.67,0.241563218537,0.10625,11.9376084419,1.4190551214200002,205.069143932,0.044164354421199994,0.0015628559199400002,1.29962244862,126.87228622,37.503695881700004,3.0121324228299997,575.62,-0.344308911482,1.06367500793,0.005370319642329999,623.26,0.194511311722,1.32374311014,10.4122351364,120.41231107,0.039401762447099996,1.23838370918,107.06410585299999,12.2408794843,1.50242240569,-0.0331592051248,0.00490699532124,791,644.14,0.156566225581,0.08625,203,603.41,0,215,36,4,2,4,0.101128880527,0.148760330579,0.0165289256198,0.376033057851,0.00826446280992,0.322314049587,0.11157024793400001,0.0165289256198,99.37627916059999,0.0392453715243,15048,723175,0.007821487907560001,0.0,1033,0.08375,-1.0,1,1,1,0.387234042553,0.00425531914894,0.153191489362,0.00425531914894,0.293617021277,0.153191489362,139.21951562,0.00205052396951,-1,3.8101769827199997e-06,541,0.241563218537,0.02375,-0.06199747059209999,3,49,2,270,6,0,0,0.155691439323,0.14848484848500001,0.006060606060609999,0.0181818181818,70.1962400789,500,3.8101769827199997e-06,774,0.186922294494,0.03875,2,759,3,1,0.38852304797700005,0.934729064039,0.00369458128079,308,0.00406586191222,816,0.05875,0,0,91,1,0.0757290686736,0.157657657658,0.0,0.144144144144,0.0,0.28378378378400004,0.0045045045045,127.58563300799999,14323,1332,0.10625,3,7,16,0.11724137931,0.139655172414,0.0120689655172,0.5362068965519999,0.162068965517,0.027586206896599998,130.463156661,14323,0.00421860019175,808,237,-0.06199747059209999,5,0,3,0,1,0.0103480714958,0.17857142857099997,0.0,0.107142857143,0.0,0.5,0.035714285714300006,0.17857142857099997,171.339123489,0.033053340083599995,19728,1
0.0053496811535800005,593.42,-0.00350634817568,0.519063011096,0.00407876606328,7.568671450660001,946.524468044,109.0,635.68,0.22350551925200002,0.08875,12.620326240599999,1.3161559778799998,206.72303543900003,-0.0305184037855,0.00146523483463,1.4916566061399998,140.115224127,37.7919957873,3.2489421987700005,585.09,-0.445737258749,0.952696440195,0.006041932622800001,623.29,0.20876448889899998,1.2930293842799998,8.05860134425,134.516048235,0.0443507491574,1.24578231723,127.959104417,13.4862619545,1.7836241639400003,-0.00498045121092,0.00473351508433,766,623.37,0.22350551925200002,0.08875,211,588.5,0,158,30,5,4,1,0.0608628659476,0.170454545455,0.028409090909099998,0.363636363636,0.022727272727299998,0.295454545455,0.113636363636,0.00568181818182,-1.0,0.0431227316119,35084,970877,0.0112346821768,0.0,733,0.04,587.66,10,7,1,0.46231155778899996,0.050251256281399995,0.185929648241,0.035175879397,0.195979899497,0.06532663316580001,125.311654497,0.0014907688630699998,34742,0.0,575,0.170437809983,0.04875,-0.17155409419300002,4,74,2,520,15,4,2,0.241910631741,0.11916264090199999,0.0032206119162600006,0.024154589372,93.3661055473,808,0.0,858,0.222031416217,0.03,3,826,24,1,0.366332819723,0.875,0.0254237288136,458,0.0037416266017600004,816,0.036666666666699994,3,2,140,6,0.07164869029280001,0.0844594594595,0.0101351351351,0.047297297297300006,0.006756756756760001,0.35810810810800003,0.0202702702703,136.399908853,38315,924,0.0655555555556,16,13,74,0.0694626474443,0.0642201834862,0.0170380078637,0.555701179554,0.17562254259500001,0.0969855832241,128.49550280399998,1108,0.004915023390770001,416,203,-0.142072033489,0,2,4,2,2,0.0319722650231,0.0,0.015037593984999998,0.0300751879699,0.015037593984999998,0.541353383459,0.015037593984999998,0.383458646617,86.67066907579999,0.0343231673545,36216,1
0.00637445605854,596.43,0.00404432816319,0.476119800502,0.00470696555741,6.497676492849999,742.388155487,100.0,707.64,0.281304935123,0.0522222222222,9.09434369233,1.3603696319999998,186.94610778400002,0.0531041900946,0.00132899409101,1.46311027044,104.792543486,33.661671469699996,2.7633117177900006,529.32,-0.406104498701,0.929355036076,0.0068249520779399995,597.34,0.0237314718527,1.346421661,22.888507113899998,105.071062861,0.053159049961199994,1.31397812285,94.49622706459999,11.0813912709,1.38390020996,0.000763137548274,0.00477221292925,458,656.72,0.20747814628800001,0.010625,209,544.85,0,97,12,1,0,1,0.04840319361280001,0.109090909091,0.00909090909091,0.39090909090899995,0.0,0.34545454545500004,0.13636363636399998,0.00909090909091,82.9705645596,0.0567336736692,48883,654995,0.046699806157,0.0,824,0.01375,-1.0,3,2,0,0.348314606742,0.033707865168499995,0.22471910112399998,0.022471910112400004,0.23595505618,0.13483146067399998,98.8900084247,0.00107060195818,-1,0.0,441,0.209118741595,0.02625,-0.102594366821,0,56,0,342,4,2,0,0.208582834331,0.138613861386,0.0,0.00990099009901,65.8813154227,425,0.0,758,0.215681122825,0.02625,0,629,1,0,0.35229540918200003,0.910274963821,0.00144717800289,600,0.00456487601797,933,0.0183333333333,0,1,94,2,0.062375249501,0.0780487804878,0.0,0.05853658536590001,0.00487804878049,0.39024390243900003,0.00975609756098,121.020592756,49258,999,0.02125,2,2,14,0.079012345679,0.083950617284,0.004938271604939999,0.555555555556,0.237037037037,0.0345679012346,119.402874805,49016,0.005444646098,316,183,-0.043532935753,1,0,0,0,2,0.007485029940120001,0.04,0.0,0.0,0.0,0.56,0.08,0.32,0.0,0.0474540771915,50806,0
0.004685013450930001,584.92,0.0504358776982,0.448302521219,0.0041868826543699994,7.82647757391,758.213715577,109.0,665.41,0.253434222161,0.0825,10.7909902672,1.123301938,209.09589041099997,0.035874073223099996,0.00149293926201,1.81484740901,106.50430887899999,35.4099274958,2.5862701673400004,522.19,-0.510226216533,0.975432506814,0.00754000264204,598.37,0.0794356411929,1.20574715383,14.788224973,121.836110013,0.0278079829936,1.20365762743,108.84873936,13.9915013923,1.4159991108899999,0.042380387838500004,0.00481718392166,824,612.66,0.163212735733,0.0633333333333,207,-1.0,0,183,28,8,2,9,0.0783390410959,0.12903225806500002,0.036866359447,0.377880184332,0.00921658986175,0.294930875576,0.11059907834100001,0.0414746543779,135.06754517,0.0269792862642,-1,905463,0.04560258378240001,0.0,833,0.0675,-1.0,8,2,4,0.272727272727,0.07272727272730001,0.263636363636,0.0181818181818,0.24545454545499998,0.0909090909091,127.941922045,0.00255273780832,-1,0.0,808,0.11326869860300001,0.026666666666700003,-1.0,3,44,1,287,8,0,1,0.14897260274000002,0.127906976744,0.00290697674419,0.023255813953499998,115.326050755,-1,1.5881889563700001e-06,824,0.22443445866700001,0.05375,5,813,11,1,0.379280821918,0.919683257919,0.012443438914,-1,0.00481791129375,1058,0.0475,4,1,127,5,0.0727739726027,0.0361010830325,0.014440433213,0.0974729241877,0.00361010830325,0.37184115523500005,0.018050541516200003,126.47269743,-1,1058,0.0625,8,9,61,0.0446153846154,0.1,0.0138461538462,0.536923076923,0.19846153846200001,0.0938461538462,124.323332276,-1,0.005079874339949999,550,196,-1.0,2,1,10,4,7,0.0325342465753,0.0161290322581,0.00806451612903,0.0806451612903,0.0322580645161,0.483870967742,0.0564516129032,0.322580645161,103.179907605,0.0261565255831,-1,0
