abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,fixationsaccadetimeratio,longestsaccadedistance,longestsaccadeduration,maxdistance,maxpupilsize,maxpupilvelocity,maxsaccadespeed,meanabspathangles,meanfixationduration,meanpupilsize,meanpupilvelocity,meanrelpathangles,meansaccadedistance,meansaccadeduration,mindistance,minpupilsize,minsaccadespeed,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevpathdistance,stddevpupilsize,stddevrelpathangles,stddevsaccadedistance,stddevsaccadeduration,stddevsaccadespeed,Relevant bars_endpupilsize,Relevant bars_fixationrate,Relevant bars_longestfixation,Relevant bars_maxdistance,Relevant bars_maxpupilsize,Relevant bars_maxpupilvelocity,Relevant bars_meanfixationduration,Relevant bars_mindistance,Relevant bars_numevents,Relevant bars_numfixations,Relevant bars_numtransfrom_Non-relevant bars,Relevant bars_numtransfrom_Refs,Relevant bars_numtransfrom_Text,Relevant bars_numtransfrom_legend,Relevant bars_proportionnum,Relevant bars_proptransfrom_Non-relevant bars,Relevant bars_proptransfrom_Refs,Relevant bars_proptransfrom_Relevant bars,Relevant bars_proptransfrom_Text,Relevant bars_proptransfrom_Viz,Relevant bars_proptransfrom_labels,Relevant bars_proptransfrom_legend,Relevant bars_stddevfixationduration,Relevant bars_stddevpupilsize,Relevant bars_timetofirstfixation,Relevant bars_timetolastfixation,Non-relevant bars_leftclicrate,Non-relevant bars_longestfixation,Non-relevant bars_maxpupilvelocity,Non-relevant bars_mindistance,Non-relevant bars_numtransfrom_Refs,Non-relevant bars_numtransfrom_Text,Non-relevant bars_numtransfrom_legend,Non-relevant bars_proptransfrom_Non-relevant bars,Non-relevant bars_proptransfrom_Refs,Non-relevant bars_proptransfrom_Relevant bars,Non-relevant bars_proptransfrom_Text,Non-relevant bars_proptransfrom_Viz,Non-relevant bars_proptransfrom_labels,Non-relevant bars_proptransfrom_legend,Non-relevant bars_stddevfixationduration,Non-relevant bars_stddevpupilvelocity,Non-relevant bars_timetofirstfixation,Text_leftclicrate,Text_longestfixation,Text_maxpupilsize,Text_maxpupilvelocity,Text_minpupilsize,Text_numtransfrom_Non-relevant bars,Text_numtransfrom_Refs,Text_numtransfrom_Relevant bars,Text_numtransfrom_Text,Text_numtransfrom_Viz,Text_numtransfrom_labels,Text_numtransfrom_legend,Text_proportionnum,Text_proptransfrom_Refs,Text_proptransfrom_Relevant bars,Text_proptransfrom_Viz,Text_stddevfixationduration,Text_timetofirstfixation,Refs_leftclicrate,Refs_longestfixation,Refs_maxpupilsize,Refs_maxpupilvelocity,Refs_numtransfrom_Non-relevant bars,Refs_numtransfrom_Refs,Refs_numtransfrom_Viz,Refs_numtransfrom_legend,Refs_proportionnum,Refs_proportiontime,Refs_proptransfrom_Non-relevant bars,Refs_proptransfrom_Refs,Refs_proptransfrom_Text,Refs_proptransfrom_Viz,Refs_timetofirstfixation,labels_fixationrate,labels_longestfixation,labels_maxpupilvelocity,labels_numtransfrom_Refs,labels_numtransfrom_Text,labels_numtransfrom_Viz,labels_numtransfrom_legend,labels_proportionnum,labels_proptransfrom_Non-relevant bars,labels_proptransfrom_Refs,labels_proptransfrom_Relevant bars,labels_proptransfrom_Text,labels_proptransfrom_labels,labels_proptransfrom_legend,labels_stddevfixationduration,labels_timetofirstfixation,Viz_maxpupilvelocity,Viz_numtransfrom_Text,Viz_numtransfrom_legend,Viz_proptransfrom_Text,Viz_proptransfrom_Viz,Viz_proptransfrom_labels,Viz_proptransfrom_legend,Viz_stddevfixationduration,Viz_timetofirstfixation,legend_fixationrate,legend_longestfixation,legend_meanfixationduration,legend_mindistance,legend_minpupilsize,legend_numtransfrom_Non-relevant bars,legend_numtransfrom_Refs,legend_numtransfrom_Relevant bars,legend_numtransfrom_Text,legend_numtransfrom_labels,legend_proportionnum,legend_proptransfrom_Non-relevant bars,legend_proptransfrom_Refs,legend_proptransfrom_Relevant bars,legend_proptransfrom_Text,legend_proptransfrom_Viz,legend_proptransfrom_labels,legend_proptransfrom_legend,legend_stddevfixationduration,legend_stddevpupilsize,legend_timetofirstfixation,BarChartLit
0.00401728978906,618.85,0.27434080086199997,0.42887680476499995,0.00358709913421,8.40149867983,987.7231053160001,117.0,666.44,0.402150792689,0.12125,9.29625998045,1.12696336366,241.860041623,0.116127352859,0.00226319700115,1.7020697032299998,149.821128819,40.1314828342,588.08,-0.327117984206,1.1681597075299999,0.00602925351522,622.26,0.266822566049,1.27485735104,7.213873732050001,111.723437676,0.0548749923512,1.27547420906,114.35005107299999,14.4738707174,1.44654660791,0.27434080086199997,0.00389169495736,641,644.51,0.36080050121600005,0.02625,256,603.76,0,47,11,4,0,1,0.024453694068700002,0.19298245614,0.0701754385965,0.19298245614,0.0,0.368421052632,0.157894736842,0.017543859649099998,-1.0,0.06631256503499999,27072,880913,0.0,525,0.03625,-1.0,2,2,5,0.190476190476,0.031746031746,0.17460317460299998,0.031746031746,0.33333333333299997,0.15873015873,0.0793650793651,92.012754218,0.00240929560499,-1,0.0,650,0.334486679369,0.045,-0.127884761652,0,42,2,397,10,3,0,0.238813735692,0.0925110132159,0.004405286343609999,0.0220264317181,94.3341640013,566,0.0,1332,0.398391675282,0.09,1,834,5,1,0.47034339229999994,0.37303862415,0.0011123470522799998,0.927697441602,0.058954393770900004,0.0055617352614,3372,0.00389649315616,483,0.030625,5,0,50,4,0.0405827263267,0.0782608695652,0.0434782608696,0.104347826087,0.0,0.304347826087,0.0347826086957,0.0,22442,0.035,4,29,0.013157894736799998,0.552631578947,0.161184210526,0.09539473684210001,0.0,22442,0.00340014316392,1091,294,600.0,-1.0,3,0,2,0,3,0.0197710718002,0.051724137931,0.0,0.0344827586207,0.0,0.568965517241,0.051724137931,0.293103448276,183.61549130900002,0.0682221385097,-1,0
0.005014302539729999,570.86,-0.017401146383200002,0.48247544872500003,0.00412378408149,7.7226651252,783.040218791,125.0,608.26,0.0897914558296,0.03875,10.4405362505,1.2229217557799998,172.562262357,-0.0791298285437,0.0021080118665699997,1.6490085033700002,123.24021190399999,39.608806096500004,528.03,-0.313967345838,0.944419700261,0.006722586708270001,584.34,0.0326220679828,1.2526222575100001,13.068626314400001,111.78449480799999,0.0319943645939,1.20955620308,97.8296950891,15.6456326396,1.28919271534,-0.0763570776002,0.00546385885031,500,598.76,0.0522740450551,0.020555555555599996,183,538.27,0,96,6,0,1,0,0.0456273764259,0.0545454545455,0.0,0.45454545454499995,0.00909090909091,0.336363636364,0.145454545455,0.0,88.06612348270001,0.029034641500300003,24833,774897,0.0,733,0.01625,547.92,2,1,2,0.489130434783,0.0217391304348,0.108695652174,0.0108695652174,0.260869565217,0.08695652173910001,0.0217391304348,126.357328314,0.0015555411318299997,-1,0.0,550,0.0701394787573,0.0377777777778,-0.204988200255,0,72,2,305,4,1,0,0.192015209125,0.1875,0.00520833333333,0.0104166666667,71.0897625712,42,0.0,658,0.0862183690892,0.03875,3,755,8,0,0.406844106464,0.26410739880399997,0.00359281437126,0.9041916167659999,0.08143712574850001,0.00958083832335,517,0.0052659044546700005,475,0.0311111111111,2,0,78,4,0.0527566539924,0.0982658959538,0.011560693641600001,0.0462427745665,0.0,0.369942196532,0.023121387283200002,85.2729308003,26757,0.0311111111111,5,20,0.0117370892019,0.596244131455,0.192488262911,0.0469483568075,94.2211163611,142,0.004838354959310001,633,206,600.0,-1.0,0,0,6,1,3,0.010456273764299999,0.0,0.0,0.1875,0.03125,0.46875,0.09375,0.21875,124.03974017600001,0.031819920662,-1,1
0.00475447349438,590.15,0.0047048004871400005,0.389459847866,0.0037601154754299997,7.66401478125,733.3126139660001,100.0,661.54,0.251422251494,0.06625,9.399404507869999,1.2683675445799998,237.9369207,0.026760828774900002,0.00138273537381,1.64261073308,106.446462789,36.9558823529,562.15,-0.233095152291,0.8679086241439999,0.00613824080972,641.81,0.0626685389768,1.32644627363,24.3835341566,96.47023013719999,0.036559207855400004,1.2872100881200002,93.96211333059999,13.259593974400001,1.2655164350700001,-0.0279926930198,0.00357893960078,2432,647.04,0.0953660324838,0.02,279,573.92,1,97,8,5,4,4,0.024974253347099996,0.0689655172414,0.0431034482759,0.37068965517200003,0.0344827586207,0.293103448276,0.155172413793,0.0344827586207,-1.0,0.0318724530823,85365,1356959,0.0,924,0.0075,573.77,5,2,0,0.347222222222,0.0694444444444,0.152777777778,0.0277777777778,0.29166666666700003,0.111111111111,0.0,-1.0,0.0010461040695599999,80302,0.0,1166,0.18008226566100002,0.0425,-0.0993326788532,3,62,2,716,9,1,3,0.207775489186,0.07788944723619999,0.0025125628140700005,0.0113065326633,128.09607417200002,533,0.0,1566,0.251422251494,0.06625,2,1913,13,2,0.5172502574669999,0.386561194328,0.00099850224663,0.955067398902,0.0334498252621,0.0064902646030999996,5737,0.0039372922988,916,0.0375,6,2,71,0,0.028063851699299997,0.07407407407410001,0.037037037037,0.0864197530864,0.0123456790123,0.35185185185199996,0.0,0.0,92427,0.0625,5,26,0.010438413361200001,0.615866388309,0.152400835073,0.0542797494781,185.0318585,80669,0.00324464633355,2148,308,579.42,-0.0636626859365,3,1,4,1,1,0.00901132852729,0.063829787234,0.0212765957447,0.08510638297869999,0.0212765957447,0.531914893617,0.0212765957447,0.255319148936,0.0,0.0280711476638,80852,1
0.00613018145229,536.63,-0.0523834520756,0.5880383977170001,0.0042433914307200005,6.0871323591,795.475848441,125.0,684.92,0.312986227227,0.07,9.83627267477,1.4535184412,190.610178117,-0.00232571298359,0.0016236034786099999,1.4153436929299998,136.70628751200002,40.368110236199996,447.06,-0.198922093507,0.898858081567,0.00593250331585,568.11,0.0511705212027,1.31471003233,16.1717032041,132.607389025,0.0357601322452,1.22241510848,118.29379225299999,15.379901146099998,1.46290404062,-0.00939878392237,0.00516501207405,841,639.38,0.111739826328,0.04125,193,510.37,0,154,8,10,6,7,0.07837150127230001,0.0425531914894,0.0531914893617,0.31914893617,0.031914893617,0.367021276596,0.14893617021299999,0.037234042553199995,119.51995485200001,0.0326238354489,44178,749289,0.0,500,0.0425,505.41,7,4,4,0.22,0.07,0.22,0.04,0.29,0.12,0.04,84.4300122367,0.00215163048747,2415,5.6781510426e-06,791,0.312986227227,0.03875,-0.118814302858,5,58,8,271,13,2,1,0.183715012723,0.162011173184,0.0223463687151,0.036312849162,84.45360330449999,2973,5.6781510426e-06,641,0.22115534526299999,0.04125,4,657,12,2,0.382188295165,0.262463068359,0.00536193029491,0.8806970509379999,0.08176943699730001,0.0160857908847,2823,0.00466263722709,491,0.035,1,1,127,1,0.0961832061069,0.103448275862,0.0034482758620700002,0.09655172413789999,0.0034482758620700002,0.351724137931,0.0034482758620700002,96.8918293549,46252,0.05375,14,41,0.019498607242299997,0.569637883008,0.193593314763,0.05710306406690001,104.35021424600001,125,0.00464421960524,591,215,537.89,-0.09146042312410001,3,0,4,4,3,0.0284987277354,0.035714285714300006,0.0,0.047619047619,0.047619047619,0.52380952381,0.035714285714300006,0.309523809524,115.359044253,0.0259935336847,45927,0
0.00549078475508,580.55,0.0673825865659,0.506192229937,0.00433990638172,6.36423125554,1119.79925552,100.0,599.99,0.348090344721,0.0588888888889,12.3138863843,1.27263829475,197.36944851099997,0.10367196722699999,0.0014128380609,1.5794750350799998,118.823629517,36.101490825700004,513.1,-0.320756535822,1.0078233323399999,0.0067744836084,594.87,0.0847102259582,1.28907180412,8.6284071219,119.113052563,0.05580644920609999,1.23857754835,106.48042370700001,12.131405125399999,1.48881222248,0.07084811444439999,0.0053760118643,425,588.73,0.23719345261,0.013333333333299998,186,554.91,0,87,8,1,1,7,0.0424597364568,0.07142857142860001,0.00892857142857,0.267857142857,0.00892857142857,0.428571428571,0.151785714286,0.0625,-1.0,0.05025883810219999,25242,865226,0.0,600,0.0177777777778,555.61,0,1,5,0.337837837838,0.0,0.121621621622,0.013513513513499999,0.310810810811,0.14864864864900001,0.0675675675676,92.8972550725,0.0011519944722600001,24409,0.0,575,0.29610742654399996,0.0288888888889,-0.10935933523600001,1,44,0,307,11,3,0,0.183504148365,0.120218579235,0.0,0.0300546448087,85.9959844024,450,0.0,533,0.23719345261,0.03875,1,727,6,1,0.38457784284999996,0.293120399857,0.00128040973111,0.93085787452,0.056338028169,0.007682458386680001,5447,0.00436482677094,808,0.02,1,1,109,5,0.0702781844802,0.0542986425339,0.00452488687783,0.0769230769231,0.00452488687783,0.343891402715,0.0226244343891,0.0,25408,0.0588888888889,15,51,0.0247524752475,0.587458745875,0.178217821782,0.0841584158416,100.693808205,22943,0.00488134574947,491,204,557.38,-0.008859026760239998,2,0,3,2,3,0.031722791605700004,0.021052631578900003,0.0,0.0315789473684,0.021052631578900003,0.589473684211,0.0315789473684,0.305263157895,80.078282012,0.048171042368599995,23951,0
0.00450852340794,660.96,0.0291203698446,0.485055088086,0.00347215591369,7.892383970830001,805.66167335,100.0,698.68,0.248723461318,0.105,9.78445538852,1.30238669846,255.93075,0.00769862535521,0.00127062516342,1.3349704390600001,144.010698408,38.438966439,585.02,-0.296695981557,1.13899958497,0.0046074141515600004,624.15,0.132463001126,1.37182618481,11.546419023399999,129.683145411,0.0434385753847,1.3249783692000001,120.700272453,13.4747977562,1.55971871355,0.013331912287700002,0.00489775489775,958,667.52,0.16403991624000003,0.026666666666700003,204,599.9,0,137,27,9,8,1,0.03425,0.177631578947,0.05921052631580001,0.335526315789,0.052631578947400004,0.23684210526299998,0.131578947368,0.00657894736842,124.24980766899999,0.041011835662699996,24257,1548226,0.0,1124,0.02875,600.43,19,5,1,0.34920634920599997,0.10052910052899999,0.12169312169299999,0.026455026455000002,0.26455026454999997,0.13227513227499998,0.0052910052910100005,162.655743548,0.00145204307241,24390,0.0,1016,0.21427591755699998,0.04333333333330001,-0.123022948431,5,102,8,798,20,5,2,0.245,0.108510638298,0.00851063829787,0.0212765957447,119.73066471700001,341,0.0,999,0.158298658946,0.06375,3,1251,25,0,0.37625,0.312627287099,0.00212014134276,0.884098939929,0.0763250883392,0.017667844523,1091,0.00287556883218,2915,0.02125,10,2,124,1,0.0515,0.124161073826,0.0335570469799,0.07718120805369999,0.0067114093959700005,0.33892617449699997,0.0033557046979899997,331.926556672,58,0.035625,12,20,0.020979020979,0.5034965034969999,0.22202797202799998,0.034965034964999996,261.967332496,58,0.00577200577201,375,173,617.14,-0.13163483437100001,0,0,1,1,0,0.006,0.0,0.0,0.0285714285714,0.0285714285714,0.628571428571,0.0,0.314285714286,0.0,0.0589001754615,-1,1
0.00578026513485,625.2,-0.010392153440200001,0.543396399122,0.00414334740689,6.18073605992,1091.40116676,133.0,671.67,0.241563218537,0.10625,11.9376084419,1.40121475302,206.577274388,0.040223004396599996,0.00155748641366,1.28447208715,129.929926491,37.8260335653,575.62,-0.344308911482,1.06367500793,0.00527534681412,623.26,0.194511311722,1.32111104896,9.616042999760001,121.780801585,0.0404266647554,1.2350531386299999,108.134118249,12.400514247,1.52428177085,0.0761226429615,0.00488739443228,791,644.14,0.156566225581,0.08625,204,603.41,0,250,41,4,2,4,0.0913408841798,0.149635036496,0.014598540146,0.386861313869,0.0072992700729899995,0.328467153285,0.0985401459854,0.014598540146,98.5064774744,0.0393523866199,15048,839204,0.0,1033,0.08375,-1.0,1,2,3,0.434343434343,0.0033670033669999998,0.144781144781,0.00673400673401,0.276094276094,0.12457912457900001,0.010101010100999999,133.848731371,0.00187848074937,-1,2.93962020107e-06,541,0.241563218537,0.04875,-0.0923535395049,3,57,4,369,7,0,0,0.16258677384,0.12954545454500002,0.00909090909091,0.0159090909091,69.5347958783,500,2.93962020107e-06,774,0.186922294494,0.03875,2,802,4,1,0.32115454877599997,0.249237168558,0.0023121387283200003,0.927167630058,0.06127167630059999,0.0046242774566499995,308,0.00408879969898,816,0.05875,0,0,91,1,0.05955425648519999,0.157657657658,0.0,0.144144144144,0.0,0.28378378378400004,0.0045045045045,0.0,14323,0.10625,10,19,0.015455950541000001,0.536321483771,0.146831530139,0.029366306027799997,136.649198965,14323,0.00358422939068,1274,279,602.88,-0.06199747059209999,7,0,3,1,1,0.0102301790281,0.20588235294100002,0.0,0.0882352941176,0.0294117647059,0.470588235294,0.0294117647059,0.176470588235,248.408564294,0.035182803113000004,19728,1
0.005331049576870001,595.64,-0.0742632938673,0.524469675035,0.00407777766717,7.647155991960001,946.524468044,109.0,649.25,0.22350551925200002,0.08875,12.620326240599999,1.3121468254700002,204.788220934,-0.030526255256099998,0.0014743025237200001,1.49890764412,139.78516947399999,37.7603235419,585.09,-0.445737258749,0.952696440195,0.00606744766996,623.29,0.20876448889899998,1.29049236284,8.26222698205,133.53560918,0.043790868925599996,1.2403765553200001,126.25086544700001,13.47883163,1.7701599088900002,-0.0875302211845,0.00478571237601,766,631.64,0.22350551925200002,0.08875,208,588.5,0,179,32,5,5,1,0.0546231309124,0.1592039801,0.0248756218905,0.353233830846,0.0248756218905,0.313432835821,0.11940298507500001,0.00497512437811,-1.0,0.0426101085544,35084,1247286,0.0,733,0.04,587.66,11,8,1,0.456221198157,0.0506912442396,0.193548387097,0.036866359447,0.188940092166,0.0691244239631,0.00460829493088,124.01481067700001,0.00145768810197,34742,0.0,575,0.170437809983,0.075,-0.17155409419300002,5,88,2,554,16,4,2,0.20720170888,0.131147540984,0.00298062593145,0.0238450074516,92.6684466415,808,0.0,858,0.222031416217,0.0633333333333,3,970,25,1,0.341470857492,0.255120323867,0.00271739130435,0.878623188406,0.0788043478261,0.0226449275362,458,0.0036852703164800002,816,0.036666666666699994,3,2,142,7,0.0592004882514,0.0980392156863,0.00980392156863,0.0490196078431,0.006535947712420001,0.349673202614,0.022875816993499998,140.025423302,38315,0.0655555555556,14,79,0.0171149144254,0.5611246943770001,0.165036674817,0.0965770171149,129.34897004200002,1108,0.00495690869149,416,201,589.42,-0.142072033489,0,2,4,2,2,0.0268538297223,0.0,0.0140845070423,0.0281690140845,0.0140845070423,0.542253521127,0.0140845070423,0.387323943662,84.6465945978,0.034196844867599996,36216,1
0.00630526937057,593.27,0.0237314718527,0.467521453254,0.004668275282060001,6.585529019709999,742.388155487,100.0,707.64,0.281304935123,0.0522222222222,9.09434369233,1.3572871782299998,189.304188695,0.0464857262921,0.0013229675711600001,1.4781794413299998,104.077566259,33.6144465291,529.32,-0.406104498701,0.929355036076,0.00683319874559,597.34,0.0237314718527,1.34675657588,21.6521431198,104.706233203,0.053194893439999995,1.31297708299,94.175270993,10.9653923204,1.3753306578,0.0237314718527,0.0048344804982,458,656.72,0.20747814628800001,0.01125,206,544.85,0,118,12,1,1,1,0.047986986579900005,0.0888888888889,0.007407407407409999,0.422222222222,0.007407407407409999,0.325925925926,0.14074074074100001,0.007407407407409999,-1.0,0.057410530082,48883,812936,0.0,824,0.01375,-1.0,3,4,0,0.323529411765,0.0294117647059,0.196078431373,0.0392156862745,0.28431372549,0.127450980392,0.0,106.539090374,0.0010704077446499999,-1,0.0,466,0.209118741595,0.02625,-0.102594366821,1,68,0,404,5,2,0,0.20292801952,0.141666666667,0.0,0.0104166666667,68.3460219388,425,0.0,758,0.215681122825,0.02625,0,792,1,0,0.362749084994,0.289569445729,0.0,0.91454965358,0.0842956120092,0.0011547344110899999,600,0.00445918755778,933,0.0275,0,1,125,2,0.0666937779585,0.0749063670412,0.0,0.0524344569288,0.00374531835206,0.393258426966,0.00749063670412,117.68112264,49258,0.0275,2,20,0.0036231884058,0.576086956522,0.230072463768,0.036231884058,119.54387733799999,49016,0.00514705882353,325,194,551.06,-0.046814126368,2,0,0,0,3,0.00854005693371,0.0571428571429,0.0,0.0,0.0,0.542857142857,0.0857142857143,0.314285714286,0.0,0.0467160607583,50806,0
0.0046972433354,579.36,0.0343248979789,0.4502440071,0.00420657342192,7.850194962430001,758.213715577,109.0,665.41,0.253434222161,0.0825,10.7909902672,1.1212705872,207.99002751,0.0357029001811,0.0014933331765799999,1.8147634261400003,106.337568206,35.3819918145,479.31,-0.510226216533,0.975432506814,0.007570932000470001,598.37,0.0794356411929,1.19974015889,13.5065078858,121.26339765,0.027324908943,1.19752846145,109.03031136700001,14.0778274623,1.4204906794799999,0.031102702035,0.00464945327575,824,612.66,0.163212735733,0.0633333333333,215,-1.0,0,253,41,13,3,11,0.0870013755158,0.139455782313,0.044217687074800005,0.380952380952,0.0102040816327,0.28231292516999995,0.105442176871,0.0374149659864,136.74846564799998,0.0255954985827,-1,1136161,0.0,833,0.0675,-1.0,10,2,5,0.294117647059,0.0653594771242,0.261437908497,0.013071895424799999,0.241830065359,0.09150326797389999,0.0326797385621,127.5606382,0.00240625533502,-1,0.0,808,0.11326869860300001,0.026666666666700003,-1.0,3,58,2,331,10,1,1,0.140646492435,0.14285714285700002,0.00492610837438,0.0246305418719,111.734201849,-1,1.26767615945e-06,1049,0.22443445866700001,0.05375,6,1028,16,1,0.386863823934,0.290550108069,0.00535236396075,0.917038358608,0.049955396967,0.014272970562,-1,0.00471103285826,1058,0.0475,5,1,144,5,0.0680880330124,0.0416666666667,0.0160256410256,0.105769230769,0.00320512820513,0.35576923076899997,0.0160256410256,122.963347269,-1,0.0625,11,69,0.0133982947625,0.561510353228,0.175395858709,0.08404384896469999,119.847278358,-1,0.00519806416921,550,192,600.0,-1.0,3,1,12,5,7,0.0299174690509,0.0215827338129,0.00719424460432,0.08633093525180001,0.035971223021599996,0.48201438848899997,0.05035971223019999,0.31654676259,100.217147955,0.0278564301848,-1,0
