abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,fixationsaccadetimeratio,longestsaccadedistance,longestsaccadeduration,maxdistance,maxpupilsize,maxpupilvelocity,maxsaccadespeed,meanabspathangles,meanfixationduration,meanpupilsize,meanpupilvelocity,meanrelpathangles,meansaccadedistance,meansaccadeduration,meansaccadespeed,minpupilsize,minsaccadespeed,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevpathdistance,stddevpupilsize,stddevrelpathangles,stddevsaccadedistance,stddevsaccadeduration,stddevsaccadespeed,Relevant bars_endpupilsize,Relevant bars_fixationrate,Relevant bars_longestfixation,Relevant bars_maxdistance,Relevant bars_maxpupilsize,Relevant bars_maxpupilvelocity,Relevant bars_meanfixationduration,Relevant bars_mindistance,Relevant bars_numevents,Relevant bars_numfixations,Relevant bars_numtransfrom_Non-relevant bars,Relevant bars_numtransfrom_Refs,Relevant bars_numtransfrom_Text,Relevant bars_numtransfrom_labels,Relevant bars_numtransfrom_legend,Relevant bars_proportionnum,Relevant bars_proptransfrom_Non-relevant bars,Relevant bars_proptransfrom_Refs,Relevant bars_proptransfrom_Relevant bars,Relevant bars_proptransfrom_Text,Relevant bars_proptransfrom_Viz,Relevant bars_proptransfrom_labels,Relevant bars_proptransfrom_legend,Relevant bars_stddevpupilvelocity,Relevant bars_timetofirstfixation,Relevant bars_timetolastfixation,Non-relevant bars_endpupilsize,Non-relevant bars_fixationrate,Non-relevant bars_leftclicrate,Non-relevant bars_longestfixation,Non-relevant bars_maxpupilvelocity,Non-relevant bars_meanfixationduration,Non-relevant bars_mindistance,Non-relevant bars_numtransfrom_Refs,Non-relevant bars_numtransfrom_Text,Non-relevant bars_numtransfrom_legend,Non-relevant bars_proportionnum,Non-relevant bars_proptransfrom_Non-relevant bars,Non-relevant bars_proptransfrom_Refs,Non-relevant bars_proptransfrom_Relevant bars,Non-relevant bars_proptransfrom_Text,Non-relevant bars_proptransfrom_Viz,Non-relevant bars_proptransfrom_labels,Non-relevant bars_proptransfrom_legend,Non-relevant bars_stddevdistance,Non-relevant bars_stddevfixationduration,Non-relevant bars_stddevpupilsize,Non-relevant bars_stddevpupilvelocity,Non-relevant bars_timetofirstfixation,Text_leftclicrate,Text_longestfixation,Text_maxpupilsize,Text_maxpupilvelocity,Text_minpupilsize,Text_numtransfrom_Non-relevant bars,Text_numtransfrom_Refs,Text_numtransfrom_Relevant bars,Text_numtransfrom_Text,Text_numtransfrom_Viz,Text_numtransfrom_labels,Text_numtransfrom_legend,Text_proportionnum,Text_proptransfrom_Refs,Text_proptransfrom_Viz,Text_proptransfrom_labels,Text_proptransfrom_legend,Text_stddevpupilsize,Text_timetofirstfixation,Refs_longestfixation,Refs_maxpupilsize,Refs_maxpupilvelocity,Refs_numtransfrom_Non-relevant bars,Refs_numtransfrom_Refs,Refs_numtransfrom_Relevant bars,Refs_numtransfrom_Viz,Refs_numtransfrom_labels,Refs_numtransfrom_legend,Refs_proportionnum,Refs_proptransfrom_Refs,Refs_proptransfrom_Text,Refs_proptransfrom_Viz,Refs_proptransfrom_labels,Refs_timetofirstfixation,labels_fixationrate,labels_longestfixation,labels_maxpupilvelocity,labels_numtransfrom_Refs,labels_numtransfrom_Text,labels_numtransfrom_Viz,labels_numtransfrom_legend,labels_proportionnum,labels_proptransfrom_Non-relevant bars,labels_proptransfrom_Refs,labels_proptransfrom_Relevant bars,labels_proptransfrom_Viz,labels_proptransfrom_labels,labels_proptransfrom_legend,labels_stddevfixationduration,labels_stddevpupilsize,labels_timetofirstfixation,Viz_fixationrate,Viz_longestfixation,Viz_maxpupilvelocity,Viz_numtransfrom_Refs,Viz_numtransfrom_Text,Viz_numtransfrom_legend,Viz_proportionnum,Viz_proptransfrom_Non-relevant bars,Viz_proptransfrom_Relevant bars,Viz_proptransfrom_Text,Viz_proptransfrom_Viz,Viz_proptransfrom_labels,Viz_proptransfrom_legend,Viz_stddevfixationduration,Viz_timetofirstfixation,legend_fixationrate,legend_longestfixation,legend_meanfixationduration,legend_meanpupilvelocity,legend_minpupilsize,legend_numtransfrom_Non-relevant bars,legend_numtransfrom_Refs,legend_numtransfrom_Relevant bars,legend_numtransfrom_Text,legend_numtransfrom_labels,legend_proportionnum,legend_proportiontime,legend_proptransfrom_Non-relevant bars,legend_proptransfrom_Refs,legend_proptransfrom_Relevant bars,legend_proptransfrom_Viz,legend_proptransfrom_labels,legend_proptransfrom_legend,legend_stddevdistance,legend_stddevpupilsize,legend_timetofirstfixation,BarChartLit
0.0036307101034699996,619.22,0.146530809035,0.395785289799,0.00333489802638,8.4017693828,765.8633358430001,116.0,633.23,0.315691092336,0.06125,9.29625998045,1.09792827372,264.283613445,0.10031775171499999,0.0014567206250299999,1.7286234808200003,148.220695789,39.4881889764,3.36113302537,-0.233140049039,1.1681597075299999,0.005667895924729999,622.26,0.266822566049,1.2764752056200002,4.21269696379,112.03543505299999,0.047285027653599994,1.3022199401299999,121.74302986299999,14.8434990954,1.5097928297999998,0.139012574222,0.00364166059723,466,624.14,0.225472274575,0.01375,274,605.56,0,5,1,0,0,2,0,0.010504201680700001,0.14285714285700002,0.0,0.14285714285700002,0.0,0.428571428571,0.28571428571400004,0.0,0.00143903646101,27072,211528,0.152169485145,0.00500417014178,0.0,316,0.03625,199.0,-1.0,1,0,1,0.0252100840336,0.125,0.0625,0.0625,0.0,0.5,0.1875,0.0625,3.6265045933099995,86.738897639,0.058517309072400006,0.00280813146089,-1,0.0,566,0.278099918269,0.0375,-0.120366526838,0,10,0,82,4,0,0,0.207983193277,0.104166666667,0.0416666666667,0.0,0.0,0.047008888124799995,566,1332,0.278099918269,0.06125,0,248,0,2,1,1,0.558823529412,0.932330827068,0.052631578947400004,0.0075187969924799996,0.0037593984962399998,3372,0.00364667747164,466,0.0194444444444,1,0,20,1,0.056722689075600005,0.0769230769231,0.025641025641,0.0512820512821,0.5128205128209999,0.307692307692,0.025641025641,0.0,0.0638345201253,22442,0.0035693039857199998,1174,0.025625,3,3,6,0.176470588235,0.0849056603774,0.0377358490566,0.0283018867925,0.575471698113,0.18867924528299998,0.056603773584900006,154.020417986,22442,0.0033670033669999998,508,297.0,0.000994610281924,-1.0,0,0,0,0,1,0.0189075630252,0.0180164999596,0.0,0.0,0.0,0.642857142857,0.07142857142860001,0.28571428571400004,2.74946240165,0.0466556546785,-1,0
0.00513003159101,581.47,-0.0406262101959,0.47239161700599996,0.00413704606698,8.06104787028,783.040218791,100.0,606.17,0.0897914558296,0.0311111111111,10.4405362505,1.24620748718,175.95657568200002,-0.07170698629200001,0.00197780905141,1.6340615251,118.895014305,38.5714285714,2.7955197079,-0.18533622318300003,0.944419700261,0.00669308916734,584.34,0.0326220679828,1.24718556689,14.3736806722,115.77290985299999,0.0304055893088,1.1883848404100001,100.904887824,15.216096544500001,1.32776215277,-0.045985840306599995,0.00557065217391,500,598.76,0.0522740450551,0.020555555555599996,179,538.27,0,41,3,0,0,4,0,0.050868486352399996,0.06976744186049999,0.0,0.46511627906999997,0.0,0.37209302325599997,0.09302325581399999,0.0,0.00172600223604,24833,279032,-0.07457053423,0.00488412181574,0.0,591,0.01625,204.0,547.92,1,1,0,0.0632754342432,0.5714285714289999,0.0204081632653,0.0816326530612,0.0204081632653,0.265306122449,0.0408163265306,0.0,10.6367644166,114.596684071,0.0273650693616,0.0016758340400099998,-1,0.0,391,0.0522740450551,0.02375,-0.18533622318300003,0,29,1,146,2,1,0,0.228287841191,0.162011173184,0.0111731843575,0.00558659217877,0.0,0.0285449203742,42,483,0.0504875016849,0.01875,3,274,0,4,1,0,0.394540942928,0.881028938907,0.0932475884244,0.0128617363344,0.0032154340836,517,0.00577882847386,316,0.0311111111111,2,0,11,0,0.027295285359799998,0.17857142857099997,0.07142857142860001,0.07142857142860001,0.392857142857,0.28571428571400004,0.0,75.9068978608,0.0272250150403,26757,0.00521679960685,566,0.0311111111111,5,3,0,0.171215880893,0.09352517985610001,0.08633093525180001,0.0215827338129,0.676258992806,0.08633093525180001,0.0,92.911267614,142,0.0,-1,0.0,0.0025597222222199997,-1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.546326399360001,0.0237397760842,-1,1
0.00464829371894,596.66,0.0582097898622,0.365274341558,0.0036012706666799996,8.44593895993,733.3126139660001,100.0,661.54,0.251422251494,0.06625,9.399404507869999,1.2932470582200002,250.21106259099997,0.0162518875119,0.0014884632916199998,1.6170258011,106.48115386299999,36.6755476613,2.5775970362900003,-0.233095152291,1.03260592486,0.00580074361547,641.81,0.0626685389768,1.3042806248899999,16.991367576600002,92.19032970110001,0.032969508069500005,1.2613231788200001,91.4632518414,13.239862439500001,1.24609053221,0.028484795764900005,0.00322470318073,2432,647.04,0.0953660324838,0.02,310,579.92,1,66,7,3,3,10,4,0.0320232896652,0.0886075949367,0.0379746835443,0.40506329113899997,0.0379746835443,0.25316455696199996,0.12658227848099998,0.050632911392400004,0.00118997172321,85365,865733,0.028484795764900005,0.00332205475238,0.0,924,0.0075,301.0,578.59,4,0,0,0.026200873362400002,0.368421052632,0.0701754385965,0.19298245614,0.0,0.280701754386,0.08771929824560001,0.0,22.9249301667,171.44122707100001,0.0296824786912,0.00106926625505,80302,0.0,933,0.18008226566100002,0.03375,-0.0874426812143,2,40,0,384,6,1,2,0.21300339641,0.0919540229885,0.013793103448299999,0.00229885057471,0.0045977011494300005,0.0280225216342,533,1566,0.251422251494,0.06625,1,1099,2,7,2,0,0.561377971858,0.953165654814,0.0364267129228,0.00607111882047,0.00173460537728,5737,0.00393852065322,916,0.0375,3,2,56,0,0.03978651140219999,0.0793650793651,0.0238095238095,0.07142857142860001,0.444444444444,0.365079365079,0.0,0.0,0.037207312588300005,92427,0.00386342663796,2148,0.0625,6,5,24,0.152353226589,0.056265984654699994,0.056265984654699994,0.0127877237852,0.644501278772,0.153452685422,0.0613810741688,191.999359357,80669,0.0029889409185999997,2148,334.0,0.00133720246495,-0.0636626859365,2,0,3,1,0,0.014556040756899999,0.0150791516494,0.0487804878049,0.0,0.0731707317073,0.5609756097559999,0.0,0.292682926829,19.359182603,0.027854064383099997,80852,1
0.0059341594733,571.04,-0.0328449665514,0.6105518746490001,0.00421851802677,6.2605604250199995,744.9489010010001,100.0,603.72,0.312986227227,0.07,9.83627267477,1.4147890020200002,193.57796852599998,-0.0113576428467,0.0016191963505799998,1.3633209629499998,141.224075691,40.2426470588,3.08277517535,-0.198922093507,1.0124077393700002,0.005685372095,568.11,0.0511705212027,1.30581924084,11.1290148732,138.55264365899998,0.0371703233561,1.2135178914700002,122.546686014,15.209644281400001,1.5299941983200003,-0.0328449665514,0.00422609614369,841,590.71,0.0628936125172,0.016875,236,543.04,0,48,1,0,1,13,2,0.068669527897,0.0161290322581,0.0,0.258064516129,0.0161290322581,0.467741935484,0.209677419355,0.0322580645161,0.00131369755085,44178,256531,-0.0347988151039,0.0053717232488199994,0.0,450,0.02875,186.0,542.72,3,4,1,0.035765379113,0.0769230769231,0.115384615385,0.153846153846,0.153846153846,0.307692307692,0.153846153846,0.0384615384615,9.92270714781,76.4536896864,0.031530651122699996,0.00206264214401,2415,1.83063010288e-05,791,0.312986227227,0.03875,-0.101229665886,1,19,5,131,7,2,0,0.23748211731,0.115151515152,0.0424242424242,0.0121212121212,0.0,0.050418752519699996,2973,475,0.11369367488,0.04125,2,222,2,4,2,0,0.361945636624,0.880952380952,0.0793650793651,0.015873015873,0.00793650793651,2823,0.00482864209163,458,0.035,1,1,58,1,0.11731044349099999,0.08527131782950001,0.0077519379845,0.077519379845,0.449612403101,0.36434108527099995,0.0077519379845,96.4275458826,0.0246720765223,46252,0.00478519219646,1049,0.05375,4,6,9,0.260371959943,0.0775510204082,0.0857142857143,0.024489795918400004,0.518367346939,0.240816326531,0.0367346938776,117.587677409,125,0.00401337792642,516,249.0,0.00135259552539,-0.0836450289144,0,0,1,0,0,0.0171673819742,0.0155035544102,0.0,0.0,0.0625,0.6875,0.0,0.25,8.94089869019,0.0152539137951,45927,0
0.0055984797412100005,556.0,0.06911535050510001,0.498829755867,0.00432991800657,6.46872424293,580.742730839,83.0,594.87,0.309969538058,0.0325,10.0128057041,1.3006607748299999,197.42245199400003,0.103725650022,0.0013261340640099999,1.5203830358200001,117.65777411200001,35.980902777800004,2.89267941657,-0.320756535822,1.0078233323399999,0.00650534205049,594.87,0.0847102259582,1.29148233238,7.96249070366,113.624331778,0.0551814379975,1.22304901794,99.13364977549999,11.780218491400001,1.4885008208500001,0.0621842947482,0.005230769230770001,383,582.81,0.23719345261,0.00777777777778,191,561.18,0,17,3,0,0,4,2,0.0251107828656,0.130434782609,0.0,0.130434782609,0.0,0.478260869565,0.17391304347800002,0.08695652173910001,0.000963175165696,25242,257889,0.12456379656,0.005224660397069999,0.0,600,0.0177777777778,191.0,560.99,0,0,3,0.0516986706056,0.357142857143,0.0,0.047619047619,0.0,0.357142857143,0.166666666667,0.07142857142860001,5.4564967382,95.37141019379999,0.053178738527300005,0.0012412930487799999,24409,0.0,575,0.29610742654399996,0.0225,-0.10935933523600001,1,19,0,119,5,2,0,0.215657311669,0.130136986301,0.0342465753425,0.013698630137,0.0,0.061245104483599995,450,533,0.23719345261,0.0325,0,317,0,1,0,0,0.5007385524369999,0.9406528189910001,0.0563798219585,0.00296735905045,0.0,5447,0.00431331953071,533,0.02,1,1,33,1,0.0738552437223,0.0845070422535,0.0140845070423,0.0845070422535,0.464788732394,0.32394366197200003,0.0140845070423,110.633426694,0.0618121333936,25408,0.0048197650870800005,625,0.02,1,6,6,0.17577548005899998,0.1,0.07333333333330001,0.04,0.513333333333,0.22666666666700003,0.04,102.189131732,22943,0.0051657339647,266,193.0,0.00116108515057,0.0119341405105,0,0,1,2,1,0.017725258493400002,0.0132859773744,0.0,0.0,0.07142857142860001,0.5714285714289999,0.07142857142860001,0.14285714285700002,4.68939455863,0.0391051336686,23951,0
0.004596728474109999,623.69,-0.056998489556599995,0.495216213927,0.00351991123166,7.83756023991,701.558508498,100.0,674.35,0.248723461318,0.10125,9.04732047272,1.30897827923,251.739638062,0.0279636556453,0.00120019785954,1.30938792323,143.636561742,38.470217239,3.2452379213099998,-0.20770649350900003,1.13899958497,0.00458740477768,624.15,0.132463001126,1.36875799284,8.367440297989999,133.86235278200002,0.0426921008945,1.30978613515,124.92493171,13.7161027854,1.62976144362,-0.019680317149400002,0.00470372632865,958,636.54,0.16403991624000003,0.02125,212,599.9,0,77,14,5,2,9,0,0.044950379451299996,0.16867469879500002,0.0602409638554,0.42168674698799996,0.0240963855422,0.21686746988000002,0.10843373494000001,0.0,0.0012628775040599998,24257,651456,-0.061304432526699995,0.0045089797478000005,0.0,1124,0.02625,221.0,600.43,5,0,0,0.0344424985406,0.363636363636,0.0757575757576,0.181818181818,0.0,0.272727272727,0.106060606061,0.0,3.92408387614,183.320710119,0.06313434938830001,0.0013348237293800001,24390,0.0,766,0.21427591755699998,0.03875,-0.0670456898201,2,19,2,283,5,2,0,0.189725627554,0.0607028753994,0.015974440894599998,0.006389776357830001,0.0,0.0417905742578,341,858,0.148251458683,0.0325,0,413,4,5,5,0,0.279626386457,0.9137168141590001,0.055309734513300006,0.011061946902700001,0.011061946902700001,1091,0.0033526939604299998,1116,0.02125,3,0,47,0,0.041447752481,0.0810810810811,0.027027027026999998,0.0990990990991,0.423423423423,0.369369369369,0.0,176.992937712,0.038389536601900004,58,0.00368956086485,1915,0.035625,3,0,2,0.0834792761238,0.1,0.131578947368,0.0,0.494736842105,0.24736842105300003,0.0105263157895,204.715794061,58,0.00533333333333,300,187.0,0.00153712606838,0.00759065499429,0,0,0,0,0,0.00116754232341,0.000717974049546,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,4.31178832395,0.027873145861200002,-1,1
0.00599255900629,635.88,0.0396953602661,0.576037500009,0.00426965507611,5.9611598591699995,812.407787158,92.0,671.67,0.241563218537,0.1,11.4501924798,1.4081284674,197.690923957,0.057037085150499996,0.00153510136647,1.29702149865,131.449560419,38.3841121495,3.0768102445700003,-0.344308911482,1.06367500793,0.005501609834029999,623.26,0.194511311722,1.33288269731,10.0885777679,122.664432167,0.03807242340019999,1.2528242355399999,104.550488178,11.8269851225,1.48151678882,0.024517325809599998,0.0050445602825,791,640.86,0.156566225581,0.0277777777778,198,603.41,0,120,19,1,1,9,2,0.0981193785773,0.147286821705,0.0077519379845,0.410852713178,0.0077519379845,0.34108527131800004,0.06976744186049999,0.015503875969,0.0014992667813299998,15048,393220,0.024517325809599998,0.004483347566180001,0.0,883,0.0655555555556,223.0,-1.0,1,0,1,0.0686835650041,0.275510204082,0.0102040816327,0.17346938775499998,0.0,0.357142857143,0.17346938775499998,0.0102040816327,8.16934177422,119.25279416299999,0.0319334137051,0.0021798566747,-1,6.78858973837e-06,466,0.241563218537,0.013333333333299998,-0.0559262568095,0,34,0,101,2,0,0,0.11283728536399999,0.248175182482,0.014598540146,0.0,0.0,0.04534649933669999,500,583,0.186922294494,0.03875,2,537,2,1,0,1,0.474243663123,0.933913043478,0.055652173913,0.0017391304347800002,0.0,308,0.0042206517471500005,816,0.05875,0,0,52,1,0.0703188879804,0.0952380952381,0.0,0.15873015873,0.412698412698,0.325396825397,0.00793650793651,128.456813526,0.028395956014,14323,0.0047835152704499995,816,0.1,3,1,12,0.223221586263,0.09939759036139999,0.138554216867,0.00301204819277,0.539156626506,0.174698795181,0.03614457831330001,105.20089325299999,14323,0.004444444444439999,808,225.0,0.00144184362934,-0.011909956885799999,4,0,3,0,1,0.013082583810299997,0.012219461529099999,0.210526315789,0.0,0.157894736842,0.47368421052599996,0.052631578947400004,0.105263157895,9.5813939259,0.0349946432356,19728,1
0.00540577024883,595.89,-0.0329884088805,0.554397150674,0.0041446911687,7.206576544089999,927.238938568,92.0,634.37,0.22350551925200002,0.0655555555556,11.787416842,1.30862578832,204.705,-0.0161090270665,0.0014281158073099999,1.47477582225,146.17992853299998,38.1420581655,3.3524638858499998,-0.445737258749,1.09937851401,0.00607174039077,623.29,0.20876448889899998,1.31794790422,7.304688884349999,139.323530748,0.042967026196,1.26345297707,131.821711148,13.342795389900001,1.82803541526,0.00681237307102,0.00463700912911,483,623.37,0.22350551925200002,0.05,215,594.57,0,64,6,4,0,8,0,0.05333333333330001,0.0845070422535,0.056338028169,0.380281690141,0.0,0.366197183099,0.112676056338,0.0,0.0020971894906,35084,439729,-0.015299172457600001,0.00500570826381,0.0,525,0.0166666666667,199.0,590.14,5,2,0,0.0475,0.625,0.08928571428570001,0.107142857143,0.035714285714300006,0.125,0.017857142857099998,0.0,5.4901065538400005,108.56943137299999,0.0387808999658,0.00117408012807,34742,0.0,575,0.142429852313,0.0325,-0.145020239559,1,35,0,258,7,0,2,0.256666666667,0.11551155115499999,0.023102310230999998,0.0,0.00660066006601,0.050213613717,808,858,0.222031416217,0.03,0,368,4,14,5,1,0.360833333333,0.859813084112,0.08411214953269999,0.0327102803738,0.011682242990700002,458,0.00421707569997,608,0.036666666666699994,2,1,51,5,0.05083333333330001,0.00980392156863,0.019607843137299998,0.0588235294118,0.5,0.35294117647100004,0.0490196078431,129.478183491,0.0324386065497,38315,0.00469444901993,924,0.0655555555556,11,6,66,0.2375,0.028497409326400002,0.0699481865285,0.0155440414508,0.564766839378,0.12176165803099999,0.170984455959,123.861334894,1108,0.00493793292641,416,202.0,0.0014257956805899998,-0.142072033489,0,2,3,1,2,0.06,0.0444128343679,0.0,0.0169491525424,0.0254237288136,0.542372881356,0.0169491525424,0.38983050847499995,4.29987985424,0.0294649435886,36216,1
0.0062842728295400005,568.72,0.0171690906228,0.462167234376,0.0046691770819600005,6.46496427199,683.096978553,84.0,648.87,0.281304935123,0.035,9.09434369233,1.35156093386,186.979079498,0.0616352561851,0.0013003036423299998,1.45850336583,103.147304895,33.1976047904,2.75021031386,-0.10095377151399999,1.06403947229,0.00675302295422,597.34,0.0237314718527,1.36158101476,9.909232745910002,101.569671178,0.0524688470813,1.32368632774,94.86184554299999,11.238764451199998,1.3706618535100001,0.0171690906228,0.00462855820412,416,600.09,0.13365135745200002,0.010625,216,566.97,0,40,3,0,0,6,0,0.0418410041841,0.06818181818180001,0.0,0.45454545454499995,0.0,0.34090909090899996,0.13636363636399998,0.0,0.00102720611848,48883,305239,0.0237314718527,0.00502272183688,0.0,333,0.005555555555560001,199.0,-1.0,0,1,0,0.0219665271967,0.28,0.0,0.2,0.04,0.32,0.16,0.0,5.51501608173,58.701788729099995,0.0385564302204,0.0009266570827100001,-1,0.0,433,0.17630683544599998,0.024375,-0.09931317620660002,0,19,0,174,0,0,0,0.208158995816,0.0984455958549,0.0,0.0,0.0,0.045310848705000004,425,758,0.210759336903,0.02,0,227,0,0,0,0,0.262552301255,0.919028340081,0.080971659919,0.0,0.0,600,0.00443285528031,591,0.015625,0,0,26,1,0.0355648535565,0.056603773584900006,0.0,0.0754716981132,0.490566037736,0.358490566038,0.0188679245283,123.12447508,0.034290537884,49258,0.00474592521572,591,0.015625,1,0,9,0.103556485356,0.077519379845,0.116279069767,0.0,0.542635658915,0.18604651162799998,0.06976744186049999,103.60255689899999,49016,0.005717916137229999,300,174.88888888900001,0.0012702670481600001,-0.043532935753,0,0,0,0,1,0.0318021201413,0.0255159109699,0.0,0.0,0.0,0.642857142857,0.07142857142860001,0.28571428571400004,3.0274856354699997,0.0412535242465,50806,0
0.00453137396396,581.39,0.04399148581040001,0.435163135199,0.00404366819693,8.03246412825,664.5174849809999,91.0,665.41,0.253434222161,0.0825,9.525635473260001,1.12536816706,216.4397463,0.027714810539,0.0014046514138499999,1.84858357708,103.05446673899999,34.9694019471,2.51112457721,-0.510226216533,0.9911271746960001,0.00741184459361,598.37,0.0794356411929,1.20056877435,13.475757641,127.26892223200001,0.0276098601527,1.18754363568,108.282552682,13.7361389666,1.4391805398100002,0.0133806243438,0.00495185694635,675,599.02,0.118101992519,0.05,201,-1.0,0,54,0,3,1,8,2,0.0570824524313,0.0,0.046875,0.40625,0.015625,0.375,0.125,0.03125,0.00211259234224,-1,365963,0.0343248979789,0.0036603221083499997,0.0,400,0.00875,273.0,-1.0,0,0,0,0.00528541226216,0.4,0.0,0.0,0.0,0.4,0.2,0.0,5.6846137908,102.09431913700001,0.0190030271673,0.00129943287619,-1,0.0,808,0.11326869860300001,0.026666666666700003,-1.0,1,21,0,145,3,0,1,0.18287526427099998,0.122807017544,0.017543859649099998,0.0,0.0058479532163699995,0.0248921159344,-1,824,0.10199101279999999,0.05375,0,182,0,5,1,1,0.223044397463,0.870813397129,0.09569377990430002,0.023923444976099998,0.004784688995220001,-1,0.004823292116109999,1058,0.04,1,0,44,3,0.058139534883699995,0.0,0.0113636363636,0.10227272727299999,0.5,0.352272727273,0.034090909090900005,157.798629295,0.0215092288903,-1,0.00493042952208,1058,0.0625,3,4,33,0.172304439746,0.00420168067227,0.109243697479,0.016806722689100002,0.529411764706,0.18907563025199997,0.138655462185,132.229318204,-1,0.00487483530962,550,205.0,0.00163590850364,-1.0,0,1,3,2,5,0.039112050739999994,0.0283773325307,0.0,0.0166666666667,0.05,0.516666666667,0.08333333333330001,0.3,5.7304158773800005,0.027272443298,-1,0
