abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,fixationsaccadetimeratio,longestsaccadedistance,longestsaccadeduration,maxdistance,maxpupilsize,maxpupilvelocity,maxsaccadespeed,meanabspathangles,meanfixationduration,meanpupilsize,meanpupilvelocity,meanrelpathangles,meansaccadedistance,meansaccadeduration,meansaccadespeed,minpupilsize,minsaccadespeed,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevpathdistance,stddevpupilsize,stddevpupilvelocity,stddevrelpathangles,stddevsaccadedistance,stddevsaccadeduration,stddevsaccadespeed,Relevant bars_fixationrate,Relevant bars_longestfixation,Relevant bars_maxdistance,Relevant bars_maxpupilsize,Relevant bars_maxpupilvelocity,Relevant bars_meanfixationduration,Relevant bars_mindistance,Relevant bars_numevents,Relevant bars_numfixations,Relevant bars_numtransfrom_Non-relevant bars,Relevant bars_numtransfrom_Refs,Relevant bars_numtransfrom_Text,Relevant bars_numtransfrom_labels,Relevant bars_numtransfrom_legend,Relevant bars_proportionnum,Relevant bars_proptransfrom_Non-relevant bars,Relevant bars_proptransfrom_Refs,Relevant bars_proptransfrom_Relevant bars,Relevant bars_proptransfrom_Text,Relevant bars_proptransfrom_Viz,Relevant bars_proptransfrom_labels,Relevant bars_proptransfrom_legend,Relevant bars_stddevdistance,Relevant bars_stddevpupilsize,Relevant bars_stddevpupilvelocity,Relevant bars_timetofirstfixation,Relevant bars_timetolastfixation,Non-relevant bars_enddistance,Non-relevant bars_fixationrate,Non-relevant bars_leftclicrate,Non-relevant bars_longestfixation,Non-relevant bars_meanfixationduration,Non-relevant bars_mindistance,Non-relevant bars_numtransfrom_Refs,Non-relevant bars_numtransfrom_Text,Non-relevant bars_numtransfrom_legend,Non-relevant bars_proportionnum,Non-relevant bars_proptransfrom_Non-relevant bars,Non-relevant bars_proptransfrom_Refs,Non-relevant bars_proptransfrom_Relevant bars,Non-relevant bars_proptransfrom_Text,Non-relevant bars_proptransfrom_Viz,Non-relevant bars_proptransfrom_labels,Non-relevant bars_proptransfrom_legend,Non-relevant bars_stddevdistance,Non-relevant bars_timetofirstfixation,Text_leftclicrate,Text_longestfixation,Text_maxpupilsize,Text_maxpupilvelocity,Text_minpupilsize,Text_numtransfrom_Non-relevant bars,Text_numtransfrom_Refs,Text_numtransfrom_Relevant bars,Text_numtransfrom_Text,Text_numtransfrom_Viz,Text_numtransfrom_labels,Text_numtransfrom_legend,Text_proportionnum,Text_proptransfrom_Refs,Text_proptransfrom_Relevant bars,Text_proptransfrom_Viz,Text_proptransfrom_labels,Text_proptransfrom_legend,Text_stddevdistance,Text_timetofirstfixation,Refs_longestfixation,Refs_maxpupilsize,Refs_maxpupilvelocity,Refs_numtransfrom_Non-relevant bars,Refs_numtransfrom_Refs,Refs_numtransfrom_Relevant bars,Refs_numtransfrom_Viz,Refs_numtransfrom_labels,Refs_numtransfrom_legend,Refs_proportionnum,Refs_proptransfrom_Refs,Refs_proptransfrom_Relevant bars,Refs_proptransfrom_Viz,Refs_timetofirstfixation,labels_fixationrate,labels_longestfixation,labels_maxpupilsize,labels_maxpupilvelocity,labels_numtransfrom_Refs,labels_numtransfrom_Text,labels_numtransfrom_Viz,labels_numtransfrom_legend,labels_proportionnum,labels_proptransfrom_Non-relevant bars,labels_proptransfrom_Refs,labels_proptransfrom_Relevant bars,labels_proptransfrom_Text,labels_proptransfrom_Viz,labels_proptransfrom_labels,labels_proptransfrom_legend,labels_stddevfixationduration,labels_stddevpupilsize,labels_timetofirstfixation,Viz_fixationrate,Viz_leftclicrate,Viz_longestfixation,Viz_maxpupilvelocity,Viz_numtransfrom_Refs,Viz_numtransfrom_Text,Viz_numtransfrom_legend,Viz_proportionnum,Viz_proptransfrom_Non-relevant bars,Viz_proptransfrom_Refs,Viz_proptransfrom_Relevant bars,Viz_proptransfrom_Text,Viz_proptransfrom_Viz,Viz_proptransfrom_labels,Viz_proptransfrom_legend,Viz_stddevfixationduration,Viz_timetofirstfixation,legend_fixationrate,legend_longestfixation,legend_maxpupilsize,legend_meanfixationduration,legend_meanpupilvelocity,legend_minpupilsize,legend_numtransfrom_Non-relevant bars,legend_numtransfrom_Refs,legend_numtransfrom_Relevant bars,legend_numtransfrom_Text,legend_numtransfrom_labels,legend_proportionnum,legend_proportiontime,legend_proptransfrom_Non-relevant bars,legend_proptransfrom_Refs,legend_proptransfrom_Relevant bars,legend_proptransfrom_Viz,legend_proptransfrom_labels,legend_proptransfrom_legend,legend_stddevdistance,legend_stddevpupilsize,legend_timetofirstfixation,BarChartLit
0.00362545354492,615.76,0.22171315716899997,0.391714298023,0.0033289371958699996,8.57722136008,765.8633358430001,116.0,632.38,0.315691092336,0.06125,9.29625998045,1.0980729752,265.647540984,0.10582977564099999,0.00147349430058,1.7380212292500001,149.898633663,39.9195804196,3.33945500143,-0.233140049039,1.1681597075299999,0.00569091493502,622.26,0.266822566049,1.2783460900599999,4.0051037377,114.93091465399999,0.04693169901719999,0.00194597286892,1.30545894812,126.25999863,15.628263908900001,1.5129993590000002,0.00350877192982,466,618.72,0.225472274575,0.01375,285.0,605.56,0,4,1,0,0,2,0,0.0109289617486,0.166666666667,0.0,0.166666666667,0.0,0.33333333333299997,0.33333333333299997,0.0,2.25178969705,0.0501218471215,0.0015077030947999999,27072,91253,615.77,0.0048828125,0.0,316,204.0,-1.0,1,0,1,0.0273224043716,0.153846153846,0.0769230769231,0.0769230769231,0.0,0.46153846153800004,0.153846153846,0.0769230769231,3.2867598896599994,-1,0.0,525,0.278099918269,0.0375,-0.120366526838,0,8,0,64,2,0,0,0.207650273224,0.10810810810799999,0.0,0.027027027026999998,0.0,0.0,4.06182149775,566,1332,0.278099918269,0.06125,0,193,0,2,1,1,0.565573770492,0.927884615385,0.0,0.00961538461538,3372,0.00357909806729,466,0.268702124752,0.0194444444444,1,0,14,0,0.0546448087432,0.103448275862,0.0344827586207,0.0689655172414,0.0,0.48275862069,0.310344827586,0.0,0.0,0.065036181529,22442,0.0034831647039299998,0.0,1174,0.025625,2,1,3,0.17213114754099998,0.0897435897436,0.025641025641,0.0384615384615,0.0128205128205,0.602564102564,0.192307692308,0.0384615384615,166.102086759,22442,0.0033670033669999998,483,0.18036286569499999,297.0,0.00103201295466,-1.0,0,0,0,0,0,0.016393442623,0.015532254268799998,0.0,0.0,0.0,0.75,0.0,0.25,2.4500028469,0.042486252016199995,-1,0
0.00519787465279,589.47,-0.015614603012899998,0.47402762464599996,0.00421410916164,7.71249973854,783.040218791,100.0,606.17,0.0897914558296,0.03,10.4405362505,1.23940433388,174.067307692,-0.069858601792,0.0019986403156,1.6641550008200001,122.225451097,39.046831955900004,2.82611952369,-0.18533622318300003,0.944419700261,0.00694549880808,584.34,0.0326220679828,1.25084318798,15.2478395569,117.91903893899999,0.031899221518700005,0.00191550923992,1.19272487386,105.940492111,15.7174818967,1.4016440541,0.00552566526101,500,598.76,0.0522740450551,0.020555555555599996,180.0,538.27,0,38,3,0,0,3,0,0.060897435897399994,0.075,0.0,0.5,0.0,0.35,0.075,0.0,13.8894186058,0.0314509946776,0.00173563908322,24833,208072,589.55,0.00535787882951,0.0,400,186.0,547.92,1,1,0,0.0625,0.648648648649,0.027027027026999998,0.10810810810799999,0.027027027026999998,0.162162162162,0.027027027026999998,0.0,12.5567996382,-1,0.0,391,0.0522740450551,0.02125,-0.18533622318300003,0,24,1,135,2,1,0,0.266025641026,0.14723926380400001,0.00613496932515,0.0122699386503,0.00613496932515,0.0,16.6324098872,42,483,0.0504875016849,0.01875,0,196,0,3,1,0,0.36538461538500006,0.878923766816,0.0,0.0134529147982,517,0.00520471894518,316,0.0022508306891799996,0.01875,0,0,9,0,0.0240384615385,0.190476190476,0.0,0.047619047619,0.0,0.428571428571,0.33333333333299997,0.0,81.9076134609,0.0292486713858,26757,0.00520960124641,0.0,566,0.01875,2,2,0,0.17147435897399999,0.0818181818182,0.0181818181818,0.0909090909091,0.0181818181818,0.7090909090909999,0.0818181818182,0.0,88.87472633510001,142,0.0,-1,-0.026333863234200002,0.0,0.00298611111111,-1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28657820635,0.0256617898569,-1,1
0.004647645915470001,602.69,-0.022047694200400002,0.36350845790299996,0.0035912083897300003,8.180896785639998,733.3126139660001,100.0,661.54,0.251422251494,0.06625,9.399404507869999,1.29642140252,249.955491329,0.0150651459916,0.00148388642028,1.6120823370100001,106.40170781799999,36.7094313454,2.58075556979,-0.233095152291,1.03260592486,0.00576924503458,641.81,0.0626685389768,1.31794456967,13.2041467968,90.51247612040001,0.0323037127523,0.0014934372067799998,1.27249188404,90.0891850517,13.1025754002,1.23081153455,0.00314348127231,2432,647.04,0.0953660324838,0.02,318.0,600.46,1,59,7,3,2,8,3,0.0341040462428,0.101449275362,0.0434782608696,0.434782608696,0.0289855072464,0.231884057971,0.115942028986,0.0434782608696,16.2669672522,0.0322597112874,0.00114254694447,85365,717302,600.68,0.0031347962382399994,0.0,924,319.0,600.65,3,0,0,0.017341040462400002,0.25,0.09375,0.3125,0.0,0.28125,0.0625,0.0,10.4450804272,80302,0.0,933,0.18008226566100002,0.03375,-0.0874426812143,1,30,0,335,6,1,2,0.217919075145,0.08,0.0,0.016,0.00266666666667,0.00533333333333,7.03726923411,533,1566,0.251422251494,0.06625,0,948,2,4,0,0,0.571098265896,0.961460446247,0.00202839756592,0.00405679513185,5737,0.00426559356137,541,0.105769780418,0.01125,2,1,38,0,0.030635838150299997,0.0459770114943,0.0229885057471,0.0919540229885,0.0114942528736,0.43678160919500003,0.39080459770099996,0.0,0.0,0.0410637239321,92427,0.00399523050002,0.0,2148,0.0625,3,4,21,0.149132947977,0.0443037974684,0.00949367088608,0.0569620253165,0.012658227848100001,0.680379746835,0.129746835443,0.0664556962025,195.609364158,80669,0.00289564539481,2148,0.123604776876,345.0,0.00137855609232,-0.050286438592800006,2,0,2,1,0,0.0150289017341,0.0159811053108,0.0555555555556,0.0,0.0555555555556,0.555555555556,0.0,0.305555555556,9.810914195730001,0.0274350069113,80852,1
0.00601839891812,569.93,0.00818585304942,0.639069194034,0.00429338638982,5.973560088130001,744.9489010010001,100.0,603.72,0.312986227227,0.07,9.83627267477,1.4091485550999998,188.37630662,-0.010831930922299999,0.0016916002586400002,1.34389649267,144.11309226,40.709459459499996,3.1284005985400003,-0.198922093507,1.0124077393700002,0.00570955471328,568.11,0.0511705212027,1.3051596641299998,10.7106550143,139.95554125200002,0.0398908987325,0.0021337602349000002,1.2167186511,122.44520837,15.275906483599998,1.5497753290600003,0.0051602814699,416,590.71,0.0628936125172,0.016875,193.0,543.04,0,33,1,0,1,11,1,0.0574912891986,0.022727272727299998,0.0,0.25,0.022727272727299998,0.431818181818,0.25,0.022727272727299998,9.54684327867,0.0262622321013,0.00138383676293,44178,206049,562.8,0.00560420315236,0.0,266,178.0,542.72,3,2,0,0.027874564459899998,0.0625,0.1875,0.1875,0.125,0.25,0.1875,0.0,9.1178423999,2415,1.83063010288e-05,791,0.312986227227,0.03875,-0.101229665886,1,17,3,112,5,0,0,0.245644599303,0.12318840579700001,0.0217391304348,0.036231884058,0.0,0.0,12.9005522871,2973,475,0.11369367488,0.04125,2,190,2,4,2,0,0.38153310104500004,0.871559633028,0.009174311926610001,0.0183486238532,2823,0.004843325750350001,450,0.0746167038317,0.035,1,0,51,1,0.114982578397,0.0550458715596,0.009174311926610001,0.0733944954128,0.0,0.467889908257,0.385321100917,0.009174311926610001,90.63952270899999,0.0260178960528,46252,0.0049666574048300004,0.0,1049,0.045,4,4,6,0.249128919861,0.0567010309278,0.020618556701,0.07216494845360001,0.020618556701,0.546391752577,0.252577319588,0.0309278350515,110.199722655,125,0.00538461538462,325,0.014047398706700001,185.0,0.0014083710407200001,-0.0836450289144,0,0,1,0,0,0.0121951219512,0.00823785866369,0.0,0.0,0.125,0.75,0.0,0.125,11.501067568599998,0.0180612680315,45927,0
0.0055001919607399995,562.47,0.09857233747199999,0.5174721514,0.00426810367438,6.46274020505,580.742730839,83.0,594.87,0.29610742654399996,0.0325,10.0128057041,1.29591320585,199.02793296099998,0.101998382619,0.0013293856135000001,1.54420573031,122.561619365,36.7190265487,2.96693765342,-0.320756535822,1.0078233323399999,0.00651718959119,594.87,0.0847102259582,1.2945318879899999,7.89708716611,116.556005301,0.0502892012239,0.00145684795725,1.23314544987,99.88378618120001,11.944375548900002,1.50054472249,0.005070422535209999,383,582.81,0.2146675214,0.00777777777778,197.0,562.55,0,9,3,0,0,0,2,0.016759776536299998,0.272727272727,0.0,0.0909090909091,0.0,0.45454545454499995,0.0,0.181818181818,4.23863069205,0.0365822373884,0.00102906534029,25242,169034,562.53,0.005693800084350001,0.0,325,175.0,561.39,0,0,3,0.0502793296089,0.413793103448,0.0,0.0689655172414,0.0,0.344827586207,0.0689655172414,0.103448275862,4.75387453589,24409,0.0,575,0.29610742654399996,0.0225,-0.10935933523600001,1,15,0,103,2,1,0,0.22905027933000002,0.122950819672,0.0,0.016393442623,0.008196721311479999,0.0,11.2795440484,450,533,0.23719345261,0.0325,0,279,0,1,0,0,0.553072625698,0.945762711864,0.0,0.00338983050847,5447,0.00460251046025,408,0.219865813218,0.02,1,0,4,1,0.0204841713222,0.1,0.1,0.2,0.0,0.4,0.1,0.1,98.91966437469999,0.044908728097299996,25408,0.00481695568401,0.0,625,0.02,1,4,6,0.111731843575,0.15873015873,0.015873015873,0.0793650793651,0.0634920634921,0.5079365079370001,0.0793650793651,0.0952380952381,100.029995501,22943,0.0051657339647,266,0.211201993522,193.0,0.00116108515057,0.0119341405105,0,0,1,2,1,0.0223463687151,0.016553011679,0.0,0.0,0.07142857142860001,0.5714285714289999,0.07142857142860001,0.14285714285700002,4.68939455863,0.0391051336686,23951,0
0.0045349228498,618.1,-0.0211156314728,0.49438267640600003,0.00349482297647,8.0544897454,701.558508498,100.0,658.13,0.248723461318,0.10125,8.73756992006,1.30030747345,253.261921216,0.0322928939513,0.0011986575434500002,1.32729668642,143.900986024,38.5272879933,3.23906273742,-0.20770649350900003,1.13899958497,0.00461943267727,624.15,0.132463001126,1.36711381602,6.91346572209,135.565455251,0.0429691407599,0.0014810670243499999,1.3121297102299998,126.196548329,13.780660640199999,1.6412348021599998,0.004674353381119999,958,635.15,0.16403991624000003,0.02125,213.0,599.9,0,75,14,5,2,9,0,0.0518313752592,0.172839506173,0.0617283950617,0.41975308642,0.0246913580247,0.20987654321,0.111111111111,0.0,3.51461525354,0.0360131290042,0.0012586644850799999,24257,314714,606.96,0.00437055446054,0.0,1124,228.0,600.43,3,0,0,0.035245335176199995,0.362068965517,0.051724137931,0.206896551724,0.0,0.275862068966,0.103448275862,0.0,3.4116786863099997,24390,0.0,766,0.21427591755699998,0.02,-0.0498219179399,2,18,2,125,4,2,0,0.10573600552899999,0.117647058824,0.013071895424799999,0.0261437908497,0.013071895424799999,0.0,8.169954240689998,341,858,0.148251458683,0.0325,0,380,4,4,4,0,0.305459571527,0.917874396135,0.009661835748790001,0.009661835748790001,1091,0.0032957375128200004,700,0.133898315449,0.02125,2,0,27,0,0.031098825155500002,0.0606060606061,0.030303030303,0.166666666667,0.0,0.40909090909100004,0.33333333333299997,0.0,115.532856405,0.0308581457471,58,0.00370609635851,0.0,1915,0.035625,2,0,2,0.0753282653766,0.105263157895,0.015037593984999998,0.18045112782000003,0.0,0.503759398496,0.18045112782000003,0.015037593984999998,197.907479319,58,0.00533333333333,300,0.182699002443,187.0,0.00153712606838,0.00759065499429,0,0,0,0,0,0.0013821700069100002,0.000841267419844,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,4.31178832395,0.027873145861200002,-1,1
0.0061384108523299995,629.09,0.041213163711699995,0.602715689591,0.00438742074131,5.66541579998,767.162896147,92.0,671.67,0.241563218537,0.1,11.4501924798,1.4031762316999998,191.13094083400003,0.0611410142663,0.00154092439821,1.2871458205700002,132.923636058,38.7230941704,3.08571222978,-0.344308911482,1.06367500793,0.00561438557423,623.26,0.194511311722,1.34551157613,7.31634263602,124.258649044,0.0390098611339,0.00208143225759,1.2642832952299998,105.034163297,11.8984010026,1.4873305676100002,0.00535685298415,408,639.49,0.156566225581,0.0277777777778,186.0,603.41,0,99,15,1,1,9,2,0.0960232783705,0.13636363636399998,0.00909090909091,0.445454545455,0.00909090909091,0.3,0.0818181818182,0.0181818181818,7.03282571195,0.030037003451799996,0.0015887254443099998,15048,302525,630.22,0.0052097368184700005,0.0,433,191.0,-1.0,1,0,1,0.0562560620757,0.3,0.0142857142857,0.14285714285700002,0.0,0.32857142857099997,0.2,0.0142857142857,7.3698317840100005,-1,4.12941589412e-06,466,0.241563218537,0.013333333333299998,-0.0559262568095,0,30,0,85,1,0,0,0.11348205625600001,0.258620689655,0.0,0.00862068965517,0.0,0.0,5.4706906777499995,500,583,0.186922294494,0.03875,2,484,2,1,0,1,0.506304558681,0.934362934363,0.003861003861,0.0019305019305,308,0.00446717596789,816,0.156566225581,0.05875,0,0,42,0,0.0669253152279,0.09708737864080001,0.0,0.15533980582499998,0.0,0.407766990291,0.339805825243,0.0,111.824376486,0.028092921891200003,14323,0.00508060112533,0.0,816,0.1,3,0,9,0.20756547041700002,0.07279693486589998,0.0114942528736,0.137931034483,0.0,0.567049808429,0.17624521072799998,0.0344827586207,88.55636649590001,14323,0.00564971751412,358,0.148977208352,177.0,0.00135111740636,-0.011909956885799999,3,0,2,0,1,0.0126091173618,0.009501785972370001,0.1875,0.0,0.125,0.5,0.0625,0.125,7.858287479439999,0.036737870598199995,19728,1
0.00549445787137,608.97,-0.053625851373899996,0.54616228412,0.00420244648,7.14839239109,871.9463291239999,92.0,631.15,0.22350551925200002,0.0655555555556,11.787416842,1.3123211934,203.289962825,-0.019356820506200002,0.0014484118182599998,1.47421004581,144.984218765,37.8407224959,3.3479106964,-0.445737258749,1.11609799771,0.006149227190899999,623.29,0.20876448889899998,1.31850615223,5.27773663385,135.65559384899998,0.041796461103400004,0.00190109124844,1.2641642622799998,132.571300488,13.169663985,1.84335654012,0.004662209711470001,483,623.37,0.22350551925200002,0.05,214.0,600.43,0,53,0,3,0,8,0,0.0656753407683,0.0,0.05,0.433333333333,0.0,0.383333333333,0.133333333333,0.0,4.372568820940001,0.0472271799972,0.0021668389374699996,35084,272095,613.46,0.00666666666667,0.0,183,150.0,609.42,1,0,0,0.0121951219512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.16328441872,34742,0.0,575,0.142429852313,0.02625,-0.145020239559,0,24,0,136,4,0,0,0.210656753408,0.14634146341499998,0.0,0.0243902439024,0.0,0.0,4.520913407619999,808,858,0.222031416217,0.03,0,257,2,7,5,0,0.374225526642,0.86531986532,0.00673400673401,0.023569023569,458,0.00417995040737,608,0.056931876269300005,0.018125,1,0,51,5,0.0731102850062,0.01,0.01,0.06,0.0,0.51,0.36,0.05,131.086047023,0.0315834672723,38315,0.0048765743073,0.0,608,0.0655555555556,8,2,64,0.299876084263,0.005797101449279999,0.023188405797099996,0.0724637681159,0.005797101449279999,0.573913043478,0.133333333333,0.185507246377,106.80464580299999,1108,0.00510515086864,416,0.0392426398464,195.0,0.00144811395202,-0.139123827418,0,2,2,1,2,0.08302354399010001,0.0603913195531,0.0,0.017699115044200003,0.017699115044200003,0.530973451327,0.017699115044200003,0.407079646018,3.82199769345,0.0296147878529,36216,1
0.006277015497729999,577.88,0.0713087357689,0.462117569741,0.00467090035017,6.44068860041,683.096978553,84.0,648.87,0.281304935123,0.035,8.514603647080001,1.3489978841999999,186.13468869099998,0.06485046002759999,0.0013122600567499999,1.4729404313299999,103.02323201200001,33.2142857143,2.7441755304699997,-0.10095377151399999,1.06403947229,0.0068275059461599995,597.34,0.0237314718527,1.36040949514,6.92253958268,101.885250894,0.05260876432159999,0.0012399937171099999,1.3187981007,94.6441764307,11.4275566546,1.3514269828,0.0045615813481999995,416,600.09,0.13365135745200002,0.010625,219.0,578.99,0,27,0,0,0,6,0,0.0343074968234,0.0,0.0,0.41935483871,0.0,0.387096774194,0.193548387097,0.0,3.34814296807,0.0380889399113,0.00109944462114,48883,136247,583.04,0.00525854513585,0.0,283,190.0,-1.0,0,0,0,0.00762388818297,0.0,0.0,0.111111111111,0.0,0.555555555556,0.33333333333299997,0.0,2.05424718574,-1,0.0,433,0.17630683544599998,0.024375,-0.035329959215800004,0,11,0,160,0,0,0,0.22363405336699999,0.0643274853801,0.0,0.0,0.0,0.0,8.614920318220001,425,758,0.210759336903,0.02,0,139,0,0,0,0,0.193138500635,0.920529801325,0.0,0.0,600,0.00473612990528,591,0.130370166837,0.015625,0,0,21,1,0.0355781448539,0.046511627906999996,0.0,0.09302325581399999,0.0,0.488372093023,0.348837209302,0.023255813953499998,124.513869523,0.036273488593900005,49258,0.004859142708390001,1.62108710101e-05,591,0.015625,1,0,9,0.106734434562,0.0545454545455,0.00909090909091,0.11818181818199999,0.0,0.563636363636,0.172727272727,0.0818181818182,100.265851434,49016,0.005717916137229999,300,0.11068302314799999,174.88888888900001,0.0012702670481600001,-0.043532935753,0,0,0,0,1,0.0318021201413,0.0255159109699,0.0,0.0,0.0,0.642857142857,0.07142857142860001,0.28571428571400004,3.0274856354699997,0.0412535242465,50806,0
0.0045251856122700005,585.98,0.0633246614736,0.43343078963,0.00400590760233,8.33012423763,664.5174849809999,91.0,665.41,0.253434222161,0.0825,9.525635473260001,1.1338222183,220.406905055,0.0265571255043,0.00140435413512,1.8702869486000002,102.49861485,34.847649919,2.50688584862,-0.510226216533,0.9911271746960001,0.0074367673838200005,598.37,0.0794356411929,1.21789386294,13.2677974771,128.14859412799998,0.0281282243003,0.0019640816755699996,1.18681058491,107.24663764399999,13.757859565499999,1.43999927771,0.0051637279597,675,597.84,0.0923244249683,0.05,193.0,-1.0,0,41,0,3,0,3,1,0.0505548705302,0.0,0.06666666666669999,0.46666666666699996,0.0,0.37777777777800003,0.06666666666669999,0.022222222222199998,5.00155508841,0.0283928536443,0.0023336586142899997,-1,299517,572.6,0.0036603221083499997,0.0,400,273.0,-1.0,0,0,0,0.00616522811344,0.4,0.0,0.0,0.0,0.4,0.2,0.0,5.6846137908,-1,0.0,808,0.11326869860300001,0.026666666666700003,-1.0,1,13,0,139,3,0,1,0.194821208385,0.0828025477707,0.0,0.0191082802548,0.0,0.0063694267515899995,9.06968987734,-1,824,0.10199101279999999,0.05375,0,138,0,4,1,1,0.196054254007,0.87898089172,0.0,0.0254777070064,-1,0.00393652355763,1058,0.0955466209122,0.0175,1,0,25,2,0.039457459926,0.0,0.0192307692308,0.0961538461538,0.0,0.48076923076899997,0.36538461538500006,0.0384615384615,187.41354996299998,0.0208003152628,-1,0.00461583651546,0.0,1058,0.0625,3,4,27,0.13563501849600001,0.00617283950617,0.0185185185185,0.111111111111,0.0246913580247,0.506172839506,0.166666666667,0.166666666667,137.985140804,-1,0.0049115913556,550,0.124546384407,203.0,0.0015516865079400002,-1.0,0,1,2,2,3,0.0369913686806,0.0262315921477,0.0,0.0204081632653,0.0408163265306,0.510204081633,0.061224489795900006,0.326530612245,3.21566493548,0.0303625826959,-1,0
