abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,fixationsaccadetimeratio,longestsaccadedistance,longestsaccadeduration,maxdistance,maxpupilsize,maxpupilvelocity,maxsaccadespeed,meanabspathangles,meanfixationduration,meanpupilsize,meanpupilvelocity,meanrelpathangles,meansaccadedistance,meansaccadeduration,meansaccadespeed,mindistance,minpupilsize,minsaccadespeed,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevpathdistance,stddevpupilsize,stddevrelpathangles,stddevsaccadedistance,stddevsaccadeduration,stddevsaccadespeed,Relevant bars_endpupilsize,Relevant bars_fixationrate,Relevant bars_longestfixation,Relevant bars_maxdistance,Relevant bars_maxpupilsize,Relevant bars_maxpupilvelocity,Relevant bars_meanfixationduration,Relevant bars_mindistance,Relevant bars_numevents,Relevant bars_numfixations,Relevant bars_numtransfrom_Refs,Relevant bars_numtransfrom_Text,Relevant bars_numtransfrom_legend,Relevant bars_proportionnum,Relevant bars_proptransfrom_Non-relevant bars,Relevant bars_proptransfrom_Refs,Relevant bars_proptransfrom_Relevant bars,Relevant bars_proptransfrom_Text,Relevant bars_proptransfrom_Viz,Relevant bars_proptransfrom_labels,Relevant bars_proptransfrom_legend,Relevant bars_stddevfixationduration,Relevant bars_stddevpupilsize,Relevant bars_timetofirstfixation,Relevant bars_timetolastfixation,Non-relevant bars_endpupilsize,Non-relevant bars_leftclicrate,Non-relevant bars_longestfixation,Non-relevant bars_maxpupilvelocity,Non-relevant bars_mindistance,Non-relevant bars_numtransfrom_Refs,Non-relevant bars_numtransfrom_Text,Non-relevant bars_numtransfrom_legend,Non-relevant bars_proptransfrom_Non-relevant bars,Non-relevant bars_proptransfrom_Refs,Non-relevant bars_proptransfrom_Relevant bars,Non-relevant bars_proptransfrom_Text,Non-relevant bars_proptransfrom_Viz,Non-relevant bars_proptransfrom_labels,Non-relevant bars_proptransfrom_legend,Non-relevant bars_stddevfixationduration,Non-relevant bars_stddevpupilvelocity,Non-relevant bars_timetofirstfixation,Text_leftclicrate,Text_longestfixation,Text_maxpupilsize,Text_maxpupilvelocity,Text_minpupilsize,Text_numtransfrom_Non-relevant bars,Text_numtransfrom_Refs,Text_numtransfrom_Relevant bars,Text_numtransfrom_Text,Text_numtransfrom_Viz,Text_numtransfrom_labels,Text_numtransfrom_legend,Text_proportionnum,Text_proptransfrom_Refs,Text_proptransfrom_Relevant bars,Text_proptransfrom_Viz,Text_stddevfixationduration,Text_timetofirstfixation,Refs_leftclicrate,Refs_longestfixation,Refs_maxpupilsize,Refs_maxpupilvelocity,Refs_numtransfrom_Non-relevant bars,Refs_numtransfrom_Refs,Refs_numtransfrom_Relevant bars,Refs_numtransfrom_Viz,Refs_numtransfrom_legend,Refs_proportionnum,Refs_proptransfrom_Non-relevant bars,Refs_proptransfrom_Refs,Refs_proptransfrom_Text,Refs_proptransfrom_Viz,Refs_timetofirstfixation,labels_fixationrate,labels_longestfixation,labels_maxpupilvelocity,labels_numtransfrom_Refs,labels_numtransfrom_Text,labels_numtransfrom_Viz,labels_numtransfrom_legend,labels_proportionnum,labels_proptransfrom_Non-relevant bars,labels_proptransfrom_Refs,labels_proptransfrom_Relevant bars,labels_proptransfrom_Text,labels_proptransfrom_labels,labels_proptransfrom_legend,labels_stddevfixationduration,labels_timetofirstfixation,Viz_longestfixation,Viz_maxpupilvelocity,Viz_numtransfrom_Text,Viz_numtransfrom_legend,Viz_proptransfrom_Non-relevant bars,Viz_proptransfrom_Relevant bars,Viz_proptransfrom_Text,Viz_proptransfrom_Viz,Viz_proptransfrom_labels,Viz_proptransfrom_legend,Viz_stddevfixationduration,Viz_timetofirstfixation,legend_fixationrate,legend_longestfixation,legend_meanfixationduration,legend_minpupilsize,legend_numtransfrom_Non-relevant bars,legend_numtransfrom_Refs,legend_numtransfrom_Relevant bars,legend_numtransfrom_Text,legend_numtransfrom_labels,legend_proportionnum,legend_proptransfrom_Non-relevant bars,legend_proptransfrom_Refs,legend_proptransfrom_Relevant bars,legend_proptransfrom_Text,legend_proptransfrom_Viz,legend_proptransfrom_labels,legend_proptransfrom_legend,legend_stddevfixationduration,legend_timetofirstfixation,BarChartLit
0.00402206755789,624.46,0.244267861609,0.434970255829,0.00358101213198,8.349171101649999,987.7231053160001,117.0,666.44,0.402150792689,0.12125,9.29625998045,1.13062295367,243.116754617,0.11267307099000001,0.0021361249628599997,1.7103623478999999,150.91514219200002,40.233241506,3.40299867305,594.82,-0.327117984206,1.1681597075299999,0.006044025833520001,622.26,0.266822566049,1.27620837587,6.2602098881099995,113.774640705,0.0541425471956,1.28007769099,117.298755341,14.7852506449,1.46608684151,0.0863849305285,0.0039696860339200005,550,644.51,0.310052416226,0.0144444444444,251,603.76,0,33,2,0,1,0.021767810026400002,0.21951219512200001,0.0487804878049,0.14634146341499998,0.0,0.39024390243900003,0.170731707317,0.0243902439024,-1.0,0.068769243221,27072,714087,0.116457869782,0.0,516,0.03625,-1.0,2,2,5,0.196078431373,0.0392156862745,0.156862745098,0.0392156862745,0.33333333333299997,0.13725490196100001,0.0980392156863,88.0063918133,0.0024249897007,-1,0.0,650,0.296895505302,0.045,-0.127884761652,0,35,1,299,10,3,0,0.232189973615,0.100574712644,0.0028735632183899996,0.0287356321839,95.5541641719,566,0.0,1332,0.398391675282,0.09,1,609,2,4,1,0.438654353562,0.0015060240963900003,0.917168674699,0.0677710843373,0.00602409638554,3372,0.00395770905185,483,0.030625,3,0,48,4,0.0461741424802,0.0660377358491,0.0283018867925,0.09433962264149999,0.0,0.320754716981,0.0377358490566,0.0,22442,1174,0.030625,4,29,0.0777777777778,0.062962962963,0.014814814814799999,0.540740740741,0.174074074074,0.10740740740700001,0.0,22442,0.00340014316392,1091,294,-1.0,3,0,2,0,3,0.0250659630607,0.051724137931,0.0,0.0344827586207,0.0,0.568965517241,0.051724137931,0.293103448276,183.61549130900002,-1,0
0.004996568178010001,579.77,-0.0692109041193,0.484520647142,0.00412497028623,7.81505771447,783.040218791,125.0,608.26,0.0897914558296,0.03875,10.4405362505,1.2181803555500001,173.38079096,-0.0765934918902,0.0020798092129299998,1.64150490349,122.124770433,39.2901606426,2.8441754788200004,538.27,-0.204988200255,0.944419700261,0.00669464868096,584.34,0.0326220679828,1.24699566163,12.683042436400001,113.58873597799999,0.0298999135073,1.2040300501899999,99.05383644770001,15.6547917937,1.28743142905,-0.0692109041193,0.00540806293019,500,598.76,0.0522740450551,0.020555555555599996,184,538.27,0,88,0,1,0,0.049717514124300005,0.061224489795900006,0.0,0.489795918367,0.0102040816327,0.316326530612,0.122448979592,0.0,90.5953488948,0.027512957865400003,24833,671136,-0.0924359679321,0.0,733,0.01625,547.92,2,1,1,0.536585365854,0.0243902439024,0.10975609756100001,0.0121951219512,0.243902439024,0.0609756097561,0.0121951219512,128.546927229,0.00156525429016,-1,0.0,550,0.0701394787573,0.0377777777778,-0.204988200255,0,56,2,251,4,1,0,0.187005649718,0.178343949045,0.0063694267515899995,0.0127388535032,70.3897590692,42,0.0,658,0.0504875016849,0.03875,3,605,0,7,0,0.38870056497199995,0.0044776119403000005,0.902985074627,0.08059701492539999,0.010447761194,517,0.00545921644188,475,0.0311111111111,2,0,44,4,0.038418079096,0.117647058824,0.019607843137299998,0.0490196078431,0.0,0.343137254902,0.0392156862745,83.45934750859999,26757,633,0.0311111111111,4,18,0.0747663551402,0.0778816199377,0.01246105919,0.616822429907,0.143302180685,0.056074766355099996,97.16373402040001,142,0.00485436893204,633,206,-1.0,0,0,5,1,3,0.0107344632768,0.0,0.0,0.17857142857099997,0.035714285714300006,0.46428571428599996,0.107142857143,0.214285714286,133.37541002700002,-1,1
0.004728085400810001,594.3,0.0626685389768,0.385491093486,0.00371482579088,7.752813639339999,733.3126139660001,100.0,661.54,0.251422251494,0.06625,9.399404507869999,1.27652434161,240.607311321,0.023884680333099997,0.0013961164516500001,1.64004887442,106.89317143,36.915090974,2.54547107845,562.15,-0.233095152291,0.8679086241439999,0.006056573122,641.81,0.0626685389768,1.3187276792,23.984111504899996,97.9221256747,0.0357676716864,1.2761257797399999,95.0951976798,13.4346143271,1.28048787489,-0.0279926930198,0.00357893960078,2432,647.04,0.0953660324838,0.02,279,573.92,1,97,5,4,4,0.028596698113199998,0.0689655172414,0.0431034482759,0.37068965517200003,0.0344827586207,0.293103448276,0.155172413793,0.0344827586207,-1.0,0.0318724530823,85365,1356959,-0.0324514421344,0.0,924,0.0075,573.77,5,2,0,0.347222222222,0.0694444444444,0.152777777778,0.0277777777778,0.29166666666700003,0.111111111111,0.0,-1.0,0.0010461040695599999,80302,0.0,1166,0.18008226566100002,0.0425,-0.0993326788532,3,56,2,626,8,1,3,0.208726415094,0.0801144492132,0.0028612303290400003,0.0114449213162,128.703435298,533,0.0,1566,0.251422251494,0.06625,2,1533,3,13,2,0.478183962264,0.00123762376238,0.9486386138609999,0.037128712871300006,0.00804455445545,5737,0.00391531322506,916,0.0375,6,2,71,0,0.031839622641500004,0.07407407407410001,0.037037037037,0.0864197530864,0.0123456790123,0.35185185185199996,0.0,0.0,92427,2148,0.0625,5,25,0.0590717299578,0.0801687763713,0.0105485232068,0.6160337552740001,0.151898734177,0.052742616033800004,185.69708897599997,80669,0.00319638995958,2148,312,-0.0636626859365,3,1,4,1,0,0.0100235849057,0.06666666666669999,0.022222222222199998,0.0888888888889,0.022222222222199998,0.533333333333,0.0,0.266666666667,0.0,80852,1
0.00614605667208,544.8,-0.0269834208942,0.605321030136,0.00426983806576,6.05403969102,795.475848441,125.0,684.92,0.312986227227,0.07,9.83627267477,1.4489257516499998,190.256730138,-0.0030151594921500003,0.0015606014223100001,1.3893822130200002,139.182104778,40.270815811599995,3.0389045784500004,447.06,-0.198922093507,0.898858081567,0.00585453243778,568.11,0.0511705212027,1.31774991808,13.6712104625,135.975916948,0.035197097644599995,1.2223119017,121.81272604,15.544949413900001,1.50069991791,0.019908944363900002,0.00503334050333,841,639.38,0.111739826328,0.016875,198,535.48,0,117,7,4,7,0.0768220617203,0.0277777777778,0.0486111111111,0.33333333333299997,0.0277777777778,0.368055555556,0.145833333333,0.0486111111111,129.184077432,0.0297034348445,44178,590940,-0.0035372382651099998,0.0,500,0.0425,538.19,7,4,3,0.225,0.0875,0.1375,0.05,0.3125,0.15,0.0375,84.256157045,0.00215053791504,2415,4.8839333245400006e-06,791,0.312986227227,0.03875,-0.118814302858,3,46,7,245,13,2,1,0.209455022981,0.145110410095,0.0220820189274,0.0410094637224,87.82187876569999,2973,7.325899986810001e-06,641,0.12150906909000002,0.04125,4,491,4,8,2,0.37360472751100005,0.00711743772242,0.8736654804269999,0.0889679715302,0.0142348754448,2823,0.004617834394899999,491,0.035,1,1,96,1,0.09520682862770001,0.103139013453,0.0044843049327399995,0.103139013453,0.0044843049327399995,0.349775784753,0.0044843049327399995,98.2392205,46252,1049,0.05375,11,34,0.08061420345489999,0.08829174664110001,0.021113243761999998,0.5335892514399999,0.199616122841,0.0652591170825,106.981640615,125,0.004485562097,591,222,-0.09146042312410001,3,0,4,3,3,0.0315167432699,0.041095890411,0.0,0.0547945205479,0.041095890411,0.506849315068,0.041095890411,0.315068493151,121.227322951,45927,0
0.00555592184574,573.84,0.0535204750521,0.5082228648170001,0.0043344808462500006,6.37539626801,1119.79925552,100.0,597.11,0.348090344721,0.0588888888889,12.3138863843,1.28939896543,197.835495283,0.107872388266,0.0013743463456199999,1.56289832598,118.412192116,36.0564349621,2.9001762547500003,513.1,-0.320756535822,1.0078233323399999,0.00669446662206,594.87,0.0847102259582,1.28647199037,7.89868113322,120.444899327,0.0540269031026,1.23265546165,105.728582539,11.9860275729,1.49215387257,0.12629656050000002,0.005220497321060001,425,583.9,0.23719345261,0.013333333333299998,191,554.91,0,76,1,1,7,0.0448113207547,0.0606060606061,0.010101010100999999,0.272727272727,0.010101010100999999,0.424242424242,0.151515151515,0.0707070707071,-1.0,0.0499895769195,25242,711524,0.00327032081437,0.0,600,0.0177777777778,555.61,0,1,4,0.35294117647100004,0.0,0.0882352941176,0.0147058823529,0.323529411765,0.16176470588199998,0.0588235294118,93.31364510959999,0.00115736675403,24409,0.0,575,0.29610742654399996,0.0288888888889,-0.10935933523600001,1,34,0,253,10,3,0,0.181603773585,0.11295681063100001,0.0,0.0332225913621,87.9841746209,450,0.0,533,0.23719345261,0.0325,0,576,1,4,0,0.36733490566,0.0,0.9350649350650001,0.0551948051948,0.00649350649351,5447,0.00441967083347,650,0.02,1,1,100,2,0.07900943396230001,0.0588235294118,0.004901960784310001,0.08333333333330001,0.004901960784310001,0.348039215686,0.00980392156863,108.970886641,25408,650,0.0588888888889,13,28,0.050607287449400004,0.082995951417,0.026315789473700002,0.572874493927,0.204453441296,0.0566801619433,97.91091547129999,22943,0.005365526492289999,391,186,-0.008859026760239998,1,0,3,2,2,0.0235849056604,0.017543859649099998,0.0,0.052631578947400004,0.035087719298199996,0.561403508772,0.035087719298199996,0.298245614035,64.0822788416,23951,0
0.00454606772101,638.9,-0.00102123094583,0.487485840866,0.00347428065851,7.88031181347,805.66167335,100.0,687.48,0.248723461318,0.105,9.78445538852,1.31225506901,255.611700602,0.0099344197042,0.0012498973299600001,1.34859709299,143.884904523,38.4844444444,3.2832034730400004,585.02,-0.296695981557,1.13899958497,0.00465853123853,624.15,0.132463001126,1.3692038788299998,10.7858086923,129.681018148,0.04398863730219999,1.32118052147,120.437787125,13.528463966199999,1.56025873868,0.00472002634758,0.00489986389267,958,663.27,0.16403991624000003,0.026666666666700003,204,599.9,0,126,9,8,1,0.0361342127904,0.166666666667,0.0652173913043,0.340579710145,0.0579710144928,0.239130434783,0.12318840579700001,0.007246376811590001,125.565058834,0.041665469489599996,24257,1351029,0.00184939770088,0.0,1124,0.02625,600.43,18,4,1,0.37106918239,0.11320754717,0.119496855346,0.0251572327044,0.251572327044,0.11320754717,0.0062893081761,160.207941461,0.0014375690827700001,24390,0.0,775,0.21427591755699998,0.04333333333330001,-0.123022948431,5,86,8,684,16,5,1,0.239747634069,0.106832298137,0.00993788819876,0.0198757763975,113.952243385,341,0.0,966,0.158298658946,0.06375,3,1066,8,24,0,0.365357040436,0.00247524752475,0.879537953795,0.0750825082508,0.019801980198,1091,0.0027781615017399997,2915,0.02125,8,1,111,1,0.0519070834528,0.114068441065,0.0304182509506,0.0798479087452,0.0038022813688200004,0.346007604563,0.0038022813688200004,350.42800814,58,2915,0.035625,10,14,0.10082304526699999,0.09259259259260001,0.020576131687200003,0.497942386831,0.230452674897,0.0288065843621,278.901676512,58,0.00565159574468,375,176,-0.13163483437100001,0,0,1,1,0,0.004875250932029999,0.0,0.0,0.0384615384615,0.0384615384615,0.576923076923,0.0,0.346153846154,0.0,-1,1
0.00585259385385,626.9,0.0017502741249799999,0.544194664444,0.00416286214613,6.16815492957,1091.40116676,133.0,671.67,0.241563218537,0.10625,11.9376084419,1.4121133282700002,205.17054945099997,0.042832378021099994,0.00156354098834,1.29728701744,128.644882517,37.7145679012,3.03718043583,575.62,-0.344308911482,1.06367500793,0.005352950736090001,623.26,0.194511311722,1.3223405937700001,10.2748824093,121.05202438200001,0.039792357325499995,1.23911690862,107.941845759,12.3120056982,1.5159571394100002,-0.024052384451,0.00490606921646,791,644.14,0.156566225581,0.08625,203,603.41,0,240,4,2,4,0.105494505495,0.13636363636399998,0.0151515151515,0.393939393939,0.00757575757576,0.329545454545,0.10227272727299999,0.0151515151515,99.47866195370001,0.039790059575900004,15048,772975,0.007821487907560001,0.0,1033,0.08375,-1.0,1,1,1,0.387234042553,0.00425531914894,0.153191489362,0.00425531914894,0.293617021277,0.153191489362,0.00425531914894,139.21951562,0.00205052396951,-1,3.5561308585e-06,541,0.241563218537,0.02375,-0.06199747059209999,3,55,3,313,7,0,0,0.16879120879099999,0.14435695538100002,0.007874015748029999,0.018372703412099997,69.8986958122,500,3.5561308585e-06,774,0.186922294494,0.03875,2,780,2,3,1,0.375824175824,0.00237812128419,0.9274673008319999,0.061831153388800006,0.0035671819262800006,308,0.0040790633262,816,0.05875,0,0,91,1,0.0712087912088,0.157657657658,0.0,0.144144144144,0.0,0.28378378378400004,0.0045045045045,0.0,14323,1332,0.10625,8,16,0.111292962357,0.147299509002,0.013093289689,0.540098199673,0.15548281505699998,0.0261865793781,129.81326825600001,14323,0.00421860019175,808,237,-0.06199747059209999,5,0,3,0,1,0.00967032967033,0.17857142857099997,0.0,0.107142857143,0.0,0.5,0.035714285714300006,0.17857142857099997,171.339123489,19728,1
0.0053380791694700004,594.78,-0.015299172457600001,0.524631420813,0.00407754429165,7.625038321739999,946.524468044,109.0,643.42,0.22350551925200002,0.08875,12.620326240599999,1.3136225190700002,205.44489935200002,-0.029999086972599998,0.00147596700548,1.49309116528,140.560993863,37.812411179499996,3.2601018302599996,585.09,-0.445737258749,0.952696440195,0.006046602230229999,623.29,0.20876448889899998,1.29056478936,7.87707527836,134.29540023299998,0.0440397155777,1.24026585111,127.50438221799999,13.492102566700002,1.7830882640799999,-0.00498045121092,0.00473351508433,766,623.37,0.22350551925200002,0.08875,211,588.5,0,158,5,4,1,0.053906516547300005,0.170454545455,0.028409090909099998,0.363636363636,0.022727272727299998,0.295454545455,0.113636363636,0.00568181818182,-1.0,0.0431227316119,35084,970877,0.0112346821768,0.0,733,0.04,587.66,10,7,1,0.46231155778899996,0.050251256281399995,0.185929648241,0.035175879397,0.195979899497,0.06532663316580001,0.005025125628140001,125.311654497,0.0014907688630699998,34742,0.0,575,0.170437809983,0.04875,-0.17155409419300002,4,74,2,520,15,4,2,0.214261344251,0.11916264090199999,0.0032206119162600006,0.024154589372,93.3661055473,808,0.0,858,0.222031416217,0.03,3,826,5,24,1,0.324462640737,0.00317796610169,0.875,0.0783898305085,0.0254237288136,458,0.0037416266017600004,816,0.036666666666699994,3,2,140,6,0.0634595701126,0.0844594594595,0.0101351351351,0.047297297297300006,0.006756756756760001,0.35810810810800003,0.0202702702703,136.399908853,38315,924,0.0655555555556,13,74,0.0694626474443,0.0642201834862,0.0170380078637,0.555701179554,0.17562254259500001,0.0969855832241,128.49550280399998,1108,0.004915023390770001,416,203,-0.142072033489,0,2,4,2,2,0.028317980211499998,0.0,0.015037593984999998,0.0300751879699,0.015037593984999998,0.541353383459,0.015037593984999998,0.383458646617,86.67066907579999,36216,1
0.00635003222164,583.4,0.000763137548274,0.470124076457,0.004679585875060001,6.60187102276,742.388155487,100.0,707.64,0.281304935123,0.0522222222222,9.09434369233,1.36327309611,188.86210087900002,0.0500923264784,0.0013191616009700002,1.46452668505,104.18541861799999,33.6069518717,2.74992935449,529.32,-0.406104498701,0.929355036076,0.006789950546439999,597.34,0.0237314718527,1.3447513580000001,22.6666497571,104.504022083,0.0534811971381,1.3114943868,94.33710838030001,11.0899843376,1.3781292584399998,0.0614651639242,0.00478422183167,458,656.72,0.20747814628800001,0.010625,209,544.85,0,98,1,0,1,0.045349375289199995,0.10810810810799999,0.00900900900901,0.387387387387,0.0,0.351351351351,0.135135135135,0.00900900900901,-1.0,0.056239687229399996,48883,711148,0.0581839733092,0.0,824,0.01375,-1.0,3,3,0,0.326315789474,0.0315789473684,0.210526315789,0.0315789473684,0.273684210526,0.126315789474,0.0,107.541642257,0.00107688254332,-1,0.0,466,0.209118741595,0.02625,-0.102594366821,0,59,0,364,4,2,0,0.205460434984,0.137529137529,0.0,0.00932400932401,68.97326665029999,425,0.0,758,0.215681122825,0.02625,0,689,0,1,0,0.357704766312,0.0,0.9137931034479999,0.0848806366048,0.00132625994695,600,0.004480138054619999,933,0.0183333333333,0,1,102,2,0.06247107820450001,0.0772727272727,0.0,0.0545454545455,0.00454545454545,0.39090909090899995,0.00909090909091,124.237014697,49258,999,0.02125,2,20,0.08078602620089999,0.0764192139738,0.004366812227069999,0.563318777293,0.227074235808,0.0436681222707,125.186279804,49016,0.00514705882353,325,194,-0.046814126368,2,0,0,0,3,0.00971772327626,0.0571428571429,0.0,0.0,0.0,0.542857142857,0.0857142857143,0.314285714286,0.0,50806,0
0.00471434197491,584.7,0.06171356350169999,0.455438885815,0.0042030346633999995,7.751288931,758.213715577,109.0,665.41,0.253434222161,0.0825,10.7909902672,1.12626968972,207.537515375,0.0353135520475,0.00149614439046,1.81628503228,107.27124199299999,35.501344809,2.5977128984,522.19,-0.510226216533,0.975432506814,0.0075713102699399995,598.37,0.0794356411929,1.2055844787299999,14.538487406600002,123.300207649,0.0279482319754,1.20378650069,109.399758034,14.065216902000001,1.42241898417,0.0810467391648,0.00485175202156,824,612.66,0.163212735733,0.0633333333333,206,-1.0,0,189,8,2,9,0.0774907749077,0.126126126126,0.036036036036,0.382882882883,0.00900900900901,0.297297297297,0.10810810810799999,0.0405405405405,133.681922424,0.0268513433929,-1,955329,0.04399148581040001,0.0,833,0.0675,-1.0,8,2,4,0.272727272727,0.07272727272730001,0.263636363636,0.0181818181818,0.24545454545499998,0.0909090909091,0.0363636363636,127.941922045,0.00255638632143,-1,0.0,808,0.11326869860300001,0.026666666666700003,-1.0,3,49,2,316,8,0,1,0.157031570316,0.129287598945,0.00527704485488,0.0211081794195,112.78851311700001,-1,1.52660801439e-06,824,0.22443445866700001,0.05375,5,828,5,11,1,0.371873718737,0.005530973451329999,0.9159292035400001,0.0530973451327,0.012168141592899999,-1,0.00484029829745,1058,0.0475,4,1,129,5,0.0705207052071,0.0358422939068,0.0143369175627,0.09677419354839999,0.00358422939068,0.36917562723999997,0.0179211469534,126.094576034,-1,1058,0.0625,10,61,0.04208998548619999,0.0957910014514,0.0145137880987,0.55732946299,0.190130624093,0.088534107402,121.357018324,-1,0.005079874339949999,550,196,-1.0,2,1,10,4,7,0.031160311603099997,0.0161290322581,0.00806451612903,0.0806451612903,0.0322580645161,0.483870967742,0.0564516129032,0.322580645161,103.179907605,-1,0
