[1] "Userchar,WindowSize,Slice,Model,Repeat,Accuracy_mean,Accuracy_sd,Kappa_mean,Kappa_sd,AccuracyHigh_mean,AccuracyHigh_sd,AccuracyLow_mean,AccuracyLow_sd"
[1] "BarChartLit,1000,1,rf,8,0.553333333333333,0.226732016723284,0.174230769230769,0.379025114281615,0.48,0.398515764825954,0.620689655172414,0.18681844611701"
[1] "BarChartLit,1000,1,regLogistic,8,0.423333333333333,0.244974173493886,-0.123225304107657,0.464685365724124,0.28,0.307197608015379,0.551724137931035,0.240190467718889"
[1] "BarChartLit,1000,1,xgbTree,8,0.586666666666667,0.208581333871241,0.221837965955613,0.355517721812916,0.56,0.291356978445495,0.620689655172414,0.282136499049048"
[1] "BarChartLit,1000,1,svmLinear,8,0.57,0.185558882205709,0.179545454545455,0.285968542581504,0.48,0.379473319220205,0.655172413793103,0.317742122436233"
[1] "BarChartLit,1000,1,MajorityClass,9,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,9,0.476666666666667,0.263429424568318,0.123809523809524,0.378264325871152,0.4,0.380475892484537,0.517241379310345,0.350590414823277"
[1] "BarChartLit,1000,1,regLogistic,9,0.556666666666667,0.262960354707983,0.132277526395173,0.499683390227831,0.48,0.35606312976908,0.620689655172414,0.249719091751729"
[1] "BarChartLit,1000,1,xgbTree,9,0.523333333333333,0.198170646005587,0.128205128205128,0.245914314042797,0.56,0.292900112991573,0.482758620689655,0.312043033574672"
[1] "BarChartLit,1000,1,svmLinear,9,0.56,0.142984070596848,0.198261542379189,0.240515458123425,0.52,0.258051305345422,0.586206896551724,0.211527566924786"
[1] "BarChartLit,1000,1,MajorityClass,10,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,1,rf,10,0.56,0.173418782356682,0.0685114885114885,0.296513977251922,0.52,0.211068709192054,0.586206896551724,0.318710850666947"
[1] "BarChartLit,1000,1,regLogistic,10,0.526666666666667,0.240780623477005,0.106173826173826,0.435277504548543,0.44,0.2518928343562,0.620689655172414,0.376221019737172"
[1] "BarChartLit,1000,1,xgbTree,10,0.59,0.114449838060605,0.169139194139194,0.210632465134847,0.56,0.202361063448481,0.620689655172414,0.262193289056331"
[1] "BarChartLit,1000,1,svmLinear,10,0.626666666666667,0.253274847049896,0.144460539460539,0.445149907640946,0.6,0.351781181986757,0.655172413793103,0.322727291053478"
[1] "BarChartLit,1000,2,MajorityClass,1,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,1,0.56,0.342034580592354,0.140617715617716,0.588563346534666,0.44,0.345976877840124,0.655172413793103,0.371479600257294"
[1] "BarChartLit,1000,2,regLogistic,1,0.523333333333333,0.233095116493961,0.119270729270729,0.407391369837177,0.56,0.29698484809835,0.482758620689655,0.289760061286334"
[1] "BarChartLit,1000,2,xgbTree,1,0.606666666666667,0.291780401105242,0.289918414918415,0.460151055959,0.56,0.276043474836845,0.655172413793103,0.329579871380709"
[1] "BarChartLit,1000,2,svmLinear,1,0.626666666666667,0.265181046936467,0.230567765567766,0.491325144717545,0.64,0.390768473651598,0.620689655172414,0.272933045384685"
[1] "BarChartLit,1000,2,MajorityClass,2,0.537037037037037,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,2,rf,2,0.573333333333333,0.214188102400382,0.177888777888778,0.292935278209486,0.52,0.345198355676711,0.620689655172414,0.256369512601785"
[1] "BarChartLit,1000,2,regLogistic,2,0.586666666666667,0.234757558155453,0.128554778554779,0.239044923600395,0.44,0.323787114070488,0.689655172413793,0.250964252207063"
