abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,fixationsaccadetimeratio,longestsaccadedistance,longestsaccadeduration,maxdistance,maxpupilsize,maxpupilvelocity,maxsaccadespeed,meanabspathangles,meandistance,meanfixationduration,meanpupilsize,meanpupilvelocity,meanrelpathangles,meansaccadedistance,meansaccadeduration,meansaccadespeed,mindistance,minpupilsize,minsaccadespeed,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevpathdistance,stddevpupilsize,stddevrelpathangles,stddevsaccadedistance,stddevsaccadeduration,stddevsaccadespeed,Relevant bars_endpupilsize,Relevant bars_fixationrate,Relevant bars_longestfixation,Relevant bars_maxpupilsize,Relevant bars_maxpupilvelocity,Relevant bars_meanfixationduration,Relevant bars_mindistance,Relevant bars_numevents,Relevant bars_numfixations,Relevant bars_numtransfrom_Non-relevant bars,Relevant bars_numtransfrom_Refs,Relevant bars_numtransfrom_Text,Relevant bars_numtransfrom_labels,Relevant bars_numtransfrom_legend,Relevant bars_proportionnum,Relevant bars_proptransfrom_Non-relevant bars,Relevant bars_proptransfrom_Refs,Relevant bars_proptransfrom_Relevant bars,Relevant bars_proptransfrom_Text,Relevant bars_proptransfrom_Viz,Relevant bars_proptransfrom_labels,Relevant bars_proptransfrom_legend,Relevant bars_stddevfixationduration,Relevant bars_stddevpupilsize,Relevant bars_stddevpupilvelocity,Relevant bars_timetofirstfixation,Relevant bars_timetolastfixation,Non-relevant bars_endpupilsize,Non-relevant bars_fixationrate,Non-relevant bars_leftclicrate,Non-relevant bars_longestfixation,Non-relevant bars_maxpupilvelocity,Non-relevant bars_meanfixationduration,Non-relevant bars_mindistance,Non-relevant bars_numtransfrom_Refs,Non-relevant bars_numtransfrom_Text,Non-relevant bars_numtransfrom_legend,Non-relevant bars_proportionnum,Non-relevant bars_proptransfrom_Non-relevant bars,Non-relevant bars_proptransfrom_Refs,Non-relevant bars_proptransfrom_Relevant bars,Non-relevant bars_proptransfrom_Text,Non-relevant bars_proptransfrom_Viz,Non-relevant bars_proptransfrom_labels,Non-relevant bars_proptransfrom_legend,Non-relevant bars_stddevfixationduration,Non-relevant bars_stddevpupilsize,Non-relevant bars_stddevpupilvelocity,Non-relevant bars_timetofirstfixation,Text_leftclicrate,Text_longestfixation,Text_maxpupilsize,Text_maxpupilvelocity,Text_minpupilsize,Text_numtransfrom_Non-relevant bars,Text_numtransfrom_Refs,Text_numtransfrom_Relevant bars,Text_numtransfrom_Text,Text_numtransfrom_Viz,Text_numtransfrom_labels,Text_numtransfrom_legend,Text_proportionnum,Text_proptransfrom_Refs,Text_proptransfrom_Relevant bars,Text_proptransfrom_Viz,Text_proptransfrom_labels,Text_proptransfrom_legend,Text_stddevpupilsize,Text_timetofirstfixation,Refs_longestfixation,Refs_maxpupilsize,Refs_maxpupilvelocity,Refs_numtransfrom_Non-relevant bars,Refs_numtransfrom_Refs,Refs_numtransfrom_Relevant bars,Refs_numtransfrom_Viz,Refs_numtransfrom_labels,Refs_numtransfrom_legend,Refs_proportionnum,Refs_proptransfrom_Refs,Refs_proptransfrom_Viz,Refs_proptransfrom_labels,Refs_stddevfixationduration,Refs_timetofirstfixation,labels_fixationrate,labels_longestfixation,labels_maxpupilvelocity,labels_numtransfrom_Refs,labels_numtransfrom_Text,labels_numtransfrom_Viz,labels_numtransfrom_legend,labels_proportionnum,labels_proptransfrom_Non-relevant bars,labels_proptransfrom_Refs,labels_proptransfrom_Relevant bars,labels_proptransfrom_Viz,labels_proptransfrom_labels,labels_proptransfrom_legend,labels_stddevfixationduration,labels_timetofirstfixation,Viz_longestfixation,Viz_maxpupilvelocity,Viz_numtransfrom_Refs,Viz_numtransfrom_Text,Viz_numtransfrom_legend,Viz_proportionnum,Viz_proptransfrom_Non-relevant bars,Viz_proptransfrom_Relevant bars,Viz_proptransfrom_Text,Viz_proptransfrom_Viz,Viz_proptransfrom_labels,Viz_proptransfrom_legend,Viz_stddevfixationduration,Viz_timetofirstfixation,legend_fixationrate,legend_longestfixation,legend_meanfixationduration,legend_minpupilsize,legend_numtransfrom_Non-relevant bars,legend_numtransfrom_Refs,legend_numtransfrom_Relevant bars,legend_numtransfrom_Text,legend_numtransfrom_labels,legend_proportionnum,legend_proportiontime,legend_proptransfrom_Non-relevant bars,legend_proptransfrom_Refs,legend_proptransfrom_Relevant bars,legend_proptransfrom_Viz,legend_proptransfrom_labels,legend_proptransfrom_legend,legend_stddevdistance,legend_stddevpupilsize,legend_timetofirstfixation,BarChartLit
0.00387975177288,622.07,0.23674962679499997,0.42204490718800003,0.00342603150471,8.48112246594,765.8633358430001,116.0,637.68,0.364559618622,0.10777777777799999,9.29625998045,1.14122536932,616.766598081,256.753466872,0.10637904318399999,0.0016478400823800002,1.7132023575600002,149.305752256,39.7696969697,3.37620973076,602.85,-0.233140049039,1.1681597075299999,0.00577904634108,622.26,0.266822566049,1.28960735969,5.262637810819999,120.36603409700001,0.0504131878,1.2987220457100002,120.613558606,14.7728924427,1.5125568741100002,0.0863849305285,0.00391827595858,550,0.232990509389,0.0144444444444,255,603.76,0,14,1,2,0,5,0,0.021571648690299997,0.052631578947400004,0.105263157895,0.210526315789,0.0,0.368421052632,0.263157894737,0.0,-1.0,0.04950010614030001,0.001503784613,27072,287233,0.172844630882,0.00509461426492,0.0,316,0.03625,196.0,-1.0,1,0,3,0.021571648690299997,0.1,0.05,0.05,0.0,0.5,0.15,0.15,81.96528345770001,0.0618786955476,0.00290957289868,-1,0.0,600,0.278099918269,0.0375,-0.120366526838,0,10,0,129,7,1,0,0.22958397534699998,0.0680272108844,0.0,0.047619047619,0.0068027210884399995,0.0,0.046611585044,566,1332,0.364559618622,0.07375,0,308,2,3,1,1,0.51155624037,0.930513595166,0.009063444108760001,0.00302114803625,121.930902626,3372,0.0038171876612,466,0.030625,2,0,26,2,0.057010785824300005,0.056603773584900006,0.0377358490566,0.0754716981132,0.490566037736,0.301886792453,0.0377358490566,0.0,22442,1174,0.030625,4,3,16,0.19260400616300002,0.0691823899371,0.0503144654088,0.0188679245283,0.572327044025,0.163522012579,0.100628930818,144.893397966,22442,0.0035276331261500002,749,283.0,-1.0,1,0,0,0,2,0.0323574730354,0.030114326183700003,0.030303030303,0.0,0.0,0.606060606061,0.0606060606061,0.30303030303,6.23201876357,0.07396786597919999,-1,0
0.005095062298529999,579.68,-0.0477723836768,0.478506661224,0.00414271220832,7.784992406989999,783.040218791,100.0,606.17,0.0897914558296,0.0311111111111,10.4405362505,1.23652650159,572.693764819,173.19226638,-0.0738052244206,0.00201090819245,1.63642561894,119.384396796,38.960526315799996,2.79000991309,538.27,-0.18533622318300003,0.944419700261,0.00670642362924,584.34,0.0326220679828,1.25218970606,13.6746208629,116.28008323799999,0.0306350646159,1.19604465612,99.29723067040001,15.2546600612,1.2983893361399999,-0.0817167077108,0.00557717250324,500,0.0522740450551,0.020555555555599996,179,538.27,0,43,4,0,0,5,0,0.046186895811,0.08695652173910001,0.0,0.434782608696,0.0,0.369565217391,0.108695652174,0.0,91.77547654600001,0.030381131747,0.0017073022337200001,24833,329805,-0.058491643898,0.00493917497485,0.0,591,0.01625,202.0,547.92,1,1,0,0.058002148227699994,0.547169811321,0.0188679245283,0.09433962264149999,0.0188679245283,0.264150943396,0.056603773584900006,0.0,113.572103271,0.0269420370937,0.00166420949222,-1,0.0,391,0.0522740450551,0.02375,-0.18533622318300003,0,33,1,170,2,1,0,0.22986036519900002,0.159420289855,0.0048309178744,0.009661835748790001,0.0048309178744,0.0,0.028416375464699998,42,483,0.0504875016849,0.01875,3,317,0,4,1,0,0.393125671321,0.8879551820730001,0.0112044817927,0.00280112044818,70.6118465749,517,0.006110711718189999,316,0.0311111111111,2,0,20,1,0.036519871106300006,0.10638297872300001,0.0425531914894,0.063829787234,0.425531914894,0.340425531915,0.0212765957447,71.6384017553,26757,566,0.0311111111111,5,3,3,0.183673469388,0.0769230769231,0.07142857142860001,0.0164835164835,0.6758241758239999,0.115384615385,0.0164835164835,88.5669902656,142,0.00837988826816,166,119.0,-1.0,0,0,0,0,0,0.00322234156821,0.00151229691711,0.0,0.0,0.0,0.75,0.0,0.25,6.4167661459200005,0.025531017710899998,-1,1
0.00468038569557,593.2,0.0567235401573,0.365349662564,0.0036234876982500002,8.41020707533,733.3126139660001,100.0,661.54,0.251422251494,0.06625,9.399404507869999,1.29451736244,625.595348748,247.368259535,0.017699681490599996,0.0014896665675200001,1.6168304559600002,105.94859393200001,36.6193304536,2.56122269116,578.29,-0.233095152291,0.8679086241439999,0.00583288107063,641.81,0.0626685389768,1.30889097223,19.187156219000002,91.882537144,0.033931219904800004,1.26434501851,91.73746291719999,13.36983041,1.24882958442,0.016594798126,0.0033270181599699996,2432,0.0953660324838,0.02,300,579.92,1,72,7,3,3,14,4,0.031565103025,0.0786516853933,0.033707865168499995,0.38202247191,0.033707865168499995,0.26966292134799996,0.157303370787,0.04494382022469999,286.16268888,0.032217393583400006,0.00117954151398,85365,991072,0.0195672975358,0.00332950631458,0.0,924,0.0075,300.0,578.59,4,0,0,0.0254274441035,0.34920634920599997,0.0634920634921,0.17460317460299998,0.0,0.301587301587,0.111111111111,0.0,165.520868457,0.0292339433222,0.0010636923139,80302,0.0,1166,0.18008226566100002,0.0425,-0.0993326788532,2,43,0,509,6,1,2,0.24901359053000002,0.0763765541741,0.0,0.0106571936057,0.00177619893428,0.00355239786856,0.0321456525338,533,1566,0.251422251494,0.06625,2,1149,2,9,3,0,0.532222709338,0.9488026424439999,0.007431874483899999,0.00247729149463,145.057895597,5737,0.00399824077406,916,0.0375,5,2,67,0,0.043840420867999996,0.078431372549,0.0326797385621,0.078431372549,0.43790849673199994,0.35947712418300004,0.0,0.0,92427,2148,0.0625,10,5,24,0.147742218325,0.056603773584900006,0.061320754717,0.0117924528302,0.625,0.16509433962300002,0.056603773584900006,187.84125294900002,80669,0.0029889409185999997,2148,334.0,-0.0636626859365,2,0,3,1,0,0.0131521262604,0.0137016221618,0.0487804878049,0.0,0.0731707317073,0.5609756097559999,0.0,0.292682926829,19.359182603,0.027854064383099997,80852,1
0.00608480086732,560.98,-0.042614209313500004,0.6072855262219999,0.00427932496788,6.1872382559800005,744.9489010010001,100.0,639.38,0.312986227227,0.07,9.83627267477,1.4299765507,562.017902141,192.30248307,-0.00804338600495,0.0015740994465399999,1.39650970117,140.006392796,39.9454806313,3.07877419182,447.06,-0.198922093507,1.0124077393700002,0.00590866828094,568.11,0.0511705212027,1.32873701958,12.7965790176,135.43690231,0.0364361463775,1.2445820360100002,121.90653679200001,14.9935775649,1.52900606902,-0.00939878392237,0.00444214111202,841,0.0628936125172,0.016875,225,535.48,0,60,2,1,2,17,3,0.0677200902935,0.025316455696200002,0.012658227848100001,0.25316455696199996,0.025316455696200002,0.430379746835,0.215189873418,0.0379746835443,154.039561284,0.0219397615025,0.0013539651154400002,44178,320146,-0.0465219064184,0.00542691751085,0.0,450,0.02875,184.0,542.72,4,4,2,0.0338600451467,0.09375,0.125,0.15625,0.125,0.3125,0.125,0.0625,71.5083790605,0.030853451480900004,0.00201049265497,2415,1.83063010288e-05,791,0.312986227227,0.03875,-0.101229665886,1,23,6,185,8,2,1,0.25733634311500003,0.101769911504,0.026548672566400002,0.0353982300885,0.008849557522120001,0.0044247787610600005,0.04643727288,2973,475,0.11369367488,0.04125,2,279,2,4,2,0,0.36004514672700005,0.885714285714,0.0126984126984,0.00634920634921,67.9280048027,2823,0.00479503572772,458,0.035,1,1,72,1,0.115124153499,0.07407407407410001,0.00617283950617,0.09259259259260001,0.444444444444,0.37037037037,0.00617283950617,92.4732768463,46252,1049,0.05375,4,7,12,0.241534988713,0.0743243243243,0.08783783783780001,0.023648648648599998,0.506756756757,0.253378378378,0.0405405405405,112.519794816,125,0.00415704387991,516,240.0,-0.0836450289144,0,0,1,1,2,0.020316027088,0.0179674014075,0.0,0.0,0.037037037037,0.592592592593,0.07407407407410001,0.259259259259,10.449049757000001,0.021646052647,45927,0
0.00558240463789,559.33,0.122831032621,0.498638504532,0.0043619757493,6.29623682199,580.742730839,83.0,594.87,0.309969538058,0.0325,10.0128057041,1.28753499705,567.12935403,196.032490975,0.107197809611,0.00133375632343,1.51839182288,117.589522456,36.130919220100004,2.9013947189300002,515.87,-0.320756535822,1.0078233323399999,0.006543486885630001,594.87,0.0847102259582,1.28729070217,8.56854186092,109.704915595,0.0541749241411,1.2222575741,96.8004065814,11.573167494200002,1.44639193185,0.048322183234400004,0.0051724137931000004,383,0.23719345261,0.00777777777778,193,554.91,0,33,6,0,1,5,4,0.039711191335699995,0.13953488372099998,0.0,0.27906976744199996,0.023255813953499998,0.348837209302,0.116279069767,0.09302325581399999,-1.0,0.04938994829,0.00096206574784,25242,300251,0.0396583635382,0.00496277915633,0.0,600,0.0177777777778,201.0,555.61,0,0,4,0.057761732852,0.385964912281,0.0,0.08771929824560001,0.0,0.315789473684,0.140350877193,0.0701754385965,96.03744836969999,0.054313922981900006,0.00116604843473,24409,0.0,575,0.29610742654399996,0.0288888888889,-0.10935933523600001,1,25,0,142,5,2,0,0.210589651023,0.14285714285700002,0.0,0.0285714285714,0.0114285714286,0.0,0.0590964432167,450,533,0.23719345261,0.0325,0,388,0,2,1,0,0.503008423586,0.934939759036,0.0048192771084300005,0.0024096385542199997,83.0353569487,5447,0.00428629195309,533,0.02,1,1,34,1,0.0637785800241,0.09459459459460001,0.013513513513499999,0.09459459459460001,0.459459459459,0.310810810811,0.013513513513499999,107.821255219,25408,625,0.02,1,6,6,0.160048134777,0.11656441717800001,0.0920245398773,0.0368098159509,0.503067484663,0.208588957055,0.0368098159509,100.94519215,22943,0.005252100840340001,266,190.0,0.0119341405105,1,0,1,2,1,0.018050541516200003,0.0135411283325,0.0555555555556,0.0,0.0555555555556,0.555555555556,0.0555555555556,0.166666666667,6.920630161749999,0.0446469688715,23951,0
0.0046841634596899995,606.9,0.0563913419883,0.509468600608,0.0035536049924499995,7.56776443515,805.66167335,100.0,674.35,0.248723461318,0.10125,9.59121039703,1.3215875290899999,624.891914927,248.404898385,0.0237799628995,0.00121091394778,1.32082450415,145.415471236,38.689375,3.2705260339099995,585.02,-0.20770649350900003,1.13899958497,0.0046692295185,624.15,0.132463001126,1.3716371059799999,8.26151558584,136.16808581700002,0.04348303683,1.31192067641,125.82709934399999,13.845132426800001,1.6219465417299999,-0.034033460383,0.00483224424798,958,0.16403991624000003,0.026666666666700003,206,599.9,0,88,14,6,4,9,0,0.0458572173007,0.150537634409,0.0645161290323,0.430107526882,0.043010752688199996,0.215053763441,0.09677419354839999,0.0,128.748038708,0.040076580355300005,0.0015862262213499998,24257,733016,-0.0498219179399,0.0045089797478000005,0.0,1124,0.02625,221.0,600.43,5,0,0,0.0307451797811,0.363636363636,0.0757575757576,0.181818181818,0.0,0.272727272727,0.106060606061,0.0,183.320710119,0.0631621625152,0.00133450833733,24390,0.0,766,0.21427591755699998,0.03875,-0.08857540467039998,2,31,4,357,8,2,0,0.21730067743599998,0.0767326732673,0.00990099009901,0.019801980198,0.0049504950495,0.0,0.0434839267693,341,858,0.148251458683,0.0325,0,455,5,8,6,0,0.281396560709,0.8904109589040001,0.015655577299399998,0.0117416829746,116.33481206100001,1091,0.0034074688032399996,1116,0.02125,3,0,50,0,0.0385617509119,0.0789473684211,0.026315789473700002,0.0964912280702,0.438596491228,0.35964912280699995,0.0,175.758746543,58,1915,0.035625,5,3,2,0.0932777488275,0.08407079646019999,0.12389380531,0.013274336283200001,0.535398230088,0.212389380531,0.008849557522120001,187.404702374,58,0.00533333333333,300,187.0,0.00759065499429,0,0,0,0,0,0.00104220948411,0.000648520767364,0.0,0.0,0.0,0.666666666667,0.0,0.33333333333299997,4.31178832395,0.027873145861200002,-1,1
0.00599950723132,622.27,0.156566225581,0.565738553678,0.00422987474113,6.1342141675,1091.40116676,133.0,671.67,0.241563218537,0.1,11.9376084419,1.4234672563799997,624.93761929,200.494623656,0.0528284145379,0.0015432431684899999,1.30813367067,131.216000001,38.0923202614,3.07331551644,575.62,-0.344308911482,1.06367500793,0.00549357675745,623.26,0.194511311722,1.3278505570399999,10.7448358037,123.90556042700001,0.039147816173,1.24674826784,109.226371811,12.2452643344,1.5164999224000002,0.0290707361466,0.00511331097112,791,0.156566225581,0.03,195,603.41,0,125,19,2,1,10,2,0.08960573476700001,0.14179104477600002,0.014925373134299999,0.39552238806,0.007462686567159999,0.350746268657,0.07462686567160001,0.014925373134299999,97.3232475626,0.0342389552165,0.00156767400353,15048,463363,-0.025570187896599997,0.00419338924519,0.0,883,0.0655555555556,238.0,-1.0,1,0,1,0.07311827956989998,0.290322580645,0.00806451612903,0.137096774194,0.0,0.354838709677,0.201612903226,0.00806451612903,133.87373983700002,0.0383817143714,0.00204125548118,-1,5.8930818166e-06,541,0.241563218537,0.013333333333299998,-0.0559262568095,1,37,1,170,2,0,0,0.151971326165,0.175355450237,0.00473933649289,0.00947867298578,0.0,0.0,0.0432092764943,500,774,0.186922294494,0.03875,2,564,2,1,0,1,0.437992831541,0.930693069307,0.0016501650164999998,0.0,82.0970736884,308,0.00411522633745,816,0.05875,0,0,66,1,0.078853046595,0.11801242236,0.0,0.136645962733,0.409937888199,0.329192546584,0.006211180124220001,134.51073419899998,14323,1332,0.1,3,2,12,0.223655913978,0.106493506494,0.12987012987,0.00519480519481,0.5298701298699999,0.18961038960999999,0.031168831168800003,131.492007019,14323,0.004444444444439999,808,225.0,-0.011909956885799999,4,0,3,0,1,0.011469534050200002,0.010607547269899998,0.210526315789,0.0,0.157894736842,0.47368421052599996,0.052631578947400004,0.105263157895,9.5813939259,0.0349946432356,19728,1
0.00525830462398,596.77,-0.0447812331625,0.5220087385800001,0.0040643576403,7.683707059419999,927.238938568,92.0,634.37,0.22350551925200002,0.0655555555556,11.787416842,1.2983874985500001,607.667548684,209.22309337099998,-0.0216049565668,0.0014270661900000002,1.47361160492,141.896168012,37.7700483092,3.27801463778,585.09,-0.445737258749,0.952696440195,0.005946595457810001,623.29,0.20876448889899998,1.31173090645,7.76717861627,135.220300256,0.0430049544171,1.2579539925499998,129.503936905,13.311520856800001,1.8013133042099998,-0.009402760316650001,0.0048091744250600005,483,0.22350551925200002,0.05,207,594.57,0,78,8,4,0,12,0,0.0555951532431,0.08988764044939998,0.04494382022469999,0.38202247191,0.0,0.348314606742,0.13483146067399998,0.0,-1.0,0.043730225368599995,0.00198259306291,35084,540450,-0.0683668817264,0.004938271604939999,0.0,525,0.0166666666667,202.0,590.14,5,3,0,0.0484675694939,0.521739130435,0.0724637681159,0.115942028986,0.0434782608696,0.20289855072500002,0.0434782608696,0.0,110.26291510600001,0.0388742309155,0.00122361183549,34742,0.0,575,0.142429852313,0.04875,-0.17155409419300002,1,42,0,317,7,0,2,0.267284390592,0.113821138211,0.0,0.018970189701900002,0.0,0.00542005420054,0.048115892838,808,858,0.222031416217,0.03,0,411,4,15,5,1,0.34568781183200004,0.858037578288,0.0313152400835,0.010438413361200001,97.7484226585,458,0.00385902919844,816,0.036666666666699994,2,1,67,5,0.059158945117600004,0.029850746268700004,0.014925373134299999,0.0671641791045,0.5,0.34328358209,0.037313432835800006,146.841585457,38315,924,0.0655555555556,12,6,66,0.243050605845,0.041484716157199994,0.0698689956332,0.013100436681200001,0.56768558952,0.137554585153,0.144104803493,134.840297695,1108,0.00493793292641,416,202.0,-0.142072033489,0,2,3,1,2,0.0513186029936,0.0373428468254,0.0,0.0169491525424,0.0254237288136,0.542372881356,0.0169491525424,0.38983050847499995,4.29987985424,0.0294649435886,36216,1
0.006368153345069999,566.0,-0.0222051967561,0.472627622329,0.00469466318853,6.34468656102,683.096978553,84.0,648.87,0.281304935123,0.035,9.09434369233,1.36238993472,581.561054731,186.008695652,0.0636961769969,0.00128603676017,1.45875703997,104.22491298,33.3491592483,2.77512177012,552.28,-0.10095377151399999,0.929355036076,0.006788821907180001,597.34,0.0237314718527,1.34568551435,10.8034496426,102.493598006,0.050695403353900007,1.31539246043,93.6680266594,11.0252521484,1.3773655615600002,0.0762305216913,0.00471356055112,416,0.168103858909,0.010625,212,566.64,0,52,6,0,0,6,1,0.0452173913043,0.105263157895,0.0,0.438596491228,0.0,0.33333333333299997,0.105263157895,0.017543859649099998,80.4280216508,0.0504197098052,0.0010172059215,48883,366430,0.0729493310763,0.00511850450651,0.0,491,0.00625,195.0,-1.0,1,2,0,0.04,0.33333333333299997,0.0185185185185,0.203703703704,0.037037037037,0.259259259259,0.148148148148,0.0,71.0128313914,0.0454492237356,0.000956473851861,-1,0.0,433,0.17630683544599998,0.024375,-0.09931317620660002,0,23,0,202,1,1,0,0.20347826087,0.101321585903,0.0,0.004405286343609999,0.004405286343609999,0.0,0.0436726490649,425,758,0.210759336903,0.02,0,291,0,0,0,0,0.27913043478300004,0.920886075949,0.0,0.0,78.1022366837,600,0.00456232601299,591,0.0183333333333,0,0,45,1,0.0513043478261,0.09473684210529999,0.0,0.0421052631579,0.47368421052599996,0.378947368421,0.0105263157895,110.702069881,49258,591,0.0183333333333,1,0,13,0.126086956522,0.10050251256300001,0.08040201005030001,0.0,0.527638190955,0.22110552763799998,0.06532663316580001,99.02588045559999,49016,0.0053394355453900005,316,187.0,-0.043532935753,0,0,0,0,2,0.0121739130435,0.0102162876146,0.0,0.0,0.0,0.583333333333,0.08333333333330001,0.33333333333299997,6.4774040697399995,0.0477410241589,50806,0
0.00459312340276,589.94,0.0697690533613,0.42732304460500004,0.0040423121881,8.28796839421,664.5174849809999,91.0,665.41,0.253434222161,0.0825,9.619694959310001,1.14137051305,573.4528448990001,217.694717995,0.029192420982699998,0.00141401666139,1.83786326007,101.92677412,34.6789099526,2.5077269088900005,522.19,-0.510226216533,0.9911271746960001,0.0073627066081,598.37,0.0794356411929,1.19938991215,14.7796487795,125.827071299,0.026670446695,1.18459767393,107.71596739399999,13.578469481099999,1.43030860913,0.047213681754300005,0.0045374991897299995,824,0.13582407021,0.05,220,-1.0,0,70,4,3,1,8,4,0.0626678603402,0.0481927710843,0.03614457831330001,0.39759036144599996,0.0120481927711,0.36144578313299996,0.0963855421687,0.0481927710843,151.186179493,0.026692944265400004,0.0020227495682,-1,456733,0.10199101279999999,0.00400839854934,0.0,833,0.0225,249.0,-1.0,0,0,1,0.018800358102099998,0.227272727273,0.0,0.227272727273,0.0,0.45454545454499995,0.0454545454545,0.0454545454545,186.907463735,0.0221681808948,0.00196350319496,-1,0.0,808,0.11326869860300001,0.026666666666700003,-1.0,1,25,0,169,4,0,1,0.18173679498700002,0.125,0.0,0.02,0.0,0.005,0.0253795327928,-1,824,0.10199101279999999,0.05375,0,234,0,5,1,1,0.241718889884,0.8796992481200001,0.018796992481200002,0.0037593984962399998,106.916689243,-1,0.00473535476972,1058,0.04,1,0,50,3,0.0555058191585,0.01,0.01,0.09,0.5,0.36,0.03,154.146460055,-1,1058,0.0625,4,4,38,0.180841539839,0.03125,0.104166666667,0.0138888888889,0.524305555556,0.18055555555599997,0.131944444444,138.630688023,-1,0.00500667556742,550,199.0,-1.0,1,1,4,2,5,0.040286481647300004,0.0285197524988,0.013513513513499999,0.013513513513499999,0.0540540540541,0.513513513514,0.0675675675676,0.310810810811,8.946746178080001,0.0272440118682,-1,0
