abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,fixationsaccadetimeratio,longestsaccadedistance,longestsaccadeduration,maxdistance,maxpupilsize,maxpupilvelocity,maxsaccadespeed,meanabspathangles,meanfixationduration,meanpupilsize,meanpupilvelocity,meanrelpathangles,meansaccadedistance,meansaccadeduration,meansaccadespeed,mindistance,minpupilsize,minsaccadespeed,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevpathdistance,stddevpupilsize,stddevrelpathangles,stddevsaccadedistance,stddevsaccadeduration,stddevsaccadespeed,Relevant bars_endpupilsize,Relevant bars_fixationrate,Relevant bars_longestfixation,Relevant bars_maxdistance,Relevant bars_maxpupilsize,Relevant bars_maxpupilvelocity,Relevant bars_meanfixationduration,Relevant bars_mindistance,Relevant bars_numevents,Relevant bars_numfixations,Relevant bars_numtransfrom_Non-relevant bars,Relevant bars_numtransfrom_Refs,Relevant bars_numtransfrom_Text,Relevant bars_numtransfrom_legend,Relevant bars_proportionnum,Relevant bars_proptransfrom_Non-relevant bars,Relevant bars_proptransfrom_Refs,Relevant bars_proptransfrom_Relevant bars,Relevant bars_proptransfrom_Text,Relevant bars_proptransfrom_Viz,Relevant bars_proptransfrom_labels,Relevant bars_proptransfrom_legend,Relevant bars_stddevfixationduration,Relevant bars_stddevpupilsize,Relevant bars_timetofirstfixation,Relevant bars_timetolastfixation,Non-relevant bars_endpupilsize,Non-relevant bars_leftclicrate,Non-relevant bars_longestfixation,Non-relevant bars_maxpupilvelocity,Non-relevant bars_mindistance,Non-relevant bars_numtransfrom_Refs,Non-relevant bars_numtransfrom_Text,Non-relevant bars_numtransfrom_legend,Non-relevant bars_proptransfrom_Non-relevant bars,Non-relevant bars_proptransfrom_Refs,Non-relevant bars_proptransfrom_Relevant bars,Non-relevant bars_proptransfrom_Text,Non-relevant bars_proptransfrom_Viz,Non-relevant bars_proptransfrom_labels,Non-relevant bars_proptransfrom_legend,Non-relevant bars_stddevfixationduration,Non-relevant bars_stddevpupilvelocity,Non-relevant bars_timetofirstfixation,Text_leftclicrate,Text_longestfixation,Text_maxpupilsize,Text_maxpupilvelocity,Text_minpupilsize,Text_numtransfrom_Non-relevant bars,Text_numtransfrom_Refs,Text_numtransfrom_Relevant bars,Text_numtransfrom_Text,Text_numtransfrom_Viz,Text_numtransfrom_labels,Text_numtransfrom_legend,Text_proportionnum,Text_proptransfrom_Refs,Text_proptransfrom_Relevant bars,Text_proptransfrom_Viz,Text_proptransfrom_labels,Text_stddevfixationduration,Text_timetofirstfixation,Refs_leftclicrate,Refs_longestfixation,Refs_maxpupilsize,Refs_maxpupilvelocity,Refs_numtransfrom_Non-relevant bars,Refs_numtransfrom_Refs,Refs_numtransfrom_Relevant bars,Refs_numtransfrom_Viz,Refs_numtransfrom_legend,Refs_proportionnum,Refs_proptransfrom_Non-relevant bars,Refs_proptransfrom_Refs,Refs_proptransfrom_Text,Refs_proptransfrom_Viz,Refs_timetofirstfixation,labels_fixationrate,labels_longestfixation,labels_maxpupilvelocity,labels_numtransfrom_Refs,labels_numtransfrom_Text,labels_numtransfrom_Viz,labels_numtransfrom_legend,labels_proportionnum,labels_proptransfrom_Non-relevant bars,labels_proptransfrom_Refs,labels_proptransfrom_Relevant bars,labels_proptransfrom_Text,labels_proptransfrom_labels,labels_proptransfrom_legend,labels_stddevfixationduration,labels_timetofirstfixation,Viz_maxpupilvelocity,Viz_numtransfrom_Text,Viz_numtransfrom_legend,Viz_proptransfrom_Relevant bars,Viz_proptransfrom_Text,Viz_proptransfrom_Viz,Viz_proptransfrom_labels,Viz_proptransfrom_legend,Viz_stddevfixationduration,Viz_timetofirstfixation,legend_fixationrate,legend_longestfixation,legend_meanfixationduration,legend_minpupilsize,legend_numtransfrom_Non-relevant bars,legend_numtransfrom_Refs,legend_numtransfrom_Relevant bars,legend_numtransfrom_Text,legend_numtransfrom_labels,legend_proportionnum,legend_proptransfrom_Non-relevant bars,legend_proptransfrom_Refs,legend_proptransfrom_Relevant bars,legend_proptransfrom_Text,legend_proptransfrom_Viz,legend_proptransfrom_labels,legend_proptransfrom_legend,legend_stddevfixationduration,legend_timetofirstfixation,BarChartLit
0.00403081670254,621.57,0.227351833279,0.427866558139,0.00357014516606,8.38290515229,987.7231053160001,117.0,666.44,0.402150792689,0.12125,9.29625998045,1.13648006968,244.039309113,0.11363185976399999,0.00214307648456,1.69929711324,149.276963872,40.0462046205,3.3821300531700005,594.82,-0.327117984206,1.1681597075299999,0.00598724468709,622.26,0.266822566049,1.27441184126,6.1910149908,113.173430269,0.0535954861592,1.27467195316,115.89265618600001,14.666662640699998,1.45166406997,0.108939634969,0.00382068262863,641,644.51,0.310052416226,0.02625,261,603.76,0,45,11,3,0,1,0.026801667659299998,0.2,0.0545454545455,0.181818181818,0.0,0.381818181818,0.163636363636,0.0181818181818,-1.0,0.0617315449706,27072,782015,0.144651250332,0.0,525,0.03625,-1.0,2,2,5,0.190476190476,0.031746031746,0.17460317460299998,0.031746031746,0.33333333333299997,0.15873015873,0.0793650793651,92.012754218,0.00241003296976,-1,0.0,650,0.330727561962,0.045,-0.127884761652,0,38,2,357,10,3,0,0.24717093508000001,0.0926829268293,0.00487804878049,0.0243902439024,0.007317073170729999,93.87828742709999,566,0.0,1332,0.398391675282,0.09,1,645,2,5,1,0.42227516378799995,0.001414427157,0.912305516266,0.0707213578501,0.007072135785010001,3372,0.00389649315616,483,0.030625,5,0,50,4,0.0464562239428,0.0782608695652,0.0434782608696,0.104347826087,0.0,0.304347826087,0.0347826086957,0.0,22442,0.035,4,29,0.06907894736839999,0.013157894736799998,0.552631578947,0.161184210526,0.09539473684210001,0.0,22442,0.00340014316392,1091,294,-1.0,3,0,2,0,3,0.0226325193568,0.051724137931,0.0,0.0344827586207,0.0,0.568965517241,0.051724137931,0.293103448276,183.61549130900002,-1,0
0.00497600356489,568.07,-0.129953378707,0.482436640656,0.00412064152389,7.722703172999999,783.040218791,125.0,608.26,0.0897914558296,0.03875,10.4405362505,1.2146794378299999,174.21519659900002,-0.0786440953794,0.0020662080454400002,1.64676273824,122.289595625,39.4579439252,2.8377122282200005,528.03,-0.204988200255,0.944419700261,0.0067063959562599995,584.34,0.0326220679828,1.24980557644,13.631274142,113.064913075,0.0306369163425,1.20821845058,98.4427844066,15.701364317100001,1.2835650161299998,-0.101368684783,0.00545864483209,500,598.76,0.0522740450551,0.020555555555599996,183,538.27,0,92,6,0,1,0,0.048884165781100004,0.058252427184499994,0.0,0.485436893204,0.00970873786408,0.320388349515,0.126213592233,0.0,89.4459134258,0.0293255587148,24833,739672,-0.11208794500399999,0.0,733,0.01625,547.92,2,1,1,0.511627906977,0.023255813953499998,0.10465116279100001,0.0116279069767,0.255813953488,0.0813953488372,0.0116279069767,127.15052535299999,0.00155796703328,-1,0.0,550,0.0701394787573,0.0377777777778,-0.204988200255,0,63,2,291,4,1,0,0.20244420828899998,0.17451523545699998,0.00554016620499,0.01108033241,0.0027700831024899996,71.5157877307,42,0.0,658,0.0504875016849,0.03875,3,621,0,7,0,0.37778958554700004,0.0043352601156099995,0.8973988439309999,0.08670520231210001,0.0101156069364,517,0.00525203356178,475,0.0311111111111,2,0,54,4,0.0435706695005,0.114754098361,0.016393442623,0.0491803278689,0.0,0.34426229508199996,0.032786885245900003,86.91481568290001,26757,0.0311111111111,4,18,0.0762711864407,0.0112994350282,0.610169491525,0.161016949153,0.050847457627099996,97.1273370097,142,0.00485436893204,633,206,-1.0,0,0,5,1,3,0.010095642933,0.0,0.0,0.17857142857099997,0.035714285714300006,0.46428571428599996,0.107142857143,0.214285714286,133.37541002700002,-1,1
0.004769653940300001,580.49,0.016594798126,0.388092448003,0.0037486269272,7.75005568225,733.3126139660001,100.0,661.54,0.251422251494,0.06625,9.399404507869999,1.27613700723,238.737801609,0.0252311952281,0.0013906345414400002,1.63240253936,106.15362369,36.900815660700005,2.5347847314400003,562.15,-0.233095152291,0.8679086241439999,0.006083175917090001,641.81,0.0626685389768,1.3245130498,24.297020415,96.50245871950001,0.0357319957404,1.28380446223,93.7077667757,13.279382023699998,1.26380617782,-0.0279926930198,0.00357893960078,2432,647.04,0.0953660324838,0.02,279,573.92,1,97,8,5,4,4,0.026005361930299998,0.0689655172414,0.0431034482759,0.37068965517200003,0.0344827586207,0.293103448276,0.155172413793,0.0344827586207,-1.0,0.0318724530823,85365,1356959,-0.0324514421344,0.0,924,0.0075,573.77,5,2,0,0.347222222222,0.0694444444444,0.152777777778,0.0277777777778,0.29166666666700003,0.111111111111,0.0,-1.0,0.0010461040695599999,80302,0.0,1166,0.18008226566100002,0.0425,-0.0993326788532,3,60,2,655,8,1,3,0.198927613941,0.0819672131148,0.00273224043716,0.0109289617486,0.00136612021858,129.34544547299998,533,0.0,1566,0.251422251494,0.06625,2,1832,3,13,2,0.516353887399,0.00104166666667,0.954166666667,0.0338541666667,0.006770833333329999,5737,0.00391531322506,916,0.0375,6,2,71,0,0.0289544235925,0.07407407407410001,0.037037037037,0.0864197530864,0.0123456790123,0.35185185185199996,0.0,0.0,92427,0.0625,5,25,0.0801687763713,0.0105485232068,0.6160337552740001,0.151898734177,0.052742616033800004,185.69708897599997,80669,0.00319638995958,2148,312,-0.0636626859365,3,1,4,1,0,0.00911528150134,0.06666666666669999,0.022222222222199998,0.0888888888889,0.022222222222199998,0.533333333333,0.0,0.266666666667,0.0,80852,1
0.006164003600229999,525.75,-0.0289372694466,0.595254612254,0.00426425998423,6.06511908197,795.475848441,125.0,684.92,0.312986227227,0.07,9.83627267477,1.45412655648,189.571967655,-0.00111663762653,0.0016375153420999998,1.4128509435499998,137.724885764,40.3793584379,3.00211961631,447.06,-0.198922093507,0.898858081567,0.005953311018640001,568.11,0.0511705212027,1.31381116049,15.771045555,133.569885253,0.036128737919199995,1.22146784665,119.58591408299999,15.5006163128,1.4754285084,0.00427815594458,0.0051959987275100004,841,639.38,0.111739826328,0.04125,192,510.37,0,147,8,8,6,7,0.07924528301889999,0.0446927374302,0.0446927374302,0.32960893854699996,0.033519553072599996,0.36312849162,0.145251396648,0.0391061452514,121.38326598100001,0.0320441499094,44178,696900,0.0101397016018,0.0,500,0.0425,505.41,7,4,4,0.22,0.07,0.22,0.04,0.29,0.12,0.04,84.4300122367,0.00215163048747,2415,6.03951047754e-06,791,0.312986227227,0.03875,-0.118814302858,5,55,8,271,13,2,1,0.19299191374699998,0.154929577465,0.0225352112676,0.036619718309900004,0.0056338028169,84.78569127739999,2973,6.03951047754e-06,641,0.22115534526299999,0.04125,4,614,4,10,2,0.37897574124,0.00573888091822,0.8809182209469999,0.08464849354380001,0.014347202295600001,2823,0.00466439426946,491,0.035,1,1,121,1,0.0981132075472,0.10563380281700001,0.00352112676056,0.09859154929580001,0.00352112676056,0.359154929577,0.00352112676056,96.9476420748,46252,0.05375,13,41,0.0794602698651,0.019490254872599998,0.551724137931,0.20239880059999998,0.061469265367300005,105.76131187600001,125,0.00464421960524,591,215,-0.09146042312410001,3,0,4,4,3,0.0301886792453,0.035714285714300006,0.0,0.047619047619,0.047619047619,0.52380952381,0.035714285714300006,0.309523809524,115.359044253,45927,0
0.00549021449816,581.41,0.133227616257,0.502736988898,0.00432779002204,6.4209312907800005,1119.79925552,100.0,597.11,0.348090344721,0.0588888888889,12.3138863843,1.2758145113400001,198.128600823,0.10336366697899999,0.00141120262,1.5687520883200001,118.211710924,36.0604960678,2.89689379431,513.1,-0.320756535822,1.0078233323399999,0.00671239678922,594.87,0.0847102259582,1.28836892388,8.36705435783,118.93707175,0.0555027568715,1.23689303277,105.803229161,12.047272465,1.48512424999,0.0015375568751400002,0.00531233998976,425,585.02,0.23719345261,0.013333333333299998,188,554.91,0,83,8,1,1,7,0.042695473251,0.07407407407410001,0.00925925925926,0.268518518519,0.00925925925926,0.416666666667,0.15740740740700002,0.0648148148148,-1.0,0.0502711259535,25242,779011,0.036192835659800006,0.0,600,0.0177777777778,555.61,0,1,5,0.337837837838,0.0,0.121621621622,0.013513513513499999,0.310810810811,0.14864864864900001,0.0675675675676,92.8972550725,0.00115118112266,24409,0.0,575,0.29610742654399996,0.0288888888889,-0.10935933523600001,1,39,0,278,11,3,0,0.174382716049,0.117469879518,0.0,0.0331325301205,0.00903614457831,88.1935573061,450,0.0,533,0.23719345261,0.03875,1,711,1,5,1,0.39351851851899994,0.00131926121372,0.937994722955,0.0501319261214,0.0065963060686,5447,0.00436641221374,808,0.02,1,1,109,5,0.0735596707819,0.0542986425339,0.00452488687783,0.0769230769231,0.00452488687783,0.343891402715,0.0226244343891,118.12362228100001,25408,0.0588888888889,14,51,0.0733788395904,0.0238907849829,0.5784982935149999,0.18430034129700001,0.0870307167235,102.07703816,22943,0.00488134574947,491,204,-0.008859026760239998,2,0,3,2,3,0.033436213991799996,0.021052631578900003,0.0,0.0315789473684,0.021052631578900003,0.589473684211,0.0315789473684,0.305263157895,80.078282012,23951,0
0.004526494649430001,637.71,-0.013939059856,0.484246209159,0.0034662506912,7.91018222354,805.66167335,100.0,687.48,0.248723461318,0.105,9.78445538852,1.3098324174200002,256.451400329,0.00839558907564,0.0012527650587899999,1.33994225042,143.45591921,38.4479268691,3.2759743444400002,585.02,-0.296695981557,1.13899958497,0.00461651955549,624.15,0.132463001126,1.3696716055000002,10.819255031500001,129.601644884,0.044001276059600004,1.32104863787,120.491283149,13.5225993719,1.5589767934399998,-0.0067624882392500005,0.00489152757552,958,663.27,0.16403991624000003,0.026666666666700003,204,599.9,0,131,23,9,8,1,0.0359692476661,0.158620689655,0.0620689655172,0.344827586207,0.0551724137931,0.241379310345,0.131034482759,0.0068965517241400005,125.781770723,0.041595863552800004,24257,1424362,0.00041408337752300004,0.0,1124,0.02625,600.43,19,4,1,0.35119047619000004,0.113095238095,0.119047619048,0.0238095238095,0.261904761905,0.125,0.0059523809523800006,165.159280205,0.0014122924684500002,24390,0.0,1016,0.21427591755699998,0.04333333333330001,-0.123022948431,5,90,8,756,17,5,1,0.25151015925299997,0.102040816327,0.00907029478458,0.019274376417200003,0.005668934240359999,118.210320114,341,0.0,966,0.158298658946,0.06375,3,1099,8,25,0,0.3607907743,0.00239808153477,0.878497202238,0.0767386091127,0.0199840127898,1091,0.0028242354706300003,2915,0.02125,9,2,117,1,0.05271828665569999,0.11913357400699999,0.0324909747292,0.0758122743682,0.0072202166065,0.339350180505,0.00361010830325,341.740747087,58,0.035625,11,14,0.08984375,0.021484375,0.49609375,0.23046875,0.02734375,272.63900218099997,58,0.00565159574468,375,176,-0.13163483437100001,0,0,1,1,0,0.00466776496431,0.0,0.0,0.0384615384615,0.0384615384615,0.576923076923,0.0,0.346153846154,0.0,-1,1
0.00578846563988,630.33,0.07915824985280001,0.53668349338,0.0041240476246,6.23515060605,1091.40116676,133.0,671.67,0.241563218537,0.10625,11.9376084419,1.40984685658,207.56779661,0.042126614578300005,0.00155706422482,1.29179800689,128.50721068299998,37.6589778381,3.03656111719,575.62,-0.344308911482,1.06367500793,0.005280138841149999,623.26,0.194511311722,1.31882945617,9.88427470148,120.967477035,0.0397136100327,1.23222723862,108.11842675700001,12.3462282751,1.51937308353,0.0761226429615,0.00488739443228,791,644.14,0.156566225581,0.08625,204,603.41,0,250,41,4,2,4,0.100887812752,0.149635036496,0.014598540146,0.386861313869,0.0072992700729899995,0.328467153285,0.0985401459854,0.014598540146,98.5064774744,0.0393523866199,15048,839204,0.0746048395159,0.0,1033,0.08375,-1.0,1,2,3,0.434343434343,0.0033670033669999998,0.144781144781,0.00673400673401,0.276094276094,0.12457912457900001,0.010101010100999999,133.848731371,0.00187848074937,-1,3.2325687769400003e-06,541,0.241563218537,0.04875,-0.0923535395049,3,57,4,369,7,0,0,0.179580306699,0.12954545454500002,0.00909090909091,0.0159090909091,0.0,69.5347958783,500,3.2325687769400003e-06,774,0.186922294494,0.03875,2,802,2,4,1,0.354721549637,0.0023121387283200003,0.927167630058,0.06127167630059999,0.0046242774566499995,308,0.00408879969898,816,0.05875,0,0,91,1,0.0657788539144,0.157657657658,0.0,0.144144144144,0.0,0.28378378378400004,0.0045045045045,0.0,14323,0.10625,10,19,0.139103554869,0.015455950541000001,0.536321483771,0.146831530139,0.029366306027799997,136.649198965,14323,0.00358422939068,1274,279,-0.06199747059209999,7,0,3,1,1,0.0112994350282,0.20588235294100002,0.0,0.0882352941176,0.0294117647059,0.470588235294,0.0294117647059,0.176470588235,248.408564294,19728,1
0.00533713348078,608.0,-0.035936614951,0.522218132764,0.0040846881578,7.64211974173,946.524468044,109.0,649.25,0.22350551925200002,0.08875,12.620326240599999,1.3112247646700002,204.83524904200002,-0.030022994819,0.0014741696656099998,1.49934658853,139.431362207,37.7001332741,3.24630092115,585.09,-0.445737258749,0.952696440195,0.006081344100189999,623.29,0.20876448889899998,1.2906926564299999,8.09860034472,132.984519736,0.043853269473800006,1.23973448881,126.262728035,13.395199637000001,1.7701492949400002,-0.019721481563400003,0.0048187961563700005,766,631.64,0.22350551925200002,0.08875,207,588.5,0,169,32,5,5,1,0.0539591315453,0.167539267016,0.0261780104712,0.35078534031400005,0.0261780104712,0.298429319372,0.125654450262,0.00523560209424,-1.0,0.0433387471297,35084,1183338,-0.009402760316650001,0.0,733,0.04,587.66,11,8,1,0.456221198157,0.0506912442396,0.193548387097,0.036866359447,0.188940092166,0.0691244239631,0.00460829493088,124.01481067700001,0.0014576257364499999,34742,0.0,575,0.170437809983,0.075,-0.17155409419300002,5,79,2,527,15,4,2,0.204980842912,0.124605678233,0.0031545741324899997,0.0236593059937,0.006309148264979999,93.3578156732,808,0.0,858,0.222031416217,0.0633333333333,3,953,6,25,1,0.347381864623,0.0027829313543600003,0.884044526902,0.0723562152134,0.023191094619700002,458,0.0036852703164800002,816,0.036666666666699994,3,2,142,7,0.0619412515964,0.0980392156863,0.00980392156863,0.0490196078431,0.006535947712420001,0.349673202614,0.022875816993499998,140.025423302,38315,0.0655555555556,13,79,0.06496815286619999,0.0165605095541,0.550318471338,0.171974522293,0.10063694267500001,129.821056765,1108,0.00495690869149,416,201,-0.142072033489,0,2,4,2,2,0.0280970625798,0.0,0.0140845070423,0.0281690140845,0.0140845070423,0.542253521127,0.0140845070423,0.387323943662,84.6465945978,36216,1
0.00633424841874,599.79,0.040137424927199995,0.470163191931,0.004668223417399999,6.59334333505,742.388155487,100.0,707.64,0.281304935123,0.0522222222222,9.09434369233,1.3634040984,189.11734028700002,0.0489583611575,0.0013264380505599999,1.4623119824000002,104.41494541899999,33.6504269211,2.7542921887199996,529.32,-0.406104498701,0.929355036076,0.006761131426199999,597.34,0.0237314718527,1.34458187382,22.249253970500003,104.95932716600001,0.053380193237500005,1.31041860229,93.92927942360001,11.0302620993,1.3757164568399998,-0.0812666278245,0.00481686379245,458,656.72,0.20747814628800001,0.010625,207,544.85,0,101,12,1,1,1,0.0438939591482,0.105263157895,0.00877192982456,0.39473684210500004,0.00877192982456,0.34210526315800005,0.131578947368,0.00877192982456,-1.0,0.0568308464208,48883,754942,-0.12064091520300001,0.0,824,0.01375,-1.0,3,4,0,0.323529411765,0.0294117647059,0.196078431373,0.0392156862745,0.28431372549,0.127450980392,0.0,106.539090374,0.0010704077446499999,-1,0.0,466,0.209118741595,0.02625,-0.102594366821,1,66,0,400,4,2,0,0.213385484572,0.13953488372099998,0.0,0.00845665961945,0.00422832980973,68.5449353582,425,0.0,758,0.215681122825,0.02625,0,723,0,1,0,0.354628422425,0.0,0.910579345088,0.088161209068,0.00125944584383,600,0.0044813230021999995,933,0.0275,0,1,118,2,0.0673620165146,0.078125,0.0,0.05078125,0.00390625,0.3984375,0.0078125,119.464035777,49258,0.0275,2,20,0.0711462450593,0.00395256916996,0.559288537549,0.241106719368,0.0395256916996,123.274898235,49016,0.00514705882353,325,194,-0.046814126368,2,0,0,0,3,0.00912646675359,0.0571428571429,0.0,0.0,0.0,0.542857142857,0.0857142857143,0.314285714286,0.0,50806,0
0.00471969279863,588.92,0.0552691716139,0.454554303183,0.004201654681820001,7.810003479680001,758.213715577,109.0,665.41,0.253434222161,0.0825,10.7909902672,1.12786006956,207.983069562,0.036015363042599995,0.0014885211017999999,1.81663707493,107.137923684,35.5116731518,2.59600733122,522.19,-0.510226216533,0.975432506814,0.00757107696117,598.37,0.0794356411929,1.20135464505,13.8486331422,121.996152225,0.0273585776483,1.2004684811700002,108.68577122200001,14.056918010799999,1.41917306217,0.047213681754300005,0.00475023964213,824,612.66,0.163212735733,0.0633333333333,210,-1.0,0,223,41,12,3,11,0.0820758189179,0.158301158301,0.046332046332,0.36679536679499997,0.011583011583,0.277992277992,0.09652509652510001,0.042471042471,133.329183494,0.0260854109748,-1,1058515,0.0552691716139,0.0,833,0.0675,-1.0,10,2,5,0.294117647059,0.0653594771242,0.261437908497,0.013071895424799999,0.241830065359,0.09150326797389999,0.0326797385621,127.5606382,0.00240625533502,-1,0.0,808,0.11326869860300001,0.026666666666700003,-1.0,3,55,2,328,10,1,1,0.148325358852,0.1375,0.005,0.025,0.0025,112.074124814,-1,1.36278400419e-06,1049,0.22443445866700001,0.05375,6,943,7,14,1,0.380934854619,0.00581395348837,0.9137596899220001,0.052325581395300004,0.0135658914729,-1,0.00478075361127,1058,0.0475,5,1,136,5,0.0684578579315,0.0436241610738,0.0167785234899,0.09731543624160001,0.0033557046979899997,0.36577181208099996,0.0167785234899,124.70150305799999,-1,0.0625,11,69,0.10158311345599999,0.0145118733509,0.5501319261209999,0.182058047493,0.0910290237467,120.511857176,-1,0.00519806416921,550,192,-1.0,3,1,12,5,7,0.032020610968,0.0215827338129,0.00719424460432,0.08633093525180001,0.035971223021599996,0.48201438848899997,0.05035971223019999,0.31654676259,100.217147955,-1,0
