x,y,duration,start_time
779.48,192.83,187888.9,9325740110.5
471.48,309.22,320441.000002,9325961325.1
470.63,315.01,180946.200001,9326294792.1
487.71,302.8,434071.4,9326490817.6
639.09,314.6,111661.0,9326960620.9
637.95,338.34,176205.200001,9327095572.0
580.44,389.63,133523.500002,9327305077.2
526.65,265.99,299877.900002,9327459957.4
403.62,218.54,113211.9,9327815231.3
383.54,235.06,186756.6,9327973320.8
532.14,263.68,100116.099998,9328214831.8
667.69,257.43,111382.699999,9328359902.9
674.42,259.32,266963.000002,9328480538.7
469.91,314.42,466334.100002,9328793051.7
606.58,325.34,100900.9,9329346319.1
689.59,322.94,145445.200001,9329459407.3
689.06,301.82,235499.299999,9329612789.0
351.83,348.02,110902.999998,9329959013.9
378.58,339.4,141606.000002,9330083554.1
648.32,363.53,253030.6,9330405373.8
365.93,374.85,179037.6,9330691541.4
345.88,381.81,194589.199999,9330878675.6
500.53,533.99,122582.799999,9331337670.6
678.6,487.35,204332.4,9331507098.7
311.69,782.84,155726.0,9331845837.4
291.55,744.2,476688.0,9332092901.3
320.57,764.98,145557.4,9332622481.3
312.25,740.29,133702.699999,9333138645.7
462.93,544.98,111099.300001,9333348861.1
362.01,664.86,177579.799999,9333538428.0
304.03,729.16,309492.899998,9333761806.8
