x,y,duration,start_time
475.77,539.77,173540.799999,34147634626.3
685.66,342.66,124530.900002,34147877703.8
864.88,287.58,148454.299992,34148041384.0
606.18,292.18,241788.400002,34148269026.0
514.58,316.31,395129.600006,34148677387.2
677.04,279.35,242396.799995,34149158186.2
497.18,339.9,187892.0,34149489032.7
525.1,403.05,232417.900002,34149688796.9
526.48,411.76,136681.400002,34149934087.6
887.14,264.04,159260.300003,34150142891.2
1031.75,288.03,160393.299995,34150343211.8
1093.03,300.16,144278.600002,34150554982.0
845.97,252.84,201423.0,34150735011.1
423.93,370.9,199376.699997,34151008547.5
507.55,568.61,200463.899998,34151368265.2
329.42,721.43,180486.200005,34151620623.9
343.88,726.56,766105.799995,34151808472.4
