x,y,duration,start_time
766.39,163.25,317703.9,12498701465.1
522.9,318.07,232379.4,12499184487.4
387.94,257.35,391262.299999,12499484902.2
612.54,278.98,145098.4,12499972428.0
645.65,283.87,154594.0,12500129731.8
629.1,321.75,139641.800001,12500309007.9
417.46,377.55,178130.5,12500472023.3
459.31,350.03,154591.9,12500665051.5
552.29,341.8,166575.799999,12500829389.9
631.12,321.85,154456.4,12501028954.8
678.94,308.8,108819.699999,12501229339.4
684.4,326.67,166309.899998,12501349532.7
366.7,361.64,147042.0,12501629034.2
343.75,383.58,279271.4,12501782689.0
475.05,362.56,100658.599998,12502294748.4
645.38,402.94,270173.9,12502611860.6
382.18,429.22,154956.400002,12502948573.8
348.66,451.19,101005.9,12503115259.5
351.36,453.18,208168.299999,12503228193.7
600.31,444.34,165520.5,12503649099.0
662.7,458.14,114356.599998,12503860836.3
342.06,508.56,268865.200001,12504093300.0
639.1,427.7,309088.100002,12504526612.2
443.57,439.93,174987.799999,12504893598.7
350.6,677.64,133544.200001,12505093070.4
288.38,726.13,120551.400002,12505259743.7
287.29,771.78,141669.6,12505393331.3
