x,y,duration,start_time
766.46,182.85,301474.100002,34020837072.6
518.02,295.38,249794.5,34021185156.7
274.19,771.64,140030.600006,34021649961.2
300.35,775.69,597380.899994,34021849380.0
540.03,384.8,402889.399998,34022553863.6
266.6,487.87,142334.399998,34023147924.4
326.6,495.21,265393.100002,34023313701.3
308.13,511.34,432882.399998,34023582744.4
377.8,491.0,193493.799999,34024022582.6
593.8,482.77,267107.299999,34024255556.5
259.3,521.91,356792.000004,34024622348.1
305.17,522.4,445944.400005,34024988898.6
388.78,501.94,256811.200001,34025521707.8
356.34,518.59,309668.499996,34025788557.3
243.66,525.32,100203.499992,34026154263.3
275.01,531.49,201451.200001,34026269614.7
405.15,528.02,331962.899998,34026545639.3
216.99,523.35,132737.200001,34026978124.2
222.45,519.7,490177.900002,34027120629.9
238.62,512.78,295631.400005,34027620268.9
207.29,499.8,592449.0,34027920125.1
263.19,504.11,156968.999996,34028519629.4
323.71,498.61,433266.799999,34028686173.9
353.76,494.71,720068.800003,34029131966.1
632.21,391.39,188400.700001,34029929664.9
807.71,319.17,190711.799999,34030175568.2
803.54,219.57,134135.600002,34030407878.4
877.57,223.93,378127.200001,34030584424.5
1000.34,233.69,121202.600002,34031007964.8
1021.84,218.32,260933.100002,34031147374.0
1203.41,216.21,133316.400009,34031441444.8
1388.15,213.74,124111.500004,34031683874.9
660.9,234.06,210971.500004,34031983440.9
301.13,533.07,1175171.9,34032307568.0
362.8,568.28,356577.200001,34033516185.6
178.2,638.25,217698.700001,34033960089.6
170.33,646.52,313828.699997,34034182354.7
436.95,650.14,201603.0,34034572947.5
441.84,652.51,347903.499996,34034781598.5
202.08,800.81,169752.299999,34035314765.4
226.14,813.12,698085.5,34035492074.2
432.51,342.25,232999.899998,34036382193.0
751.38,414.01,166396.800003,34036771809.3
472.73,665.75,112596.0,34037148151.7
586.0,525.78,113533.600002,34037347718.3
589.39,491.85,352695.599995,34037472188.9
356.69,740.09,399014.5,34038037989.1
322.06,722.56,388945.0,34038457486.4
