x,y,duration,start_time
780.63,202.56,266492.400002,28330663416.5
795.54,189.53,1097137.3,28330945012.6
794.45,179.91,100776.700001,28332048546.6
648.51,241.91,123896.699997,28332250237.9
412.51,271.52,196163.799999,28333116644.4
621.29,285.59,102888.800003,28333373623.8
684.87,273.04,193908.299999,28333545631.5
351.61,289.83,373909.599998,28333832279.7
648.69,329.84,109070.399998,28334273060.6
703.86,305.07,244710.699997,28334427342.7
364.19,327.94,222237.5,28334739026.2
353.23,343.04,309286.600002,28334972121.7
410.97,351.48,161997.200001,28335293953.9
663.94,354.44,191417.400002,28335647465.6
407.24,406.02,346411.400002,28335913374.9
695.0,373.73,200181.0,28336326179.3
702.05,372.5,155619.5,28336539049.0
362.35,428.11,401921.199997,28336771466.6
657.46,431.03,187230.5,28337259113.2
640.69,425.4,133284.099998,28337459142.4
345.2,461.48,408982.200001,28337603242.5
615.14,446.09,120527.400002,28338124843.1
626.93,464.15,226156.5,28338278630.1
411.67,465.16,287652.5,28338558209.6
543.87,473.08,111925.499996,28338957162.3
571.65,462.74,257576.399998,28339078986.9
590.67,565.42,222232.900002,28339469452.5
