x,y,duration,start_time
625.52,180.71,133153.599998,9034255766.3
679.93,192.84,154605.4,9034401555.4
459.47,211.92,199562.299999,9034621885.6
568.19,295.26,336365.1,9034854492.7
426.17,287.37,199689.699999,9035233718.9
448.6,291.21,166624.799999,9035442559.5
653.43,300.15,366889.300001,9035720498.2
422.57,320.0,154617.900002,9036132264.3
350.78,360.21,206024.5,9036332817.9
376.21,366.2,196971.100002,9036541883.8
431.15,337.75,194271.9,9036753053.3
594.4,318.4,120724.9,9037032144.7
689.19,320.12,256536.900002,9037186446.7
680.67,331.31,132328.799999,9037452675.2
377.68,361.18,353900.299999,9037664968.1
377.07,496.14,110180.099998,9038097640.2
410.94,484.63,221789.4,9038218771.1
663.86,448.93,123410.5,9038618165.7
389.69,600.16,154569.0,9038865310.3
405.99,618.54,275978.599998,9039030586.3
437.36,652.37,101289.799999,9039317535.3
649.93,608.13,110412.699999,9039607071.1
649.67,621.31,220919.900002,9039730187.7
431.49,639.99,310381.4,9040029851.1
474.54,557.95,107713.300001,9040422514.6
484.3,444.39,111742.5,9040584015.1
510.31,466.73,178829.9,9040739213.7
523.25,465.24,177161.800001,9040929387.3
621.21,458.88,111034.6,9041350971.8
489.81,536.6,109186.5,9041521478.1
556.96,406.41,199969.000002,9041716336.8
371.21,707.93,129575.0,9042962641.6
347.3,736.68,954024.199999,9043125492.5
364.47,705.26,181619.6,9044092099.5
