x,y,duration,start_time
1367.29,235.03,355065.700001,30309144297.7
442.38,142.72,119399.599998,30310476618.4
442.29,177.55,664047.899998,30310619173.4
458.82,198.05,101078.899998,30311574847.5
418.95,250.87,294617.299999,30311927884.8
385.82,188.73,123945.700001,30312388656.9
581.82,221.66,342309.299999,30312556067.2
632.77,206.12,157686.299995,30312988097.1
467.18,199.82,121459.5,30313279101.2
482.66,205.67,235040.299999,30313425215.7
460.71,222.22,423288.700001,30313668819.2
405.8,285.63,176753.600002,30314181092.6
348.58,280.33,124388.400005,30314391935.2
648.48,242.33,143316.400002,30314824751.0
676.52,212.83,189595.899998,30315047528.9
399.49,300.43,120674.699997,30315280525.6
421.33,283.58,184796.400002,30315415771.2
450.1,351.39,142944.100002,30316182804.0
601.09,329.28,100485.399998,30316349650.6
614.12,346.53,443604.299999,30316459242.6
268.41,775.65,189357.099998,30317369296.5
299.34,763.36,129798.200001,30317595431.1
287.64,775.31,346193.900002,30317802214.3
