x,y,duration,start_time
551.95,350.76,324897.299995,34053280215.7
196.4,735.69,142064.099998,34053804144.1
162.38,788.11,119767.099998,34054225451.3
407.24,427.1,255811.099998,34054749992.5
164.92,713.2,159456.399998,34055315620.9
290.0,740.45,109056.000004,34055505991.7
332.82,762.93,287736.199997,34055727353.9
339.39,764.49,128845.299995,34056031571.4
458.95,397.53,409281.100006,34056271946.2
314.56,528.28,1099073.40001,34056781266.1
414.88,542.6,103135.5,34057943994.9
411.82,562.02,538495.700001,34058074164.2
164.48,574.53,187565.899998,34058691522.4
140.59,594.64,273649.800003,34058905929.6
424.99,578.78,117514.5,34059261972.3
394.68,578.86,487138.099998,34059390913.9
154.79,630.24,233284.299999,34059912197.8
153.44,632.65,185693.900002,34060159576.5
469.25,556.83,104944.499996,34060406876.0
442.6,559.52,111567.0,34060523349.1
412.42,580.2,299866.999996,34060645163.8
152.75,644.97,233010.599998,34060990086.6
349.94,813.81,376097.399998,34061401446.9
336.34,819.3,188407.5,34061788805.6
398.41,444.54,182543.399998,34062143041.1
306.77,800.93,178319.200001,34062525688.8
319.79,795.77,1531410.4,34062713295.0
319.07,480.18,279314.700001,34064395200.9
311.21,528.91,212572.599998,34064681276.0
416.21,541.19,178594.300003,34064926778.6
446.91,471.56,124423.999996,34065181352.3
448.0,471.93,100402.199997,34065314027.7
716.27,249.72,111175.200001,34065526391.6
724.53,515.41,110438.799999,34065713815.3
316.14,755.2,475597.099998,34066470848.2
