x,y,duration,start_time
765.19,172.22,326581.200001,23908550177.8
492.31,192.99,167752.100002,23908894467.6
528.13,360.57,156015.499996,23909116374.4
442.76,291.15,129806.599998,23909309087.9
382.62,327.79,200525.700005,23909464702.4
401.07,303.89,223826.800003,23909672603.4
681.02,297.75,244801.999996,23909960543.9
696.0,304.0,186573.5,23910220287.1
405.21,354.39,354582.800003,23910460045.7
641.14,364.49,240927.900002,23910963284.9
654.15,386.76,178731.899998,23911225141.1
412.37,435.79,245022.0,23911480671.2
433.57,436.78,188135.799999,23911737845.7
660.27,449.37,364934.400002,23911960176.2
397.82,502.35,355814.0,23912414142.6
582.08,499.22,115984.400002,23912846104.9
648.65,496.99,246813.599998,23912991537.3
352.52,549.65,263678.0,23913315676.3
344.57,561.29,243355.699997,23913592920.4
532.68,534.72,135343.500004,23913935780.7
652.19,523.8,109503.5,23914192841.4
867.04,259.85,222728.800003,23914401899.1
836.4,189.21,277329.700001,23914645748.8
776.62,175.27,166520.700001,23914945404.5
768.51,172.81,133193.300003,23915123047.3
991.61,445.28,179730.700001,23915287872.3
1017.94,482.63,199647.200001,23915478365.5
1200.81,446.44,186510.899998,23915751577.5
1202.0,457.67,244362.599998,23915944568.1
955.46,448.87,140081.299999,23916248318.5
1036.64,443.72,129549.100002,23916404377.5
942.18,467.63,143739.5,23916567033.6
1145.09,496.36,344143.5,23916744022.0
1169.48,449.9,198869.799999,23917122284.8
1006.25,471.36,468640.299999,23917354495.6
518.07,171.19,494444.899998,23917869938.2
498.77,178.74,155837.599998,23918377101.3
530.49,476.13,161690.099998,23918649516.8
552.39,468.57,115741.400002,23918820104.9
1129.74,93.37,202836.100002,23919083704.4
476.01,552.12,199533.700001,23919343214.5
465.13,522.84,299968.299999,23919553123.4
427.46,346.07,545839.299999,23919896113.8
260.63,734.27,103031.700001,23920529036.8
296.97,713.11,985534.899998,23920642331.0
