x,y,duration,start_time
606.76,283.26,262249.000004,34099128528.4
643.54,280.72,331473.200001,34099446622.5
644.55,306.3,230362.099998,34099793773.0
647.91,292.31,101101.700001,34100035755.2
618.38,303.24,359809.400002,34100145069.9
564.08,333.49,193272.200005,34100512046.6
539.97,397.52,204412.600002,34100773669.3
580.93,286.17,109263.200001,34101201635.8
343.94,724.48,100853.799999,34101501041.4
289.5,735.02,380382.200005,34101639399.5
320.09,726.52,132827.499996,34102034722.9
917.6,290.32,178982.699997,34102242734.8
937.93,290.69,332584.600002,34102435297.6
575.39,234.94,232314.700001,34102869552.3
545.07,251.67,106767.899998,34103117821.4
633.2,332.3,107792.899998,34103434431.1
580.32,498.69,208379.299995,34103625455.6
623.88,489.44,232974.099998,34103842465.9
891.47,362.77,134325.800003,34104132908.7
1004.55,240.94,199931.400002,34104300160.8
306.12,717.41,166996.200005,34104718988.1
