x,y,duration,start_time
750.79,184.59,323644.800003,34710217137.5
629.55,288.34,232422.100006,34710630485.8
557.04,402.88,106737.199997,34710909753.3
350.21,804.35,133117.799995,34711082984.3
363.2,771.83,132938.800011,34711227623.9
343.46,766.84,320050.900002,34711373505.6
353.7,760.3,224613.799995,34711705431.8
509.44,425.9,431818.499992,34712006842.4
482.44,443.14,223018.900002,34712449009.1
340.14,547.59,145022.699997,34712747862.7
306.98,557.26,627546.799995,34712915211.8
851.31,468.6,255324.399994,34713625936.0
756.73,504.37,175389.700005,34713893851.9
290.85,574.72,1032434.2,34714148629.8
157.77,690.41,133368.300003,34715214340.2
157.26,702.05,443869.700012,34715357965.9
333.65,558.46,128090.799995,34715840106.2
582.28,535.45,177559.599998,34716057273.6
559.95,547.6,553597.699997,34716247235.4
225.32,613.1,157915.099998,34716857080.2
161.65,697.69,181093.099998,34717034325.7
153.68,708.87,510514.099998,34717223395.5
357.78,581.67,160740.0,34717756189.5
719.38,542.43,228679.5,34718004732.9
512.8,615.95,144456.599998,34718278190.8
248.75,637.61,210821.300003,34718522112.4
212.35,665.37,208380.899994,34718746730.4
284.92,679.91,144362.900002,34718988611.6
318.84,681.9,306589.999992,34719148686.3
602.95,514.35,279246.399994,34719533617.0
953.96,495.3,189638.599998,34719887816.2
860.31,366.49,128558.700005,34720154263.9
491.83,377.62,215284.299995,34720354513.3
392.39,366.21,581797.400002,34720654275.3
533.45,351.1,292257.800003,34721254016.2
602.47,356.86,483406.400002,34721669867.5
1175.98,246.94,276918.500008,34722419864.7
876.58,403.05,233020.400002,34722730190.1
463.69,599.77,100532.699997,34723163185.9
298.47,614.85,588391.700005,34723310546.2
280.72,615.57,133429.400002,34723908074.2
169.34,659.65,1088959.4,34724051922.6
150.2,735.13,343182.599998,34725174210.8
157.3,744.2,1455638.00001,34725527784.7
307.54,596.69,932675.599998,34727049616.5
172.81,579.52,490821.299995,34728071702.4
166.68,597.06,456224.699997,34728571052.5
169.4,646.72,444282.800003,34729037259.0
194.48,646.34,545166.399994,34729491868.8
620.79,220.48,433079.099998,34730247616.2
798.17,365.7,121091.000008,34730736100.2
269.95,588.42,320597.599998,34730936864.9
280.96,585.86,117171.299995,34731274781.0
263.56,538.52,188893.200005,34731489937.8
220.76,545.59,133329.499992,34731756114.2
1488.86,41.7,356022.499992,34732265681.1
1453.06,41.96,254601.300003,34732699324.9
1385.49,64.97,157788.000008,34733021120.6
1449.91,81.94,212911.0,34733186652.5
1098.06,431.39,300086.800003,34733486800.5
784.58,527.73,188495.799995,34733898849.1
902.66,168.97,215525.200005,34734187361.9
682.64,174.29,111907.300003,34734488003.5
259.37,574.77,723381.599998,34734721093.6
354.7,765.39,122816.800003,34735587630.6
257.61,824.53,189839.5,34735787005.0
299.15,805.37,199656.599998,34735986962.5
322.23,844.83,732108.599998,34736219343.4
172.68,745.69,180384.799995,34736995591.7
496.03,518.98,290095.200005,34737319277.6
416.87,504.31,166620.0,34737652678.7
359.46,753.9,223578.499992,34737918837.3
320.79,693.42,242766.700005,34738275437.3
303.51,754.34,128793.900002,34738532807.6
