x,y,duration,start_time
423.61,679.38,178178.700001,34159683035.4
550.19,451.86,133137.700001,34159926473.6
635.97,378.46,301126.700001,34160093024.6
801.33,278.4,113312.299995,34160481306.5
1150.89,162.67,279012.599995,34160749492.7
932.52,188.49,230048.100002,34161068360.8
542.54,293.51,230335.799999,34161383520.2
574.68,326.88,121349.300003,34161625041.2
878.55,321.09,117750.0,34161815352.7
490.72,361.51,242837.799999,34161957992.1
603.05,403.05,132898.099995,34162267968.4
505.86,452.98,166877.500008,34162458304.8
916.6,351.81,176391.800003,34162714137.2
483.51,652.38,135204.600006,34163031182.9
369.72,720.69,123476.499996,34163200010.2
