x,y,duration,start_time
306.19,763.69,233056.000004,34110894291.0
342.42,760.13,258467.0,34111138931.4
379.28,618.84,100243.400002,34111481412.7
426.48,509.95,355247.700001,34111671618.6
339.8,591.29,374341.200001,34112071835.3
293.94,624.86,255625.600002,34112458328.4
334.72,760.57,299261.699997,34112792692.9
458.61,406.18,248681.699997,34113180338.6
827.96,347.71,147688.600006,34113592536.8
574.0,301.6,190717.5,34113813093.3
865.13,303.81,203123.899998,34114058673.5
890.16,397.01,133225.5,34114279632.1
732.55,324.03,107588.700005,34114572077.0
433.61,586.59,126320.100002,34115079015.3
300.3,726.67,149665.599991,34115257069.7
