x,y,duration,start_time
748.8,172.85,318335.799995,34854431899.8
463.16,225.27,173839.800003,34854799066.5
475.53,333.52,219882.900002,34855062966.0
313.94,792.59,163071.699997,34855485333.5
307.95,746.13,374571.300003,34855696650.5
307.54,741.23,689837.099998,34856081959.6
810.58,298.39,357263.599998,34856880947.7
859.05,168.5,235127.200005,34857261666.3
916.4,192.63,229584.299995,34857510079.3
940.19,184.2,313546.399994,34857747530.1
579.19,368.52,1475379.5,34858327097.6
491.78,458.32,246079.900002,34859812717.7
499.44,464.3,100245.900002,34860068895.0
638.27,462.12,667822.599998,34860258843.8
662.58,224.84,242470.399994,34861092221.8
957.7,235.03,209728.699997,34861434763.7
965.98,204.67,113207.099998,34861665031.7
996.74,127.22,342502.400009,34861791787.3
1075.94,287.6,110245.299995,34862167696.9
1077.97,292.62,774940.5,34862292034.5
1164.93,439.09,242953.999992,34863123801.7
918.89,447.34,585855.799995,34863457377.8
268.55,767.02,213426.700005,34864254776.4
253.12,784.67,901830.600006,34864534771.6
376.95,489.73,498899.599998,34865533412.4
471.45,134.84,526582.5,34866489673.2
459.05,144.72,245029.800003,34867020318.0
556.14,154.81,211119.800003,34867286875.0
551.49,260.32,269704.199997,34867564385.7
599.85,306.15,179746.399994,34867885690.5
487.09,353.52,125608.599998,34868140291.5
582.4,353.56,153773.199997,34868286308.5
678.66,362.35,201390.900002,34868513275.0
673.76,333.73,533325.400002,34868718688.0
695.92,330.35,139987.499992,34869263556.1
915.51,223.95,200136.199997,34869463833.4
1036.04,163.25,215390.800003,34869739027.9
1042.63,116.96,299098.899994,34869963868.9
1144.02,106.55,621361.799995,34870309416.6
1040.76,275.23,299485.900002,34870996123.4
1131.79,382.47,678409.099998,34871316757.9
1085.16,587.6,226936.199997,34872037308.5
992.09,698.9,125822.400002,34872303357.5
1014.55,601.97,130798.900002,34872451723.7
1008.89,592.09,466055.399994,34872595108.3
1009.7,494.52,140396.299995,34873093825.9
1271.69,777.04,101073.299995,34873468613.6
1276.32,819.45,213200.699997,34873613600.1
1248.96,815.06,180416.100006,34873836167.6
1249.1,779.36,1175713.4,34874026509.6
1239.04,778.7,593596.5,34875214113.1
1229.97,781.96,380550.699997,34875813196.9
1266.09,741.56,854400.800003,34876212983.5
1275.53,627.19,533117.000008,34877157694.8
878.82,493.36,109712.700005,34877833312.5
868.73,478.6,111885.400002,34877945034.9
855.49,282.5,488245.900002,34878144559.0
984.02,390.69,284216.900002,34878715019.3
1157.97,579.78,368366.199997,34879089626.4
835.04,541.01,187450.400002,34879523110.0
926.7,517.26,111641.900002,34879744237.0
958.38,254.3,366758.199997,34879943848.7
953.13,252.94,765865.399994,34880323180.2
260.73,558.6,911381.600006,34881197484.9
256.66,454.35,121773.399994,34882186971.1
258.18,371.17,415289.5,34882386851.6
267.75,492.99,210383.299995,34882864855.8
262.55,492.84,134715.5,34883086309.5
354.2,617.93,118045.400002,34883267948.5
285.81,650.0,111360.0,34883408168.1
1544.6,660.07,153338.299995,34883654780.8
1528.91,713.12,679947.100006,34883819043.8
1536.63,697.89,247330.5,34884507491.8
367.19,635.05,466243.099998,34884896864.9
531.73,641.23,210950.599998,34885452967.4
455.58,649.86,323605.200005,34885706601.4
182.47,636.58,253893.999992,34886230039.8
339.9,390.36,200110.699989,34886572419.6
336.49,386.08,264684.700005,34886785444.0
250.37,476.41,439463.700005,34887105980.1
268.26,504.53,278928.699997,34887549800.1
304.07,518.26,223600.700005,34887838121.6
995.34,220.73,110703.599998,34888338244.5
1007.11,222.29,206914.800003,34888460957.3
331.17,516.53,394888.700005,34888867882.5
1255.49,187.14,653680.899994,34889393714.1
662.28,217.31,389831.099998,34890169798.2
293.3,486.1,676282.300003,34890659061.1
299.64,493.74,491655.200005,34891634544.7
1355.11,249.28,344959.100006,34892312774.9
971.63,27.72,200161.299995,34892878955.7
522.01,529.17,266362.5,34893334413.5
239.7,614.64,610481.5,34893700779.3
941.72,614.66,101635.0,34894411382.0
1420.8,710.55,103040.599998,34894611167.8
1428.09,757.74,287368.300003,34894723781.2
1263.94,231.19,178642.499992,34895110640.8
1424.54,44.35,156812.900002,34895432274.4
1453.12,36.84,344183.400009,34895599419.3
886.38,517.21,233422.900002,34896055332.7
340.94,716.17,210485.099991,34896511455.3
161.67,800.46,311685.399994,34896809549.9
180.19,835.86,876790.5,34897131574.4
396.17,465.81,177244.400002,34898230903.4
607.78,487.89,123183.899994,34898474544.2
610.44,498.12,132364.199997,34898621756.2
407.0,662.38,299138.099998,34898854123.2
